"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498907400.0001402,"01/07/2017 19:10:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,2,15.000927209854126,0,0,0.0,0.0023522377014160156,14.99857497215271,0,"[0, 0, 0]","[0, 1, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
1,1498907400.0001402,"01/07/2017 19:10:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,1,4.338965892791748,527072,741630.1026329676,0.39559306606103434,0.0031337738037109375,14.997838258743286,0,"[741630.1026329676, 0, 0]","[1, 0, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498907415.0010674,"01/07/2017 19:10:15",2,1,0.7937005259840998,41250000.0,"[1.0, 1.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,1,15.01280689239502,0,0,0.0,0.015024185180664062,14.997782707214355,0,"[0, 0, 0]","[1, 1, 0]","[0]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
2,1498907415.0011122,"01/07/2017 19:10:15",2,1,0.7937005259840998,41250000.0,"[1.0, 0.9858314604694963, 0.9858314604694963]","[0.3339890744297007, 0.33300546278514964, 0.33300546278514964]",2,2,6.0792930126190186,981744,1651401.4067108526,0.8812306369452099,0.0246274471282959,14.991774797439575,4344,"[741630.1026329676, 1651401.4067108526, 0]","[1, 1, 0]","[741630.1026329676]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498907430.0138743,"01/07/2017 19:10:30",3,1,0.6933612743506348,41250000.0,"[1.0, 1.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,3,3.8631954193115234,6737544,9075077.471730316,4.8406217506789195,0.012232303619384766,14.998201370239258,0,"[0, 0, 9075077.471730316]","[1, 1, 1]","[0]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
3,1498907430.0175145,"01/07/2017 19:10:30",3,1,0.6933612743506348,41250000.0,"[0.9957734905940209, 1.0, 0.9816648345291118]","[0.33367257896747526, 0.33410785631554285, 0.3322195647169819]",2,3,15.015411138534546,0,0,0.0,0.020064353942871094,14.995346784591675,0,"[741630.1026329676, 1651401.4067108526, 0]","[1, 1, 1]","[1651401.4067108526]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498907445.024308,"01/07/2017 19:10:45",4,2,0.6299605249474366,41250000.0,"[0.9548533604678393, 0.9548533604678393, 1.0]","[0.3314195048510484, 0.3314195048510484, 0.33716099029790325]",1,3,0,0,0,0.0,0,15.03419017791748,0,"[0, 0, 9075077.471730316]","[1, 1, 2]","[9075077.471730316]","['; gamma used= 0.6299605249474366', 'current gain: 9075077.471730316, prev block gain: [0]', 'flipped coin and will select greedily...', 'averageBytePerNet:[0.0, 0.0, 9075077.471730316], numNetworkHighestAverageByte: 1', 'choosing greedily']"
4,1498907445.0329256,"01/07/2017 19:10:45",4,2,0.6299605249474366,41250000.0,"[0.9957734905940209, 1.0, 0.9816648345291118]","[0.3337427215347286, 0.33426799700683385, 0.3319892814584375]",-1,2,5.04809308052063,2700936,4071439.7469344363,2.171915176798746,0.056520938873291016,14.996680498123169,0,"[741630.1026329676, 5722841.153645289, 0]","[1, 2, 1]","[0]","['; gamma used= 0.6299605249474366', 'current gain: 0, prev block gain: [1651401.4067108526]', ' ----- switch back']"
5,1498907460.0584981,"01/07/2017 19:11:00",4,2,0.6299605249474366,41250000.0,"[0.9548533604678393, 0.9548533604678393, 1.0]","[0.3311859548782308, 0.3311859548782308, 0.33762809024353835]",1,3,3.394542694091797,5858544,7570792.260551495,4.035296450462475,0,15.00914216041565,0,"[0, 0, 16645869.732281812]","[1, 1, 3]","[9075077.471730316]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
5,1498907460.086127,"01/07/2017 19:11:00",4,2,0.6299605249474366,41250000.0,"[0.976797604060115, 1.0, 0.9629578085936878]","[0.3328925576047713, 0.3361695487581735, 0.33093789363705517]",-1,2,0,642496,642496.0,0.34234398524673937,0,15.014045000076294,0,"[741630.1026329676, 6365337.153645289, 0]","[1, 3, 1]","[0]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498907475.0676403,"01/07/2017 19:11:15",5,2,0.5848035476425733,41250000.0,"[0.8889165993065412, 0.8889165993065412, 1.0]","[0.32779887168810207, 0.32779887168810207, 0.34440225662379587]",0,3,0,1001160,1001160.0,0.533038732164126,0,15.025699853897095,0,"[0, 0, 17647029.73228181]","[1, 1, 4]","[0, 7570792.260551495]","['; gamma used= 0.5848035476425733', 'flipped coin but will not select greedily...', 'choosing randomly']"
6,1498907475.100172,"01/07/2017 19:11:15",5,2,0.5848035476425733,41250000.0,"[0.973836315957071, 1.0, 0.960038477618193]","[0.3327500029110576, 0.33645263835378786, 0.3307973587351546]",0,2,3.0521111488342285,4020072,5045948.809907031,2.688963173045309,0,15.012325525283813,0,"[741630.1026329676, 11411285.96355232, 0]","[1, 4, 1]","[4071439.7469344363, 642496.0]","['; gamma used= 0.5848035476425733', 'flipped coin but will not select greedily...', 'choosing randomly']"
7,1498907490.0933402,"01/07/2017 19:11:30",5,2,0.5848035476425733,41250000.0,"[0.8774992457071153, 0.8774992457071153, 1.0]","[0.3266683579727394, 0.3266683579727394, 0.3466632840545212]",0,3,4.300600051879883,3330320,4667619.735544425,2.487652363692576,0,15.010520935058594,0,"[0, 0, 22314649.467826236]","[1, 1, 5]","[0, 7570792.260551495]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
7,1498907490.1124976,"01/07/2017 19:11:30",5,2,0.5848035476425733,41250000.0,"[0.9110053299122584, 1.0, 0.8980977148828969]","[0.32927334995684365, 0.3435195399641393, 0.3272071100790171]",0,2,0,425664,425664.0,0.22676234354523117,0,15.017096519470215,0,"[741630.1026329676, 11836949.96355232, 0]","[1, 5, 1]","[4071439.7469344363, 642496.0]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1498907505.103861,"01/07/2017 19:11:45",6,2,0.5503212081491045,41250000.0,"[0.8261746474401288, 0.8261746474401288, 1.0]","[0.32350989433115523, 0.32350989433115523, 0.35298021133768953]",1,3,0,859800,859800.0,0.45819055374461953,0,15.012094736099243,0,"[0, 0, 23174449.467826236]","[1, 1, 6]","[1001160.0, 4667619.735544425]","['; gamma used= 0.5503212081491045', 'flipped coin and will select greedily...', 'averageBytePerNet:[0.0, 0.0, 4462929.893565247], numNetworkHighestAverageByte: 1', 'choosing greedily']"
8,1498907505.129594,"01/07/2017 19:11:45",6,2,0.5503212081491045,41250000.0,"[0.9058942366467201, 1.0, 0.8930590383443355]","[0.32898103375147825, 0.34410003068115885, 0.32691893556736284]",0,2,3.39833402633667,3180448,4110853.519587741,2.190262669595661,0,15.015015602111816,0,"[741630.1026329676, 15947803.48314006, 0]","[1, 6, 1]","[5045948.809907031, 425664.0]","['; gamma used= 0.5503212081491045', 'flipped coin but will not select greedily...', 'choosing randomly']"
9,1498907520.1159558,"01/07/2017 19:12:00",6,2,0.5503212081491045,41250000.0,"[0.8201949622887884, 0.8201949622887884, 1.0]","[0.322500271335293, 0.322500271335293, 0.354999457329414]",1,3,3.2451770305633545,6064472,7737298.005982851,4.123845300833903,0,15.009870529174805,0,"[0, 0, 30911747.473809086]","[1, 1, 7]","[1001160.0, 4667619.735544425]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
9,1498907520.1446097,"01/07/2017 19:12:00",6,2,0.5503212081491045,41250000.0,"[0.8613114029187572, 1.0, 0.8491078782584291]","[0.3259096363686623, 0.35032948522861984, 0.32376087840271783]",0,2,0,392024,392024.0,0.20883703609207496,0,15.017412900924683,0,"[741630.1026329676, 16339827.48314006, 0]","[1, 7, 1]","[5045948.809907031, 425664.0]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
10,1498907535.1258264,"01/07/2017 19:12:15",7,2,0.5227579585747102,41250000.0,"[0.7682941216391387, 0.7682941216391387, 1.0]","[0.3188020317326888, 0.3188020317326888, 0.36239593653462243]",0,3,0,953520,953520.0,0.5080442373090931,0,15.014755487442017,0,"[0, 0, 31865267.473809086]","[1, 1, 8]","[859800.0, 7737298.005982851]","['; gamma used= 0.5227579585747102', 'flipped coin but will not select greedily...', 'choosing randomly']"
10,1498907535.1620226,"01/07/2017 19:12:15",7,2,0.5227579585747102,41250000.0,"[0.8571761797300279, 1.0, 0.8450312451429168]","[0.3256401837006273, 0.35086457281391126, 0.32349524348546155]",0,1,4.545592784881592,1041112,1494195.7402754445,0.7974031317233304,0.02544260025024414,14.990618228912354,0,"[2235825.842908412, 16339827.48314006, 0]","[2, 7, 1]","[4110853.519587741, 392024.0]","['; gamma used= 0.5227579585747102', 'flipped coin but will not select greedily...', 'choosing randomly']"
11,1498907550.1405818,"01/07/2017 19:12:30",7,2,0.5227579585747102,41250000.0,"[0.7601697017196647, 0.7601697017196647, 1.0]","[0.31747367715944286, 0.31747367715944286, 0.3650526456811142]",0,3,2.061810255050659,9834536,11400610.391288199,6.076502481067422,0,15.009437322616577,0,"[0, 0, 43265877.865097284]","[1, 1, 9]","[859800.0, 7737298.005982851]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
11,1498907550.1780834,"01/07/2017 19:12:30",8,2,0.5227579585747102,41250000.0,"[0.873215884852015, 1.0, 0.8450312451429168]","[0.32728780284232467, 0.35060873524559394, 0.3221034619120814]",-1,2,5.11276650428772,2990048,4536698.634919746,2.4200606597194345,0.01636338233947754,14.99697494506836,0,"[2235825.842908412, 20876526.118059807, 0]","[2, 8, 1]","[1494195.7402754445]","['; gamma used= 0.5', 'current gain: 1494195.7402754445, prev block gain: [4110853.519587741, 392024.0]', ' ----- switch back']"
12,1498907565.1500192,"01/07/2017 19:12:45",8,2,0.5,41250000.0,"[0.6694353976349648, 0.6694353976349648, 1.0]","[0.3097774787279428, 0.3097774787279428, 0.3804450425441143]",1,3,3.616231918334961,9001152,11857041.966180945,6.3179354215664265,0,15.013818502426147,0,"[0, 0, 55122919.83127823]","[1, 1, 10]","[953520.0, 11400610.391288199]","['; gamma used= 0.5', 'flipped coin and will select greedily...', 'averageBytePerNet:[0.0, 0.0, 4807319.762788587], numNetworkHighestAverageByte: 1', 'choosing greedily']"
12,1498907565.1914217,"01/07/2017 19:12:45",8,2,0.5,41250000.0,"[0.8579608203197161, 1.0, 0.8302685657184024]","[0.3259710328870943, 0.3534068851906358, 0.32062208192226993]",-1,2,0,379376,379376.0,0.2021420657106612,0,15.014232635498047,0,"[2235825.842908412, 21255902.118059807, 0]","[2, 9, 1]","[1494195.7402754445]","['; gamma used= 0.4807498567691362', 'no selection ----- in the middle of a block']"
13,1498907580.1638377,"01/07/2017 19:13:00",8,2,0.5,41250000.0,"[0.6105187901893334, 0.6105187901893334, 1.0]","[0.30298142697410835, 0.30298142697410835, 0.3940371460517833]",1,3,0,12041312,12041312.0,6.414814145381877,0,15.01688027381897,0,"[0, 0, 67164231.83127823]","[1, 1, 11]","[953520.0, 11400610.391288199]","['; gamma used= 0.4807498567691362', 'no selection ----- in the middle of a block']"
13,1498907580.2056544,"01/07/2017 19:13:00",9,2,0.4807498567691362,41250000.0,"[0.8566972737044618, 1.0, 0.8290458023810572]","[0.32588015941859494, 0.35358569902024006, 0.320534141561165]",0,1,5.982931613922119,809432,1346969.5646391795,0.7187614357995926,0.020200729370117188,14.99211835861206,0,"[3582795.4075475917, 21255902.118059807, 0]","[3, 9, 1]","[4536698.634919746, 379376.0]","['; gamma used= 0.4807498567691362', 'flipped coin but will not select greedily...', 'choosing randomly']"
14,1498907595.180718,"01/07/2017 19:13:15",9,2,0.4807498567691362,41250000.0,"[0.5559908036712576, 0.5559908036712576, 1.0]","[0.2969454156248357, 0.2969454156248357, 0.40610916875032865]",1,3,3.0099596977233887,7676729,9602344.070125489,5.117982334665665,0,15.009577512741089,0,"[0, 0, 76766575.90140373]","[1, 1, 12]","[11857041.966180945, 12041312.0]","['; gamma used= 0.4807498567691362', 'flipped coin and will select greedily...', 'averageBytePerNet:[0.0, 0.0, 6105839.257388931], numNetworkHighestAverageByte: 1', 'choosing greedily']"
14,1498907595.2179735,"01/07/2017 19:13:15",10,2,0.4807498567691362,41250000.0,"[0.8700823093690523, 1.0, 0.8290458023810572]","[0.3274516571377154, 0.353243408227912, 0.31930493463437254]",-1,2,5.9597063064575195,4129192,6852344.683340153,3.655418630800025,0.017978906631469727,14.996574401855469,0,"[3582795.4075475917, 28108246.80139996, 0]","[3, 10, 1]","[1346969.5646391795]","['; gamma used= 0.4641588833612779', 'current gain: 1346969.5646391795, prev block gain: [4536698.634919746, 379376.0]', ' ----- switch back']"
15,1498907610.1902955,"01/07/2017 19:13:30",9,2,0.4807498567691362,41250000.0,"[0.5173497866973434, 0.5173497866973434, 1.0]","[0.29096445283229605, 0.29096445283229605, 0.4180710943354078]",1,3,4.906936168670654,6712672,9969391.034323867,5.309576358652572,0,15.020996570587158,0,"[0, 0, 86735966.9357276]","[1, 1, 13]","[11857041.966180945, 12041312.0]","['; gamma used= 0.4641588833612779', 'no selection ----- in the middle of a block']"
15,1498907610.2325268,"01/07/2017 19:13:30",10,2,0.4641588833612779,41250000.0,"[0.8486865286142475, 1.0, 0.8086591308760369]","[0.3256506138880132, 0.35698873852980817, 0.31736064758217863]",-1,2,0,658432,658432.0,0.35084049943152984,0,15.013819694519043,0,"[3582795.4075475917, 28766678.80139996, 0]","[3, 11, 1]","[1346969.5646391795]","['; gamma used= 0.4496443130226092', 'no selection ----- in the middle of a block']"
16,1498907625.211292,"01/07/2017 19:13:45",10,2,0.4641588833612779,41250000.0,"[0.4800706370356917, 0.4800706370356917, 1.0]","[0.2859558757134243, 0.2859558757134243, 0.42808824857315136]",1,3,0,7148392,7148392.0,3.808069563569933,0,15.017355918884277,0,"[0, 0, 93884358.9357276]","[1, 1, 14]","[9602344.070125489, 9969391.034323867]","['; gamma used= 0.4641588833612779', 'flipped coin and will select greedily...', 'averageBytePerNet:[0.0, 0.0, 6671997.456594431], numNetworkHighestAverageByte: 1', 'choosing greedily']"
16,1498907625.2463465,"01/07/2017 19:13:45",11,2,0.4496443130226092,41250000.0,"[0.8466585529704806, 1.0, 0.8067268025472203]","[0.32549232230744496, 0.35729785603685404, 0.317209821655701]",1,2,3.778752088546753,4198584,5610925.331470766,2.990069310450964,0,15.012161254882812,0,"[3582795.4075475917, 34377604.13287073, 0]","[3, 12, 1]","[6852344.683340153, 658432.0]","['; gamma used= 0.4496443130226092', 'flipped coin and will select greedily...', 'averageBytePerNet:[1194265.1358491972, 2615152.6183090876, 0.0], numNetworkHighestAverageByte: 1', 'choosing greedily']"
17,1498907640.2585077,"01/07/2017 19:14:00",11,2,0.4496443130226092,41250000.0,"[0.8137788464314236, 1.0, 0.7753978324070353]","[0.32261370814387014, 0.363121400603291, 0.31426489125283896]",1,2,0,729584,729584.0,0.3886983555483167,0,15.015942096710205,0,"[3582795.4075475917, 35107188.13287073, 0]","[3, 13, 1]","[6852344.683340153, 658432.0]","['; gamma used= 0.43679023236814946', 'no selection ----- in the middle of a block']"
18,1498907655.2744498,"01/07/2017 19:14:15",12,2,0.43679023236814946,41250000.0,"[0.8095984111046556, 1.0, 0.7714145628675181]","[0.3222613861030417, 0.363809427790506, 0.3139291861064524]",1,2,4.473005533218384,4237215,6034529.345458717,3.214508602077274,0,15.018231630325317,0,"[3582795.4075475917, 41141717.47832944, 0]","[3, 14, 1]","[5610925.331470766, 729584.0]","['; gamma used= 0.43679023236814946', 'flipped coin and will select greedily...', 'averageBytePerNet:[1194265.1358491972, 2700552.933297748, 0.0], numNetworkHighestAverageByte: 1', 'choosing greedily']"
19,1498907670.2926815,"01/07/2017 19:14:30",12,2,0.43679023236814946,41250000.0,"[0.7767050865503617, 1.0, 0.7400726169913053]","[0.31912512523990944, 0.37011482403044815, 0.31076005072964236]",1,2,0,555032,555032.0,0.29574109455591385,0,15.013997316360474,0,"[3582795.4075475917, 41696749.47832944, 0]","[3, 15, 1]","[5610925.331470766, 729584.0]","['; gamma used= 0.42529037028299016', 'no selection ----- in the middle of a block']"
20,1498907685.3066788,"01/07/2017 19:14:45",13,2,0.42529037028299016,41250000.0,"[0.773747643653995, 1.0, 0.7372546587445821]","[0.3188561744196089, 0.3706400408915774, 0.3105037846888137]",0,3,6.4063401222229,506960,885381.8435567986,0.47255916649706964,0.030494213104248047,14.988715171813965,0,"[3582795.4075475917, 41696749.47832944, 885381.8435567986]","[3, 15, 2]","[6034529.345458717, 555032.0]","['; gamma used= 0.42529037028299016', 'flipped coin but will not select greedily...', 'choosing randomly']"
21,1498907700.3258882,"01/07/2017 19:15:00",14,3,0.42529037028299016,41250000.0,"[0.773747643653995, 1.0, 0.7443369049485968]","[0.31808769498889333, 0.37065830948759754, 0.3112539955235092]",-1,2,6.441493034362793,3725968,6531958.758051716,3.484894875250661,0.024219512939453125,14.994905710220337,2960,"[3582795.4075475917, 48228708.23638116, 885381.8435567986]","[3, 16, 2]","[885381.8435567986]","['; gamma used= 0.41491326668312173', 'current gain: 885381.8435567986, prev block gain: [6034529.345458717, 555032.0]', ' ----- switch back']"
22,1498907715.3450134,"01/07/2017 19:15:15",14,3,0.41491326668312173,41250000.0,"[0.7573633430994805, 1.0, 0.7285753841678648]","[0.31628580945138896, 0.37431310972162324, 0.3094010808269877]",-1,2,0,641848,641848.0,0.34192680307452783,0,15.017202377319336,0,"[3582795.4075475917, 48870556.23638116, 885381.8435567986]","[3, 17, 2]","[885381.8435567986]","['; gamma used= 0.4054801330382267', 'no selection ----- in the middle of a block']"
