"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498980660.000115,"02/07/2017 15:31:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,1,4.049830198287964,1618864,2217628.2179006655,1.1827937243468403,0.0014095306396484375,14.999255895614624,0,"[2217628.2179006655, 0, 0]","[1, 0, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498980675.0007803,"02/07/2017 15:31:15",2,1,0.7937005259840998,41250000.0,"[1.0, 0.9582276648878706, 0.9582276648878706]","[0.3353032156705359, 0.33234839216473205, 0.33234839216473205]",2,3,4.273805856704712,4077568,5702598.711146397,3.0418428269914255,0.011690139770507812,14.99774718284607,4344,"[2217628.2179006655, 0, 5702598.711146397]","[1, 0, 1]","[2217628.2179006655]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498980690.0102177,"02/07/2017 15:31:30",3,1,0.6933612743506348,41250000.0,"[0.9789913044688652, 0.938096551626731, 1.0]","[0.3340301281703821, 0.3297313495542173, 0.33623852227540063]",2,2,4.252861499786377,1791176,2500118.691370522,1.3335824670634258,0.010181188583374023,14.997909784317017,0,"[2217628.2179006655, 2500118.691370522, 5702598.711146397]","[1, 1, 1]","[5702598.711146397]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498980705.0183086,"02/07/2017 15:31:45",4,2,0.6299605249474366,41250000.0,"[0.9789913044688652, 0.9501120800859905, 1.0]","[0.33366476653800625, 0.3300163964985895, 0.33631883696340426]",-1,3,6.208441734313965,690696,1178534.3013639508,0.6286128754887731,0.008754968643188477,14.998538494110107,0,"[2217628.2179006655, 2500118.691370522, 6881133.012510347]","[1, 1, 2]","[2500118.691370522]","['; gamma used= 0.6299605249474366', 'current gain: 2500118.691370522, prev block gain: [5702598.711146397]', ' ----- switch back']"
5,1498980720.025602,"02/07/2017 15:32:00",4,2,0.6299605249474366,41250000.0,"[0.9735540828144612, 0.9448352508104157, 1.0]","[0.33344112180398977, 0.32935532111024957, 0.33720355708576066]",-1,3,0,2061952,2061952.0,1.0983757415721418,0,15.018190383911133,0,"[2217628.2179006655, 2500118.691370522, 8943085.012510348]","[1, 1, 3]","[2500118.691370522]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498980735.0437925,"02/07/2017 15:32:15",5,2,0.5848035476425733,41250000.0,"[0.9641137081560239, 0.9356733573772712, 1.0]","[0.3329779591575891, 0.32890582127978, 0.33811621956263094]",1,3,0,2568752,2568752.0,1.369349481160585,0,15.007137537002563,0,"[2217628.2179006655, 2500118.691370522, 11511837.012510348]","[1, 1, 4]","[1178534.3013639508, 2061952.0]","['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[2217628.2179006655, 2500118.691370522, 2981028.3375034495], numNetworkHighestAverageByte: 1', 'choosing greedily']"
7,1498980750.05093,"02/07/2017 15:32:30",5,2,0.5848035476425733,41250000.0,"[0.9423366192753762, 0.9145386699493424, 1.0]","[0.331766370626435, 0.3273909089757252, 0.3408427203978399]",1,3,0,2490560,2490560.0,1.3277413764856838,0,15.006295919418335,0,"[2217628.2179006655, 2500118.691370522, 14002397.012510348]","[1, 1, 5]","[1178534.3013639508, 2061952.0]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1498980765.057226,"02/07/2017 15:32:45",6,2,0.5503212081491045,41250000.0,"[0.921692188472832, 0.8945032283652743, 1.0]","[0.3306125155934687, 0.3262710914651048, 0.3431163929414265]",1,3,0,2386304,2386304.0,1.2721702971835065,0,15.006192207336426,0,"[2217628.2179006655, 2500118.691370522, 16388701.012510348]","[1, 1, 6]","[2568752.0, 2490560.0]","['; gamma used= 0.5503212081491045', 'flipped coin and will select greedily...', 'averageBytePerNet:[2217628.2179006655, 2500118.691370522, 2800479.4025020697], numNetworkHighestAverageByte: 1', 'choosing greedily']"
9,1498980780.0634181,"02/07/2017 15:33:00",6,2,0.5503212081491045,41250000.0,"[0.9032960539927825, 0.8766497607025926, 1.0]","[0.3293243274714929, 0.32474987449510606, 0.3459257980334012]",1,3,0,3004632,3004632.0,1.601781309701532,0,15.006453037261963,0,"[2217628.2179006655, 2500118.691370522, 19393333.012510348]","[1, 1, 7]","[2568752.0, 2490560.0]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
10,1498980795.0698712,"02/07/2017 15:33:15",7,2,0.5227579585747102,41250000.0,"[0.8806545002560577, 0.8546761092319605, 1.0]","[0.3279033121367638, 0.3233707776335196, 0.34872591022971655]",0,2,4.41256046295166,1002048,1419838.718503603,0.757457212448726,0.011482954025268555,14.995843410491943,5760,"[2217628.2179006655, 3919957.4098741254, 19393333.012510348]","[1, 2, 7]","[2386304.0, 3004632.0]","['; gamma used= 0.5227579585747102', 'flipped coin but will not select greedily...', 'choosing randomly']"
11,1498980810.0771976,"02/07/2017 15:33:30",8,2,0.5227579585747102,41250000.0,"[0.8806545002560577, 0.8699736836917131, 1.0]","[0.3267490989989276, 0.3248075758540191, 0.3484433251470533]",-1,3,5.513947486877441,949888,1502121.711055444,0.8012172221366949,0.010066986083984375,14.998396635055542,7208,"[2217628.2179006655, 3919957.4098741254, 20895454.72356579]","[1, 2, 8]","[1419838.718503603]","['; gamma used= 0.5', 'current gain: 1419838.718503603, prev block gain: [2386304.0, 3004632.0]', ' ----- switch back']"
