"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498980660.0000691,"02/07/2017 15:31:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,2,3.932072162628174,2070640,2806297.131014119,1.4967316988860349,0.0008902549743652344,14.999600172042847,0,"[0, 2806297.131014119, 0]","[0, 1, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498980675.0005596,"02/07/2017 15:31:15",2,1,0.7937005259840998,41250000.0,"[0.947435333312822, 1.0, 0.947435333312822]","[0.3320846807637609, 0.3358306384724782, 0.3320846807637609]",2,1,3.985666275024414,703728,958443.7036041929,0.511263484753515,0.010924577713012695,14.997256517410278,0,"[958443.7036041929, 2806297.131014119, 0]","[1, 1, 0]","[2806297.131014119]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498980690.0087407,"02/07/2017 15:31:30",3,1,0.6933612743506348,41250000.0,"[0.9576657857423478, 1.0, 0.947435333312822]","[0.3322037964472267, 0.3366722500326067, 0.33112395352016655]",2,3,3.827946901321411,7933648,10652355.657912547,5.681808505701155,0.008760690689086914,14.998542308807373,0,"[958443.7036041929, 2806297.131014119, 10652355.657912547]","[1, 1, 1]","[958443.7036041929]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498980705.0160437,"02/07/2017 15:31:45",4,2,0.6299605249474366,41250000.0,"[0.9574453735856477, 0.9997698443862341, 1.0]","[0.3297929961961654, 0.3350891020939525, 0.335117901709882]",1,3,0,5787656,5787656.0,3.085931033432005,0,15.003980159759521,0,"[958443.7036041929, 2806297.131014119, 16440011.657912547]","[1, 1, 2]","[10652355.657912547]","['; gamma used= 0.6299605249474366', 'current gain: 10652355.657912547, prev block gain: [958443.7036041929]', 'flipped coin and will select greedily...', 'averageBytePerNet:[958443.7036041929, 2806297.131014119, 10652355.657912547], numNetworkHighestAverageByte: 1', 'choosing greedily']"
5,1498980720.0200238,"02/07/2017 15:32:00",4,2,0.6299605249474366,41250000.0,"[0.9064785680149677, 0.9465500193392608, 1.0]","[0.3268528174520595, 0.3326843483748144, 0.34046283417312606]",1,3,0,4989808,4989808.0,2.6602424739319943,0,15.005573511123657,0,"[958443.7036041929, 2806297.131014119, 21429819.657912545]","[1, 1, 3]","[10652355.657912547]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498980735.0255973,"02/07/2017 15:32:15",5,2,0.5848035476425733,41250000.0,"[0.8647209583486675, 0.902946488454077, 1.0]","[0.3246571364941967, 0.3303916059686932, 0.3449512575371101]",0,2,4.385131597518921,1252520,1770149.4013844978,0.944335447861805,0.010008811950683594,14.99593734741211,0,"[958443.7036041929, 4576446.532398617, 21429819.657912545]","[1, 2, 3]","[5787656.0, 4989808.0]","['; gamma used= 0.5848035476425733', 'flipped coin but will not select greedily...', 'choosing randomly']"
7,1498980750.0315435,"02/07/2017 15:32:30",6,2,0.5848035476425733,41250000.0,"[0.8647209583486675, 0.9247184724123813, 1.0]","[0.3228399794020277, 0.3325120337010763, 0.344647986896896]",-1,3,3.235215425491333,2111184,2691844.8068063133,1.4358507374342857,0.009807825088500977,14.9979088306427,0,"[958443.7036041929, 4576446.532398617, 24121664.46471886]","[1, 2, 4]","[1770149.4013844978]","['; gamma used= 0.5503212081491045', 'current gain: 1770149.4013844978, prev block gain: [5787656.0, 4989808.0]', ' ----- switch back']"
8,1498980765.0392601,"02/07/2017 15:32:45",6,2,0.5503212081491045,41250000.0,"[0.8549437567841661, 0.9142628927159445, 1.0]","[0.32159272365618014, 0.33181571858246217, 0.34659155776135775]",-1,3,0,2528208,2528208.0,1.3480332561397008,0,15.003831624984741,0,"[958443.7036041929, 4576446.532398617, 26649872.46471886]","[1, 2, 5]","[1770149.4013844978]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
9,1498980780.0430918,"02/07/2017 15:33:00",7,2,0.5227579585747102,41250000.0,"[0.8458616053348659, 0.9045505882628952, 1.0]","[0.32102364239680375, 0.33120715237648757, 0.34776920522670873]",1,3,0,5121576,5121576.0,2.7307515341539763,0,15.004150867462158,0,"[958443.7036041929, 4576446.532398617, 31771448.46471886]","[1, 2, 6]","[2691844.8068063133, 2528208.0]","['; gamma used= 0.5227579585747102', 'flipped coin and will select greedily...', 'averageBytePerNet:[958443.7036041929, 2288223.2661993084, 5329974.492943772], numNetworkHighestAverageByte: 1', 'choosing greedily']"
10,1498980795.0472426,"02/07/2017 15:33:15",7,2,0.5227579585747102,41250000.0,"[0.811568898842859, 0.8678785279224908, 1.0]","[0.3181099998584269, 0.32861769419068876, 0.3532723059508843]",1,3,0,6537720,6537720.0,3.485278253981567,0,15.00648045539856,0,"[958443.7036041929, 4576446.532398617, 38309168.46471886]","[1, 2, 7]","[2691844.8068063133, 2528208.0]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
11,1498980810.053723,"02/07/2017 15:33:30",8,2,0.5,41250000.0,"[0.7698065317551479, 0.8232185345167314, 1.0]","[0.31510459381365274, 0.32540376204313237, 0.35949164414321483]",0,1,4.624083995819092,1129440,1632974.9687462891,0.871151941360174,0.010174274444580078,14.99600601196289,0,"[2591418.672350482, 4576446.532398617, 38309168.46471886]","[2, 2, 7]","[5121576.0, 6537720.0]","['; gamma used= 0.5', 'flipped coin but will not select greedily...', 'choosing randomly']"
12,1498980825.0599034,"02/07/2017 15:33:45",9,2,0.5,41250000.0,"[0.7854617599508918, 0.8232185345167314, 1.0]","[0.31659380635832446, 0.32410918133272265, 0.35929701230895283]",-1,3,4.694591522216797,1656512,2411223.632460945,1.286095506097737,0.008352994918823242,14.998722076416016,0,"[2591418.672350482, 4576446.532398617, 40720392.09717981]","[2, 2, 8]","[1632974.9687462891]","['; gamma used= 0.4807498567691362', 'current gain: 1632974.9687462891, prev block gain: [5121576.0, 6537720.0]', ' ----- switch back']"
13,1498980840.0669785,"02/07/2017 15:34:00",9,2,0.4807498567691362,41250000.0,"[0.7783900961622436, 0.8158069392010664, 1.0]","[0.31549901833546173, 0.3232276074448124, 0.3612733742197259]",-1,3,0,1733256,1733256.0,0.9239207283494124,0,15.007833003997803,0,"[2591418.672350482, 4576446.532398617, 42453648.09717981]","[2, 2, 9]","[1632974.9687462891]","['; gamma used= 0.4641588833612779', 'no selection ----- in the middle of a block']"
14,1498980855.0748115,"02/07/2017 15:34:15",10,2,0.4641588833612779,41250000.0,"[0.7733461487450003, 0.8105205316218329, 1.0]","[0.31509580626428285, 0.3228050131604565, 0.3620991805752606]",1,3,0,5828200,5828200.0,3.1070721220354813,0,15.006281852722168,0,"[2591418.672350482, 4576446.532398617, 48281848.09717981]","[2, 2, 10]","[2411223.632460945, 1733256.0]","['; gamma used= 0.4641588833612779', 'flipped coin and will select greedily...', 'averageBytePerNet:[1295709.336175241, 2288223.2661993084, 4717072.010797757], numNetworkHighestAverageByte: 1', 'choosing greedily']"
15,1498980870.0810933,"02/07/2017 15:34:30",10,2,0.4641588833612779,41250000.0,"[0.741276234321157, 0.7769090316097585, 1.0]","[0.3118892123599223, 0.31967684931261675, 0.36843393832746096]",1,3,0,3887880,3887880.0,2.0730751523189492,0,15.003334522247314,0,"[2591418.672350482, 4576446.532398617, 52169728.09717981]","[2, 2, 11]","[2411223.632460945, 1733256.0]","['; gamma used= 0.4496443130226092', 'no selection ----- in the middle of a block']"
16,1498980885.0844278,"02/07/2017 15:34:45",11,2,0.4496443130226092,41250000.0,"[0.7206259434005196, 0.7552660909908617, 1.0]","[0.3100663652174652, 0.31776637877187985, 0.3721672560106549]",1,3,0,3984896,3984896.0,2.1244446625236546,0,15.005882978439331,0,"[2591418.672350482, 4576446.532398617, 56154624.09717981]","[2, 2, 12]","[5828200.0, 3887880.0]","['; gamma used= 0.4496443130226092', 'flipped coin and will select greedily...', 'averageBytePerNet:[1295709.336175241, 2288223.2661993084, 4742702.554289074], numNetworkHighestAverageByte: 1', 'choosing greedily']"
