"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498980660.0001493,"02/07/2017 15:31:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,3,4.582327604293823,9187560,13229328.822603501,7.056272133517827,0.0022745132446289062,14.998660564422607,0,"[0, 0, 13229328.822603501]","[0, 0, 1]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498980675.0010843,"02/07/2017 15:31:15",2,1,0.7937005259840998,41250000.0,"[0.775266458899443, 0.775266458899443, 1.0]","[0.32727415370081603, 0.32727415370081603, 0.3454516925983679]",2,1,3.9734184741973877,769400,1046752.9330843086,0.5584167585375365,0.01660442352294922,14.996010303497314,7400,"[1046752.9330843086, 0, 13229328.822603501]","[1, 0, 1]","[13229328.822603501]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498980690.013699,"02/07/2017 15:31:30",3,1,0.6933612743506348,41250000.0,"[0.7844136788645307, 0.775266458899443, 1.0]","[0.325089826397556, 0.3239940285937808, 0.3509161450086632]",2,2,3.8761463165283203,1798416,2425360.260789433,1.29395375631941,0.01848912239074707,14.995035171508789,9624,"[1046752.9330843086, 2425360.260789433, 13229328.822603501]","[1, 1, 1]","[1046752.9330843086]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498980705.0272233,"02/07/2017 15:31:45",4,2,0.6299605249474366,41250000.0,"[0.7844136788645307, 0.7848976311733573, 1.0]","[0.32296031622074217, 0.3230300163997781, 0.3540096673794797]",1,3,4.711477279663086,2922064,4260872.5301390365,2.2732717585933453,0.017022132873535156,14.994678974151611,4440,"[1046752.9330843086, 2425360.260789433, 17490201.352742538]","[1, 1, 2]","[2425360.260789433]","['; gamma used= 0.6299605249474366', 'current gain: 2425360.260789433, prev block gain: [1046752.9330843086]', 'flipped coin and will select greedily...', 'averageBytePerNet:[1046752.9330843086, 2425360.260789433, 13229328.822603501], numNetworkHighestAverageByte: 1', 'choosing greedily']"
5,1498980720.0389245,"02/07/2017 15:32:00",4,2,0.6299605249474366,41250000.0,"[0.7534521014843862, 0.7539169517208475, 1.0]","[0.31969901321628813, 0.31977598799142526, 0.3605249987922866]",1,3,0,5273616,5273616.0,2.810341684634906,0,15.012027978897095,0,"[1046752.9330843086, 2425360.260789433, 22763817.352742538]","[1, 1, 3]","[2425360.260789433]","['; gamma used= 0.5848035476425733', 'current gain: 4260872.5301390365, prev block gain: [2425360.260789433]', 'no selection ----- in the middle of a block']"
6,1498980735.0509524,"02/07/2017 15:32:15",5,2,0.5848035476425733,41250000.0,"[0.7168184132746258, 0.7172606619700027, 1.0]","[0.31720682215184165, 0.3172822593433642, 0.3655109185047942]",1,3,0,5783312,5783312.0,3.0822722031072227,0,15.010515928268433,0,"[1046752.9330843086, 2425360.260789433, 28547129.352742538]","[1, 1, 4]","[4260872.5301390365, 5273616.0]","['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[1046752.9330843086, 2425360.260789433, 7587939.117580846], numNetworkHighestAverageByte: 1', 'choosing greedily']"
7,1498980750.0614684,"02/07/2017 15:32:30",5,2,0.5848035476425733,41250000.0,"[0.6808794757018946, 0.6812995514899348, 1.0]","[0.31305676815911954, 0.31313673634555983, 0.37380649549532063]",1,3,0,5185288,5185288.0,2.7638730556483373,0,15.008758783340454,0,"[1046752.9330843086, 2425360.260789433, 33732417.35274254]","[1, 1, 5]","[4260872.5301390365, 5273616.0]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1498980765.0702271,"02/07/2017 15:32:45",6,2,0.5503212081491045,41250000.0,"[0.6501915047312022, 0.6505926472512429, 1.0]","[0.31051765595080094, 0.31059605760513104, 0.3788862864440681]",0,3,0,5573608,5573608.0,2.9708934771670066,0,15.008570432662964,0,"[1046752.9330843086, 2425360.260789433, 39306025.35274254]","[1, 1, 6]","[5783312.0, 5185288.0]","['; gamma used= 0.5503212081491045', 'flipped coin but will not select greedily...', 'choosing randomly']"
9,1498980780.0787976,"02/07/2017 15:33:00",6,2,0.5503212081491045,41250000.0,"[0.6110172942587979, 0.6113942678356962, 1.0]","[0.30546288674642197, 0.3055438382868436, 0.3889932749667344]",0,3,0,3072400,3072400.0,1.6374207652806172,0,15.010924816131592,0,"[1046752.9330843086, 2425360.260789433, 42378425.35274254]","[1, 1, 7]","[5783312.0, 5185288.0]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
10,1498980795.0897224,"02/07/2017 15:33:15",7,2,0.5227579585747102,41250000.0,"[0.5904413077256777, 0.5908055867302382, 1.0]","[0.3034372104418052, 0.30351691221982346, 0.3930458773383714]",1,3,0,11529728,11529728.0,6.145131367415593,0,15.009902715682983,0,"[1046752.9330843086, 2425360.260789433, 53908153.35274254]","[1, 1, 8]","[5573608.0, 3072400.0]","['; gamma used= 0.5227579585747102', 'flipped coin and will select greedily...', 'averageBytePerNet:[1046752.9330843086, 2425360.260789433, 6054060.764677505], numNetworkHighestAverageByte: 1', 'choosing greedily']"
11,1498980810.099625,"02/07/2017 15:33:30",7,2,0.5227579585747102,41250000.0,"[0.5379150872456757, 0.5382469596434161, 1.0]","[0.29621221154638455, 0.29629213603933, 0.40749565241428537]",1,3,0,10173184,10173184.0,5.421043921535274,0,15.012878179550171,0,"[1046752.9330843086, 2425360.260789433, 64081337.35274254]","[1, 1, 9]","[5573608.0, 3072400.0]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
12,1498980825.1125033,"02/07/2017 15:33:45",8,2,0.5,41250000.0,"[0.4954632432221657, 0.4957689245061064, 1.0]","[0.2910778858233516, 0.29115464263978286, 0.41776747153686555]",1,3,0,5969816,5969816.0,3.1814894499589963,0,15.01137399673462,0,"[1046752.9330843086, 2425360.260789433, 70051153.35274254]","[1, 1, 10]","[11529728.0, 10173184.0]","['; gamma used= 0.5', 'flipped coin and will select greedily...', 'averageBytePerNet:[1046752.9330843086, 2425360.260789433, 7120148.594749171], numNetworkHighestAverageByte: 1', 'choosing greedily']"
13,1498980840.1238773,"02/07/2017 15:34:00",8,2,0.5,41250000.0,"[0.47300668536990115, 0.47329851184315497, 1.0]","[0.2864422829757172, 0.2865201386677498, 0.427037578356533]",1,3,0,10412600,10412600.0,5.549892807623044,0,15.009443044662476,0,"[1046752.9330843086, 2425360.260789433, 80463753.35274254]","[1, 1, 11]","[11529728.0, 10173184.0]","['; gamma used= 0.4807498567691362', 'no selection ----- in the middle of a block']"
14,1498980855.1333203,"02/07/2017 15:34:15",9,2,0.4807498567691362,41250000.0,"[0.43624621610898007, 0.4365153628222403, 1.0]","[0.28120550407188805, 0.2812801288778338, 0.4375143670502781]",0,1,4.437625169754028,800744,1137333.3557397914,0.6067918634208541,0.015763044357299805,14.994708061218262,7400,"[2184086.2888241, 2425360.260789433, 80463753.35274254]","[2, 1, 11]","[5969816.0, 10412600.0]","['; gamma used= 0.4807498567691362', 'flipped coin but will not select greedily...', 'choosing randomly']"
15,1498980870.1437914,"02/07/2017 15:34:30",10,2,0.4807498567691362,41250000.0,"[0.44291451991907915, 0.4365153628222403, 1.0]","[0.2809982472282036, 0.2791737942300873, 0.43982795854170903]",-1,3,4.140426397323608,8527024,11779981.26286986,6.285260406942796,0.020219087600708008,14.993786096572876,4344,"[2184086.2888241, 2425360.260789433, 92243734.6156124]","[2, 1, 12]","[1137333.3557397914]","['; gamma used= 0.4641588833612779', 'current gain: 1137333.3557397914, prev block gain: [5969816.0, 10412600.0]', ' ----- switch back']"
16,1498980885.1577966,"02/07/2017 15:34:45",10,2,0.4641588833612779,41250000.0,"[0.4243566923443644, 0.41822565572830894, 1.0]","[0.2766313325610853, 0.27480007065181855, 0.44856859678709615]",-1,3,0,12717296,12717296.0,6.77735225495503,0,15.011521339416504,0,"[2184086.2888241, 2425360.260789433, 104961030.6156124]","[2, 1, 13]","[1137333.3557397914]","['; gamma used= 0.4496443130226092', 'no selection ----- in the middle of a block']"
17,1498980900.169318,"02/07/2017 15:35:00",11,2,0.4496443130226092,41250000.0,"[0.4051940940667275, 0.39933991556041437, 1.0]","[0.2734595319686699, 0.2716740957195654, 0.45486637231176463]",0,3,0,11282360,11282360.0,6.013082118733938,0,15.01041865348816,0,"[2184086.2888241, 2425360.260789433, 116243390.6156124]","[2, 1, 14]","[11779981.26286986, 12717296.0]","['; gamma used= 0.4496443130226092', 'flipped coin but will not select greedily...', 'choosing randomly']"
18,1498980915.1797366,"02/07/2017 15:35:15",11,2,0.4496443130226092,41250000.0,"[0.3712288356313388, 0.36586538166619104, 1.0]","[0.26595849777557407, 0.2642195306940334, 0.4698219715303925]",0,3,0,10452528,10452528.0,5.570685182069195,0,15.010761022567749,0,"[2184086.2888241, 2425360.260789433, 126695918.6156124]","[2, 1, 15]","[11779981.26286986, 12717296.0]","['; gamma used= 0.43679023236814946', 'no selection ----- in the middle of a block']"
19,1498980930.1904976,"02/07/2017 15:35:30",12,3,0.43679023236814946,41250000.0,"[0.34230782147474237, 0.3373622136281228, 1.0]","[0.2603758998868114, 0.25871758927348776, 0.4809065108397008]",1,3,0,7471104,7471104.0,3.9818623934545956,0,15.010270595550537,0,"[2184086.2888241, 2425360.260789433, 134167022.6156124]","[2, 1, 16]","[11282360.0, 10452528.0]","['; gamma used= 0.43679023236814946', 'flipped coin and will select greedily...', 'averageBytePerNet:[1092043.14441205, 2425360.260789433, 8446394.57437416], numNetworkHighestAverageByte: 1', 'choosing greedily']"
20,1498980945.2007682,"02/07/2017 15:35:45",12,3,0.43679023236814946,41250000.0,"[0.3251734265984486, 0.320475373708015, 1.0]","[0.25532371309236196, 0.2536830129402097, 0.49099327396742837]",1,3,0,12982256,12982256.0,6.917874809713631,0,15.012999057769775,0,"[2184086.2888241, 2425360.260789433, 147149278.6156124]","[2, 1, 17]","[11282360.0, 10452528.0]","['; gamma used= 0.42529037028299016', 'no selection ----- in the middle of a block']"
21,1498980960.2137673,"02/07/2017 15:36:00",12,3,0.43679023236814946,41250000.0,"[0.29741446920368464, 0.2931174732242911, 1.0]","[0.24922873608610574, 0.24767609517249856, 0.5030951687413956]",1,3,0,10638456,10638456.0,5.670659622644751,0,15.008421182632446,0,"[2184086.2888241, 2425360.260789433, 157787734.6156124]","[2, 1, 18]","[11282360.0, 10452528.0]","['; gamma used= 0.42529037028299016', 'no selection ----- in the middle of a block']"
