"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498672800.000067,"29/06/2017 02:00:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,3,4.065749883651733,9930448,13623087.225575302,7.265846313711132,0.00084686279296875,14.999587535858154,0,"[0, 0, 13623087.225575302]","[0, 0, 1]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498672815.0005014,"29/06/2017 02:00:15",2,1,0.7937005259840998,41250000.0,"[0.7694149295063673, 0.7694149295063673, 1.0]","[0.32708772920329343, 0.32708772920329343, 0.34582454159341314]",2,2,7.050060987472534,1233696,2328054.27111895,1.2418142459346646,0.006813764572143555,14.997761726379395,7176,"[0, 2328054.27111895, 13623087.225575302]","[0, 1, 1]","[13623087.225575302]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498672830.005077,"29/06/2017 02:00:30",3,1,0.6933612743506348,41250000.0,"[0.7694149295063673, 0.789751386300157, 1.0]","[0.32331154656496547, 0.3257482561906569, 0.3509401972443776]",2,1,7.246022939682007,1044008,2019895.5852648749,1.0774325098205686,0.009166240692138672,14.997843980789185,0,"[2019895.5852648749, 2328054.27111895, 13623087.225575302]","[1, 1, 1]","[2328054.27111895]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498672845.012087,"29/06/2017 02:00:45",4,2,0.6299605249474366,41250000.0,"[0.7773672226086782, 0.789751386300157, 1.0]","[0.32204109499720335, 0.3238262207079736, 0.35413268429482303]",-1,2,4.413405418395996,5742768,8137100.726040038,4.34010927898889,0.007643222808837891,14.998886346817017,0,"[2019895.5852648749, 10465154.99715899, 13623087.225575302]","[1, 2, 1]","[2019895.5852648749]","['; gamma used= 0.6299605249474366', 'current gain: 2019895.5852648749, prev block gain: [2328054.27111895]', ' ----- switch back']"
5,1498672860.0186167,"29/06/2017 02:01:00",4,2,0.6299605249474366,41250000.0,"[0.7773672226086782, 0.8207114383029464, 1.0]","[0.31916482417060665, 0.32609162159873406, 0.3547435542306593]",-1,2,0,6453736,6453736.0,3.440926694528723,0,15.004646301269531,0,"[2019895.5852648749, 16918890.99715899, 13623087.225575302]","[1, 3, 1]","[2019895.5852648749]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498672875.023263,"29/06/2017 02:01:15",5,2,0.5848035476425733,41250000.0,"[0.7773672226086782, 0.8461273639733252, 1.0]","[0.3179613041413871, 0.32884334175038843, 0.35319535410822445]",0,2,0,4681544,4681544.0,2.495883581307724,0,15.005648612976074,0,"[2019895.5852648749, 21600434.99715899, 13623087.225575302]","[1, 4, 1]","[8137100.726040038, 6453736.0]","['; gamma used= 0.5848035476425733', 'flipped coin but will not select greedily...', 'choosing randomly']"
7,1498672890.0289116,"29/06/2017 02:01:30",5,2,0.5848035476425733,41250000.0,"[0.7773672226086782, 0.9014275917179418, 1.0]","[0.3139339931987838, 0.33475952138006526, 0.3513064854211509]",0,2,0,6026416,6026416.0,3.212521655340135,0,15.00731611251831,0,"[2019895.5852648749, 27626850.99715899, 13623087.225575302]","[1, 5, 1]","[8137100.726040038, 6453736.0]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1498672905.0362277,"29/06/2017 02:01:45",6,2,0.5503212081491045,41250000.0,"[0.7773672226086782, 0.9779676786346163, 1.0]","[0.3103090288602977, 0.34304761561785624, 0.3466433555218461]",1,3,5.156556606292725,2380512,3627660.254744427,1.9348543611021176,0.004297018051147461,14.999207496643066,1448,"[2019895.5852648749, 27626850.99715899, 17250747.480319727]","[1, 5, 2]","[4681544.0, 6026416.0]","['; gamma used= 0.5503212081491045', 'flipped coin and will select greedily...', 'averageBytePerNet:[2019895.5852648749, 5525370.1994317975, 13623087.225575302], numNetworkHighestAverageByte: 1', 'choosing greedily']"
9,1498672920.0397322,"29/06/2017 02:02:00",7,2,0.5503212081491045,41250000.0,"[0.7539033338831909, 0.9484489079414028, 1.0]","[0.30739383280183186, 0.341751058879476, 0.3508551083186922]",-1,2,5.434877395629883,938304,1471534.9717287656,0.7849023010639099,0.008447647094726562,14.998401403427124,0,"[2019895.5852648749, 29098385.968887754, 17250747.480319727]","[1, 6, 2]","[3627660.254744427]","['; gamma used= 0.5227579585747102', 'current gain: 3627660.254744427, prev block gain: [4681544.0, 6026416.0]', ' ----- switch back']"
10,1498672935.0465813,"29/06/2017 02:02:15",7,2,0.5227579585747102,41250000.0,"[0.7539033338831909, 0.9541047989878031, 1.0]","[0.3058655347815701, 0.34283024376351123, 0.35130422145491863]",-1,2,0,1663752,1663752.0,0.8869321868680392,0,15.006802320480347,0,"[2019895.5852648749, 30762137.968887754, 17250747.480319727]","[1, 7, 2]","[3627660.254744427]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
11,1498672950.0533836,"29/06/2017 02:02:30",8,2,0.5,41250000.0,"[0.7539033338831909, 0.9605401167905497, 1.0]","[0.3055355264500723, 0.3435979850465243, 0.3508664885034034]",0,2,0,1818688,1818688.0,0.9695489371592918,0,15.00646686553955,0,"[2019895.5852648749, 32580825.968887754, 17250747.480319727]","[1, 8, 2]","[1471534.9717287656, 1663752.0]","['; gamma used= 0.5', 'flipped coin but will not select greedily...', 'choosing randomly']"
12,1498672965.0598505,"29/06/2017 02:02:45",8,2,0.5,41250000.0,"[0.7539033338831909, 0.9804959495652678, 1.0]","[0.303412809440638, 0.34644172948906304, 0.35014546107029887]",0,2,0,9246928,9246928.0,4.9296343685829,0,15.006269931793213,0,"[2019895.5852648749, 41827753.968887754, 17250747.480319727]","[1, 9, 2]","[1471534.9717287656, 1663752.0]","['; gamma used= 0.4807498567691362', 'no selection ----- in the middle of a block']"
13,1498672980.0661204,"29/06/2017 02:03:00",9,2,0.4807498567691362,41250000.0,"[0.6925716464848608, 1.0, 0.9186478098161153]","[0.29797025215960093, 0.35910345803043103, 0.3429262898099681]",0,2,0,5133160,5133160.0,2.7368780324076742,0,15.004424571990967,0,"[2019895.5852648749, 46960913.968887754, 17250747.480319727]","[1, 10, 2]","[1818688.0, 9246928.0]","['; gamma used= 0.4807498567691362', 'flipped coin but will not select greedily...', 'choosing randomly']"
14,1498672995.070545,"29/06/2017 02:03:15",9,2,0.4807498567691362,41250000.0,"[0.6564172565386365, 1.0, 0.8706915423195902]","[0.2939045160212308, 0.3667568447366836, 0.3393386392420855]",0,2,0,2066296,2066296.0,1.101494292699866,0,15.00722074508667,0,"[2019895.5852648749, 49027209.968887754, 17250747.480319727]","[1, 11, 2]","[1818688.0, 9246928.0]","['; gamma used= 0.4641588833612779', 'no selection ----- in the middle of a block']"
15,1498673010.0777657,"29/06/2017 02:03:30",10,2,0.4641588833612779,41250000.0,"[0.6424021525621703, 1.0, 0.8521014879365203]","[0.2927132074201197, 0.3695283408068896, 0.33775845177299063]",1,3,3.21004319190979,1831720,2330500.3046128578,1.2430494539635457,0.008116960525512695,14.998600721359253,0,"[2019895.5852648749, 49027209.968887754, 19581247.784932584]","[1, 11, 3]","[5133160.0, 2066296.0]","['; gamma used= 0.4641588833612779', 'flipped coin and will select greedily...', 'averageBytePerNet:[2019895.5852648749, 4457019.088080705, 8625373.740159864], numNetworkHighestAverageByte: 1', 'choosing greedily']"
16,1498673025.0844834,"29/06/2017 02:03:45",11,2,0.4641588833612779,41250000.0,"[0.6424021525621703, 1.0, 0.8666553116646681]","[0.290790796279927, 0.3692290193155753, 0.33998018440449773]",-1,2,4.184808015823364,5191832,7201070.126725713,3.8410137222610796,0.00883936882019043,14.998270034790039,0,"[2019895.5852648749, 56228280.095613465, 19581247.784932584]","[1, 12, 3]","[2330500.3046128578]","['; gamma used= 0.4496443130226092', 'current gain: 2330500.3046128578, prev block gain: [5133160.0, 2066296.0]', ' ----- switch back']"
17,1498673040.0915928,"29/06/2017 02:04:00",11,2,0.4496443130226092,41250000.0,"[0.6262799567707898, 1.0, 0.844905094043868]","[0.288332711552222, 0.37350754645060413, 0.3381597419971738]",-1,2,0,4136936,4136936.0,2.2057616138289395,0,15.004109144210815,0,"[2019895.5852648749, 60365216.095613465, 19581247.784932584]","[1, 13, 3]","[2330500.3046128578]","['; gamma used= 0.43679023236814946', 'no selection ----- in the middle of a block']"
18,1498673055.095702,"29/06/2017 02:04:15",12,2,0.43679023236814946,41250000.0,"[0.617201581265804, 1.0, 0.8326575909474009]","[0.28748814878361767, 0.375491496449662, 0.3370203547667203]",0,2,0,9065928,9065928.0,4.833055904666474,0,15.006535291671753,0,"[2019895.5852648749, 69431144.09561346, 19581247.784932584]","[1, 14, 3]","[7201070.126725713, 4136936.0]","['; gamma used= 0.43679023236814946', 'flipped coin but will not select greedily...', 'choosing randomly']"
