"time slot","timestamp","date time","max gain","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","log"
1,1498663620.0001569,"28/06/2017 23:27:00",41250000.0,2,4.505664587020874,1110616,1587478.5550989949,0.8466898427773014,0.0015821456909179688,14.99938678741455,0,"[0, 1587478.5550989949, 0]","[0, 1, 0]","[]"
2,1498663635.0011258,"28/06/2017 23:27:15",41250000.0,3,4.847028732299805,2360240,3486750.078668758,1.859300022154817,0.011363744735717773,15.002420425415039,0,"[0, 1587478.5550989949, 3486750.078668758]","[0, 1, 1]","[]"
3,1498663650.01491,"28/06/2017 23:27:30",41250000.0,1,3.955173969268799,791916,1075511.581474135,0.573619433537208,0.011673688888549805,14.999653339385986,1480,"[1075511.581474135, 1587478.5550989949, 3486750.078668758]","[1, 1, 1]","[]"
4,1498663665.026237,"28/06/2017 23:27:45",41250000.0,3,5.023931503295898,3259448,4900998.5529269995,2.6139696400718475,0.014924049377441406,14.999404668807983,7400,"[1075511.581474135, 1587478.5550989949, 8387748.631595757]","[1, 1, 2]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 3486750.078668758], numNetworkHighestAverageByte: 1']"
5,1498663680.0405657,"28/06/2017 23:28:00",41250000.0,3,0,7713496,7713496.0,4.110705968004334,0,15.011525630950928,0,"[1075511.581474135, 1587478.5550989949, 16101244.631595757]","[1, 1, 3]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 4193874.3157978784], numNetworkHighestAverageByte: 1']"
6,1498663695.0520914,"28/06/2017 23:28:15",41250000.0,3,0,7524224,7524224.0,4.010586406530942,0,15.008725881576538,0,"[1075511.581474135, 1587478.5550989949, 23625468.631595757]","[1, 1, 4]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 5367081.543865252], numNetworkHighestAverageByte: 1']"
7,1498663710.0608172,"28/06/2017 23:28:30",41250000.0,3,0,7970824,7970824.0,4.247754154864016,0,15.011836767196655,0,"[1075511.581474135, 1587478.5550989949, 31596292.631595757]","[1, 1, 5]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 5906367.157898939], numNetworkHighestAverageByte: 1']"
8,1498663725.072654,"28/06/2017 23:28:45",41250000.0,3,0,3980680,3980680.0,2.1216126668552624,0,15.010015964508057,0,"[1075511.581474135, 1587478.5550989949, 35576972.63159576]","[1, 1, 6]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 6319258.526319152], numNetworkHighestAverageByte: 1']"
9,1498663740.08267,"28/06/2017 23:29:00",41250000.0,3,0,3588016,3588016.0,1.9120282080982667,0,15.012397766113281,0,"[1075511.581474135, 1587478.5550989949, 39164988.63159576]","[1, 1, 7]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 5929495.438599293], numNetworkHighestAverageByte: 1']"
10,1498663755.0950677,"28/06/2017 23:29:15",41250000.0,3,0,2822152,2822152.0,1.5041458071895648,0,15.009991645812988,0,"[1075511.581474135, 1587478.5550989949, 41987140.63159576]","[1, 1, 8]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 5594998.375942252], numNetworkHighestAverageByte: 1']"
11,1498663770.1050594,"28/06/2017 23:29:30",41250000.0,3,0,2477528,2477528.0,1.3204721084583346,0,15.009952783584595,0,"[1075511.581474135, 1587478.5550989949, 44464668.63159576]","[1, 1, 9]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 5248392.57894947], numNetworkHighestAverageByte: 1']"
12,1498663785.1150122,"28/06/2017 23:29:45",41250000.0,3,0,2548480,2548480.0,1.3584355436975792,0,15.008323431015015,0,"[1075511.581474135, 1587478.5550989949, 47013148.63159576]","[1, 1, 10]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 4940518.736843973], numNetworkHighestAverageByte: 1']"
13,1498663800.1233356,"28/06/2017 23:30:00",41250000.0,3,0,2742512,2742512.0,1.4616348026945873,0,15.010655164718628,0,"[1075511.581474135, 1587478.5550989949, 49755660.63159576]","[1, 1, 11]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 4701314.863159576], numNetworkHighestAverageByte: 1']"
14,1498663815.1339908,"28/06/2017 23:30:15",41250000.0,3,0,2182136,2182136.0,1.1630935858723628,0,15.009186029434204,0,"[1075511.581474135, 1587478.5550989949, 51937796.63159576]","[1, 1, 12]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 4523241.875599614], numNetworkHighestAverageByte: 1']"
15,1498663830.1431768,"28/06/2017 23:30:30",41250000.0,3,0,2318248,2318248.0,1.2355273320763343,0,15.010581731796265,0,"[1075511.581474135, 1587478.5550989949, 54256044.63159576]","[1, 1, 13]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 4328149.719299647], numNetworkHighestAverageByte: 1']"
16,1498663845.1537585,"28/06/2017 23:30:45",41250000.0,3,0,3423072,3423072.0,1.8245075251206462,0,15.009297370910645,0,"[1075511.581474135, 1587478.5550989949, 57679116.63159576]","[1, 1, 14]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 4173541.8947381354], numNetworkHighestAverageByte: 1']"
17,1498663860.163056,"28/06/2017 23:31:00",41250000.0,3,0,3570768,3570768.0,1.9029994982110485,0,15.011114835739136,0,"[1075511.581474135, 1587478.5550989949, 61249884.63159576]","[1, 1, 15]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 4119936.90225684], numNetworkHighestAverageByte: 1']"
18,1498663875.1741707,"28/06/2017 23:31:15",41250000.0,3,0,3260928,3260928.0,1.7379952303295298,0,15.010066509246826,0,"[1075511.581474135, 1587478.5550989949, 64510812.63159576]","[1, 1, 16]","['averageBytePerNet:[1075511.581474135, 1587478.5550989949, 4083325.642106384], numNetworkHighestAverageByte: 1']"
