time slot,delay (secs) - 3G
183,7.4116649628
184,6.4341731071
185,7.1575796604
186,3.6549310684
187,6.5058898926
188,6.6930513382
189,3.588183403
190,6.1551816463
191,3.6228764057
192,7.2385628223
193,3.5292468071
194,6.6524937153
195,6.992841959
196,13.2648055553
197,5.830791235
198,5.4087815285
199,7.6663520336
200,3.6473999023
201,6.1912133694
202,6.6962022781
203,7.2604196072
204,3.7595415115
205,6.2471256256
206,3.6388437748
207,6.9284257889
208,3.5133109093
209,14.6918344498
210,3.6322262287
211,6.704031229
212,3.6681129932
213,6.4259653091
214,4.5386447906
215,3.9780881405
216,6.7767512798
217,3.5435395241
218,5.6862406731
219,6.8523459435
220,3.7978758812
221,6.8708128929
222,6.9829509258
223,13.8298130035
224,6.4715197086
225,7.3191025257
226,6.5458889008
227,7.3162715435
228,6.1591215134
229,4.7332456112
230,6.1092379093
231,6.4625275135
232,6.9414153099
233,3.8369855881
234,6.3170747757
235,13.6624076366
236,6.2358665466
237,6.1410098076
238,6.0766134262
239,7.8345355988
240,3.8700461388
241,6.1287534237
242,4.6373205185
243,6.2701647282
244,6.6015717983
245,3.4625415802
246,6.80006814
247,4.6062538624
248,6.4555926323
249,3.7909035683
250,6.4095721245
251,5.379406929
252,4.5768792629
253,6.5108442307
254,3.7855632305
255,6.1433665752
256,4.8544507027
257,5.8660030365
258,5.8202326298
259,5.7020213604
260,6.2859587669
261,6.8986136913
262,6.2639052868
263,5.9431612492
264,6.5502705574
265,3.6557466984
266,6.8198859692
267,3.480946064
268,6.6572244167
269,6.5719108582
270,4.309129715
271,6.4839971066
272,11.6132855415
273,6.7780809402
274,6.0085294247
275,7.8278081417
276,6.7074644566
277,8.0142102242
278,6.3546283245
279,4.6520030499
280,6.4630968571
281,3.7113380432
282,6.9824950695
283,3.568138361
284,6.4484815598
285,6.9504716396
286,7.0522706509
287,4.2959010601
288,5.9982471466
289,5.8341009617
290,6.4661767483
291,4.1196548939
292,4.6729464531
293,3.6568481922
294,4.8740451336
295,6.4331719875
296,4.5578284264
297,3.8795938492
298,5.7011709213
299,5.5353207588
300,6.5011079311
301,4.6081683636
302,6.5018410683
303,3.6331362724
304,6.918628931
305,8.4481432438
306,6.4137825966
307,3.6069309711
308,6.524907589
309,4.6548354626
310,5.9150207043
311,5.9750030041
312,6.9622144699
313,4.408863306
314,6.3952786922
315,3.4119102955
316,6.1503806114
317,6.7029354572
318,4.4143466949
319,6.442763567
320,6.939250946
321,6.7325582504
322,9.0219099522
323,6.2685506344
324,7.3627791405
325,5.8658955097
326,7.1521189213
327,14.6302258968
328,7.0984327793
329,3.5122590065
330,6.7931752205
331,6.5661296844
332,3.7701513767
333,6.7020130157
334,3.6742200851
335,6.8181328773
336,3.776992321
337,6.9950246811
338,3.7250907421
339,6.2437841892
340,6.7459146976
341,3.7206587791
342,6.1819734573
343,11.7330129147
344,6.4782269001
345,6.8298299313
346,7.5237925053
347,7.2083926201
348,6.7638554573
349,6.8434960842
350,3.5979094505
351,6.8976783752
352,4.302713871
353,7.1582090855
354,3.662946701
355,7.3689460754
356,4.4180035591
357,6.7742979527
358,3.5684278011
359,7.4530363083
360,3.9184200764
361,6.0637626648
362,6.4640655518
363,3.6264123917
364,6.7898840904
365,3.490447998
366,7.3460664749
367,3.7318701744
368,6.1793782711
369,6.2101960182
370,6.6072604656
371,5.3844833374
372,6.7816085815
373,3.6460139751
374,6.5270006657
375,6.4197204113
376,10.0948629379
377,6.7168622017
378,6.6020007133
379,14.4010696411
380,6.4622077942
381,5.2489833832
382,7.0169696808
383,7.685464859
384,6.680175066
385,6.8511385918
386,6.7924025059
387,4.2336239815
388,6.7234909534
389,7.1083357334
390,6.2168638706
391,6.2795629501
392,4.9355800152
393,6.204662323
394,6.1732671261
395,13.5191102028
396,6.971280098
397,7.3845775127
398,6.7987854481
399,6.9906184673
400,7.043918848
401,4.3132662773
402,6.9710388184
403,6.702911377
404,5.4460396767
405,6.0591950417
406,3.9538228512
407,7.2569103241
408,7.5615270138
409,7.1707406044
410,6.6908504963
411,6.6913735867
412,4.4217271805
413,6.3030943871
414,3.6375207901
415,6.5444579124
416,6.799233675
417,4.6690485477
418,5.78733778
419,5.3050005436
420,6.5983388424
421,7.0272099972
422,3.7241334915
423,6.2716903687
424,3.0659475327
425,3.645273447
426,6.6000056267
427,6.5126852989
428,6.6347863674
429,8.1533191204
430,6.3904809952
431,7.8992311954
432,5.8112654686
433,5.6433918476
434,6.5817165375
435,6.4441196918
436,5.8560461998
437,5.47798419
438,5.7689635754
439,4.7710020542
440,6.6224963665
441,3.6690907478
442,6.703088522
443,4.26476717
444,6.09968853
445,5.2345676422
446,6.4510400295
447,8.1654803753
448,7.6391508579
449,6.7886924744
450,7.3624002934
451,6.3608427048
452,6.7189800739
453,6.6225302219
454,4.5560035706
455,6.188180685
456,4.6373772621
457,6.5470967293
458,6.922457695
459,5.6624350548
460,6.8502190113
461,3.5641591549
462,6.5034737587
463,6.4181525707
464,5.3129310608
465,6.1457056999
466,4.2965948582
467,10.2817883492
468,7.8844611645
469,6.4143092632
470,6.7205815315
471,5.7515799999
472,6.7052454948
473,5.9927260876
474,5.0820429325
475,7.3381388187
476,4.2829020023
477,6.8628175259
478,7.2026844025
479,6.0186793804
480,4.7385447025
481,6.2579903603
482,8.5112528801
483,6.3287682533
484,6.7804141045
485,6.5419166088
486,7.3156514168
487,6.2846000195
488,6.5183312893
489,3.6132786274
490,6.8361520767
491,3.5553302765
492,6.7607655525
493,4.8424389362
494,6.4690923691
495,6.7667384148
496,3.7102973461
497,6.7963125706
498,4.6352319717
499,5.576515913
500,5.6840136051
