"time slot","timestamp","date time","max gain","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","log"
1,1498804200.0000644,"30/06/2017 14:30:00",41250000.0,1,15.000479936599731,0,0,0.0,0.0005860328674316406,14.9998939037323,0,"[0, 0, 0]","[1, 0, 0]","[]"
2,1498804215.0005443,"30/06/2017 14:30:15",41250000.0,3,2.893735885620117,13292696,16470265.548045775,8.784684362760588,0.00975656509399414,14.999073266983032,0,"[0, 0, 16470265.548045775]","[1, 0, 1]","[]"
3,1498804230.0093741,"30/06/2017 14:30:30",41250000.0,2,4.298373699188232,2968464,4160823.563391224,2.2191826897068663,0.006511688232421875,14.999480962753296,1448,"[0, 4160823.563391224, 16470265.548045775]","[1, 1, 1]","[]"
4,1498804245.0153668,"30/06/2017 14:30:45",41250000.0,3,4.547724723815918,3282616,4710887.604056217,2.5125031804612457,0.004688739776611328,14.99982213973999,7400,"[0, 4160823.563391224, 21181153.152101994]","[1, 1, 2]","['averageBytePerNet:[0.0, 4160823.563391224, 16470265.548045775], numNetworkHighestAverageByte: 1']"
5,1498804260.0198777,"30/06/2017 14:31:00",41250000.0,3,0,3045144,3045144.0,1.6233519566065948,0,15.006697654724121,0,"[0, 4160823.563391224, 24226297.152101994]","[1, 1, 3]","['averageBytePerNet:[0.0, 4160823.563391224, 10590576.576050997], numNetworkHighestAverageByte: 1']"
6,1498804275.0265753,"30/06/2017 14:31:15",41250000.0,3,0,3166776,3166776.0,1.6882968060420984,0,15.005778551101685,0,"[0, 4160823.563391224, 27393073.152101994]","[1, 1, 4]","['averageBytePerNet:[0.0, 4160823.563391224, 8075432.384033998], numNetworkHighestAverageByte: 1']"
7,1498804290.0323539,"30/06/2017 14:31:30",41250000.0,3,0,3557736,3557736.0,1.8966820417975823,0,15.00614619255066,0,"[0, 4160823.563391224, 30950809.152101994]","[1, 1, 5]","['averageBytePerNet:[0.0, 4160823.563391224, 6848268.288025498], numNetworkHighestAverageByte: 1']"
8,1498804305.0385,"30/06/2017 14:31:45",41250000.0,3,0,3019080,3019080.0,1.6097609620093545,0,15.003867387771606,0,"[0, 4160823.563391224, 33969889.15210199]","[1, 1, 6]","['averageBytePerNet:[0.0, 4160823.563391224, 6190161.830420399], numNetworkHighestAverageByte: 1']"
9,1498804320.0423675,"30/06/2017 14:32:00",41250000.0,3,0,3486784,3486784.0,1.8587828495973615,0,15.00674057006836,0,"[0, 4160823.563391224, 37456673.15210199]","[1, 1, 7]","['averageBytePerNet:[0.0, 4160823.563391224, 5661648.192016999], numNetworkHighestAverageByte: 1']"
10,1498804335.049108,"30/06/2017 14:32:15",41250000.0,3,0,2871384,2871384.0,1.5307084766592345,0,15.006823539733887,0,"[0, 4160823.563391224, 40328057.15210199]","[1, 1, 8]","['averageBytePerNet:[0.0, 4160823.563391224, 5350953.307443142], numNetworkHighestAverageByte: 1']"
11,1498804350.0559316,"30/06/2017 14:32:30",41250000.0,3,0,4241192,4241192.0,2.2610996971332287,0,15.005767345428467,0,"[0, 4160823.563391224, 44569249.15210199]","[1, 1, 9]","['averageBytePerNet:[0.0, 4160823.563391224, 5041007.144012749], numNetworkHighestAverageByte: 1']"
12,1498804365.061699,"30/06/2017 14:32:45",41250000.0,3,0,3730048,3730048.0,1.988534435644909,0,15.006219387054443,0,"[0, 4160823.563391224, 48299297.15210199]","[1, 1, 10]","['averageBytePerNet:[0.0, 4160823.563391224, 4952138.794677999], numNetworkHighestAverageByte: 1']"
13,1498804380.0679183,"30/06/2017 14:33:00",41250000.0,3,0,2108288,2108288.0,1.1239985878268484,0,15.005627393722534,0,"[0, 4160823.563391224, 50407585.15210199]","[1, 1, 11]","['averageBytePerNet:[0.0, 4160823.563391224, 4829929.715210199], numNetworkHighestAverageByte: 1']"
14,1498804395.0735457,"30/06/2017 14:33:15",41250000.0,3,0,2754096,2754096.0,1.4683039457678428,0,15.005590677261353,0,"[0, 4160823.563391224, 53161681.15210199]","[1, 1, 12]","['averageBytePerNet:[0.0, 4160823.563391224, 4582507.741100181], numNetworkHighestAverageByte: 1']"
15,1498804410.0791364,"30/06/2017 14:33:30",41250000.0,3,0,2144488,2144488.0,1.1432936726104994,0,15.00568437576294,0,"[0, 4160823.563391224, 55306169.15210199]","[1, 1, 13]","['averageBytePerNet:[0.0, 4160823.563391224, 4430140.096008499], numNetworkHighestAverageByte: 1']"
16,1498804425.0848207,"30/06/2017 14:33:45",41250000.0,3,0,3334744,3334744.0,1.7778346211413996,0,15.005868196487427,0,"[0, 4160823.563391224, 58640913.15210199]","[1, 1, 14]","['averageBytePerNet:[0.0, 4160823.563391224, 4254320.704007845], numNetworkHighestAverageByte: 1']"
17,1498804440.090689,"30/06/2017 14:34:00",41250000.0,3,0,3043696,3043696.0,1.6226210495668638,0,15.00631833076477,0,"[0, 4160823.563391224, 61684609.15210199]","[1, 1, 15]","['averageBytePerNet:[0.0, 4160823.563391224, 4188636.653721571], numNetworkHighestAverageByte: 1']"
18,1498804455.0970073,"30/06/2017 14:34:15",41250000.0,2,4.375577211380005,1718776,2426655.071955904,1.2942366920000434,0.00723719596862793,14.999760627746582,0,"[0, 6587478.635347128, 61684609.15210199]","[1, 2, 15]","['averageBytePerNet:[0.0, 4160823.563391224, 4112307.2768067997], numNetworkHighestAverageByte: 1']"
19,1498804470.104005,"30/06/2017 14:34:30",41250000.0,3,4.76080584526062,4094944,5998987.0189869115,3.199530635566473,0.0075914859771728516,14.999667644500732,0,"[0, 6587478.635347128, 67683596.1710889]","[1, 2, 16]","['averageBytePerNet:[0.0, 3293739.317673564, 4112307.2768067997], numNetworkHighestAverageByte: 1']"
20,1498804485.1112642,"30/06/2017 14:34:45",41250000.0,3,0,4288976,4288976.0,2.2867912141642024,0,15.0043466091156,0,"[0, 6587478.635347128, 71972572.1710889]","[1, 2, 17]","['averageBytePerNet:[0.0, 3293739.317673564, 4230224.7606930565], numNetworkHighestAverageByte: 1']"
21,1498804500.1156108,"30/06/2017 14:35:00",41250000.0,3,0,2999192,2999192.0,1.5988974564212666,0,15.006300687789917,0,"[0, 6587478.635347128, 74971764.1710889]","[1, 2, 18]","['averageBytePerNet:[0.0, 3293739.317673564, 4233680.715946406], numNetworkHighestAverageByte: 1']"
22,1498804515.1219115,"30/06/2017 14:35:15",41250000.0,3,0,4601360,4601360.0,2.4530354534485364,0,15.006256818771362,0,"[0, 6587478.635347128, 79573124.1710889]","[1, 2, 19]","['averageBytePerNet:[0.0, 3293739.317673564, 4165098.009504939], numNetworkHighestAverageByte: 1']"
23,1498804530.1281683,"30/06/2017 14:35:30",41250000.0,3,0,3701088,3701088.0,1.9734440352886158,0,15.00356912612915,0,"[0, 6587478.635347128, 83274212.1710889]","[1, 2, 20]","['averageBytePerNet:[0.0, 3293739.317673564, 4188059.166899416], numNetworkHighestAverageByte: 1']"
24,1498804545.1317375,"30/06/2017 14:35:45",41250000.0,3,0,3954488,3954488.0,2.1082514417293385,0,15.005754709243774,0,"[0, 6587478.635347128, 87228700.1710889]","[1, 2, 21]","['averageBytePerNet:[0.0, 3293739.317673564, 4163710.608554445], numNetworkHighestAverageByte: 1']"
25,1498804560.1374922,"30/06/2017 14:36:00",41250000.0,3,0,3650408,3650408.0,1.9461109516535546,0,15.005960464477539,0,"[0, 6587478.635347128, 90879108.1710889]","[1, 2, 22]","['averageBytePerNet:[0.0, 3293739.317673564, 4153747.6271947096], numNetworkHighestAverageByte: 1']"
26,1498804575.1434526,"30/06/2017 14:36:15",41250000.0,3,0,3705432,3705432.0,1.9752806951026574,0,15.007211923599243,0,"[0, 6587478.635347128, 94584540.1710889]","[1, 2, 23]","['averageBytePerNet:[0.0, 3293739.317673564, 4130868.553231314], numNetworkHighestAverageByte: 1']"
27,1498804590.1506646,"30/06/2017 14:36:30",41250000.0,3,0,3227592,3227592.0,1.7209859809701884,0,15.00345516204834,0,"[0, 6587478.635347128, 97812132.1710889]","[1, 2, 24]","['averageBytePerNet:[0.0, 3293739.317673564, 4112371.311786474], numNetworkHighestAverageByte: 1']"
28,1498804605.1541197,"30/06/2017 14:36:45",41250000.0,3,0,3579456,3579456.0,1.9082070285387391,0,15.006572961807251,0,"[0, 6587478.635347128, 101391588.1710889]","[1, 2, 25]","['averageBytePerNet:[0.0, 3293739.317673564, 4075505.5071287043], numNetworkHighestAverageByte: 1']"
29,1498804620.1606927,"30/06/2017 14:37:00",41250000.0,3,0,4456944,4456944.0,2.376503438111335,0,15.003366470336914,0,"[0, 6587478.635347128, 105848532.1710889]","[1, 2, 26]","['averageBytePerNet:[0.0, 3293739.317673564, 4055663.526843556], numNetworkHighestAverageByte: 1']"
