"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498899900.0001457,"01/07/2017 17:05:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,1,4.398336172103882,852872,1206764.435852942,0.6436841969424318,0.0026955604553222656,14.998217344284058,0,"[1206764.435852942, 0, 0]","[1, 0, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498899915.0010586,"01/07/2017 17:05:15",2,1,0.7937005259840998,41250000.0,"[1.0, 0.9770478752097148, 0.9770478752097148]","[0.33440190877837117, 0.3327990456108144, 0.3327990456108144]",2,2,3.9674887657165527,1646376,2238581.966745199,1.19411749187548,0.013564825057983398,14.997398376464844,0,"[1206764.435852942, 2238581.966745199, 0]","[1, 1, 0]","[1206764.435852942]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498899930.0120218,"01/07/2017 17:05:30",3,1,0.6933612743506348,41250000.0,"[0.9981361763494144, 1.0, 0.9752268302721445]","[0.33405679833050683, 0.33424901183009564, 0.3316941898393975]",2,3,3.990863084793091,6133728,8357719.530896896,4.458166534194094,0.012300491333007812,14.9975905418396,0,"[1206764.435852942, 2238581.966745199, 8357719.530896896]","[1, 1, 1]","[2238581.966745199]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498899945.0219128,"01/07/2017 17:05:45",4,2,0.6299605249474366,41250000.0,"[0.9808594533576823, 0.982691016114735, 1.0]","[0.3324604492221038, 0.33268914467646743, 0.33485040610142874]",0,3,0,14873856,14873856.0,7.926975897538277,0,15.010875463485718,0,"[1206764.435852942, 2238581.966745199, 23231575.530896895]","[1, 1, 2]","[8357719.530896896]","['; gamma used= 0.6299605249474366', 'current gain: 8357719.530896896, prev block gain: [2238581.966745199]', 'flipped coin but will not select greedily...', 'choosing randomly']"
5,1498899960.0327883,"01/07/2017 17:06:00",4,2,0.6299605249474366,41250000.0,"[0.7951390869456346, 0.7966238533240807, 1.0]","[0.32231457942794844, 0.32255243672706013, 0.35513298384499137]",0,3,0,12827984,12827984.0,6.826802002470608,0,15.032495737075806,0,"[1206764.435852942, 2238581.966745199, 36059559.530896895]","[1, 1, 3]","[8357719.530896896]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498899975.065284,"01/07/2017 17:06:15",5,2,0.5848035476425733,41250000.0,"[0.6634662303446088, 0.6647051234744058, 1.0]","[0.3132543399978291, 0.31347527907583034, 0.3732703809263405]",0,3,0,13844176,13844176.0,7.3784971706261215,0,15.01029348373413,0,"[1206764.435852942, 2238581.966745199, 49903735.530896895]","[1, 1, 4]","[14873856.0, 12827984.0]","['; gamma used= 0.5848035476425733', 'flipped coin but will not select greedily...', 'choosing randomly']"
7,1498899990.0755775,"01/07/2017 17:06:30",5,2,0.5848035476425733,41250000.0,"[0.5625850220070807, 0.5636355392554555, 1.0]","[0.30242267464931105, 0.3026448507187529, 0.39493247463193615]",0,3,0,12883408,12883408.0,6.866308741220244,0,15.010578155517578,0,"[1206764.435852942, 2238581.966745199, 62787143.530896895]","[1, 1, 5]","[14873856.0, 12827984.0]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1498900005.0861557,"01/07/2017 17:06:45",6,2,0.5503212081491045,41250000.0,"[0.4825347378513098, 0.4834357768858087, 1.0]","[0.29381115157374865, 0.2940172473119129, 0.41217160111433837]",0,2,4.240028142929077,1837512,2561977.3173415097,1.3669066202773608,0.01565074920654297,14.99430775642395,7400,"[1206764.435852942, 4800559.284086709, 62787143.530896895]","[1, 2, 5]","[13844176.0, 12883408.0]","['; gamma used= 0.5503212081491045', 'flipped coin but will not select greedily...', 'choosing randomly']"
9,1498900020.0961142,"01/07/2017 17:07:00",7,2,0.5503212081491045,41250000.0,"[0.4825347378513098, 0.501562289966218, 1.0]","[0.29031848034656604, 0.2948952463450685, 0.4147862733083655]",-1,3,4.58454442024231,1560944,2248271.2334585576,1.1993815227070783,0.015250444412231445,14.996203899383545,0,"[1206764.435852942, 4800559.284086709, 65035414.76435545]","[1, 2, 6]","[2561977.3173415097]","['; gamma used= 0.5227579585747102', 'current gain: 2561977.3173415097, prev block gain: [13844176.0, 12883408.0]', ' ----- switch back']"
10,1498900035.1075685,"01/07/2017 17:07:15",7,2,0.5227579585747102,41250000.0,"[0.47817127755698513, 0.49702676751421054, 1.0]","[0.2877105485068164, 0.29248361164452974, 0.41980583984865383]",-1,3,0,3006048,3006048.0,1.6019122086727784,0,15.012298345565796,0,"[1206764.435852942, 4800559.284086709, 68041462.76435545]","[1, 2, 7]","[2561977.3173415097]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
11,1498900050.1198668,"01/07/2017 17:07:30",8,2,0.5,41250000.0,"[0.4723987040907589, 0.49102656703204167, 1.0]","[0.28696630603634177, 0.2917100218311961, 0.42132367213246213]",0,1,4.786835193634033,1169984,1718826.4437132708,0.9172531269815535,0.01990222930908203,14.991076231002808,0,"[2925590.879566213, 4800559.284086709, 68041462.76435545]","[2, 2, 7]","[2248271.2334585576, 3006048.0]","['; gamma used= 0.5', 'flipped coin but will not select greedily...', 'choosing randomly']"
