"time slot","timestamp","date time","max gain","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","log"
1,1498899900.0000834,"01/07/2017 17:05:00",41250000.0,2,4.201459884643555,1728912,2401594.2709802315,1.2808543495824443,0.0005366802215576172,14.99995231628418,0,"[0, 2401594.2709802315, 0]","[0, 1, 0]","[]"
2,1498899915.0005724,"01/07/2017 17:05:15",41250000.0,1,3.2136576175689697,1610176,2049213.640290267,1.0929294717397684,0.007067203521728516,14.999786853790283,0,"[2049213.640290267, 2401594.2709802315, 0]","[1, 1, 0]","[]"
3,1498899930.0074265,"01/07/2017 17:05:30",41250000.0,3,3.9854116439819336,3908216,5322357.886535208,2.8386365331583168,0.00786900520324707,14.99975872039795,1448,"[2049213.640290267, 2401594.2709802315, 5322357.886535208]","[1, 1, 1]","[]"
4,1498899945.0150542,"01/07/2017 17:05:45",41250000.0,3,0,5057800,5057800.0,2.696051086969645,0,15.008024215698242,0,"[2049213.640290267, 2401594.2709802315, 10380157.886535209]","[1, 1, 2]","['averageBytePerNet:[2049213.640290267, 2401594.2709802315, 5322357.886535208], numNetworkHighestAverageByte: 1']"
5,1498899960.0230784,"01/07/2017 17:06:00",41250000.0,3,0,4516312,4516312.0,2.407782576645767,0,15.005713701248169,0,"[2049213.640290267, 2401594.2709802315, 14896469.886535209]","[1, 1, 3]","['averageBytePerNet:[2049213.640290267, 2401594.2709802315, 5190078.943267604], numNetworkHighestAverageByte: 1']"
6,1498899975.0287921,"01/07/2017 17:06:15",41250000.0,3,0,2845320,2845320.0,1.5168110573264808,0,15.006852626800537,0,"[2049213.640290267, 2401594.2709802315, 17741789.88653521]","[1, 1, 4]","['averageBytePerNet:[2049213.640290267, 2401594.2709802315, 4965489.962178403], numNetworkHighestAverageByte: 1']"
7,1498899990.0356448,"01/07/2017 17:06:30",41250000.0,3,0,3299992,3299992.0,1.759324995600375,0,15.00571870803833,0,"[2049213.640290267, 2401594.2709802315, 21041781.88653521]","[1, 1, 5]","['averageBytePerNet:[2049213.640290267, 2401594.2709802315, 4435447.471633802], numNetworkHighestAverageByte: 1']"
8,1498900005.0413635,"01/07/2017 17:06:45",41250000.0,3,0,4927544,4927544.0,2.6274449778743505,0,15.003302574157715,0,"[2049213.640290267, 2401594.2709802315, 25969325.88653521]","[1, 1, 6]","['averageBytePerNet:[2049213.640290267, 2401594.2709802315, 4208356.377307042], numNetworkHighestAverageByte: 1']"
9,1498900020.044666,"01/07/2017 17:07:00",41250000.0,3,0,3929872,3929872.0,2.095117823568633,0,15.005827188491821,0,"[2049213.640290267, 2401594.2709802315, 29899197.88653521]","[1, 1, 7]","['averageBytePerNet:[2049213.640290267, 2401594.2709802315, 4328220.981089202], numNetworkHighestAverageByte: 1']"
10,1498900035.0504932,"01/07/2017 17:07:15",41250000.0,3,0,5838336,5838336.0,3.1130734034558154,0,15.003400802612305,0,"[2049213.640290267, 2401594.2709802315, 35737533.88653521]","[1, 1, 8]","['averageBytePerNet:[2049213.640290267, 2401594.2709802315, 4271313.983790744], numNetworkHighestAverageByte: 1']"
11,1498900050.053894,"01/07/2017 17:07:30",41250000.0,3,0,4787184,4787184.0,2.552179375618227,0,15.005791664123535,0,"[2049213.640290267, 2401594.2709802315, 40524717.88653521]","[1, 1, 9]","['averageBytePerNet:[2049213.640290267, 2401594.2709802315, 4467191.735816902], numNetworkHighestAverageByte: 1']"
12,1498900065.0596857,"01/07/2017 17:07:45",41250000.0,3,0,4439472,4439472.0,2.3664790506627353,0,15.007855653762817,0,"[2049213.640290267, 2401594.2709802315, 44964189.88653521]","[1, 1, 10]","['averageBytePerNet:[2049213.640290267, 2401594.2709802315, 4502746.431837246], numNetworkHighestAverageByte: 1']"
13,1498900080.0675414,"01/07/2017 17:08:00",41250000.0,3,0,4367168,4367168.0,2.328080823828269,0,15.006929159164429,0,"[2049213.640290267, 2401594.2709802315, 49331357.88653521]","[1, 1, 11]","['averageBytePerNet:[2049213.640290267, 2401594.2709802315, 4496418.988653521], numNetworkHighestAverageByte: 1']"
14,1498900095.0744705,"01/07/2017 17:08:15",41250000.0,3,0,4652840,4652840.0,2.480923089642353,0,15.003576755523682,0,"[2049213.640290267, 2401594.2709802315, 53984197.88653521]","[1, 1, 12]","['averageBytePerNet:[2049213.640290267, 2401594.2709802315, 4484668.898775929], numNetworkHighestAverageByte: 1']"
15,1498900110.0780473,"01/07/2017 17:08:30",41250000.0,3,0,5326776,5326776.0,2.840219974003963,0,15.003840684890747,0,"[2049213.640290267, 2401594.2709802315, 59310973.88653521]","[1, 1, 13]","['averageBytePerNet:[2049213.640290267, 2401594.2709802315, 4498683.157211267], numNetworkHighestAverageByte: 1']"
