"time slot","timestamp","date time","max gain","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","log"
1,1498899900.000112,"01/07/2017 17:05:00",41250000.0,1,4.0243377685546875,962504,1315422.9738507785,0.7015692899505834,0.0008821487426757812,14.999778270721436,0,"[1315422.9738507785, 0, 0]","[1, 0, 0]","[]"
2,1498899915.0007725,"01/07/2017 17:05:15",41250000.0,3,4.451941967010498,2972776,4227494.742113468,2.2546902029022062,0.007288932800292969,14.99982476234436,0,"[1315422.9738507785, 0, 4227494.742113468]","[1, 0, 1]","[]"
3,1498899930.0078862,"01/07/2017 17:05:30",41250000.0,2,4.265554428100586,3242072,4530394.616710987,2.416234772621885,0.006964921951293945,14.999849081039429,1416,"[1315422.9738507785, 4530394.616710987, 4227494.742113468]","[1, 1, 1]","[]"
4,1498899945.0147002,"01/07/2017 17:05:45",41250000.0,2,0,7471680,7471680.0,3.9830387128041975,0,15.006994485855103,0,"[1315422.9738507785, 12002074.616710987, 4227494.742113468]","[1, 2, 1]","['averageBytePerNet:[1315422.9738507785, 4530394.616710987, 4227494.742113468], numNetworkHighestAverageByte: 1']"
5,1498899960.0216947,"01/07/2017 17:06:00",41250000.0,2,0,6821528,6821528.0,3.636716171406895,0,15.005906820297241,0,"[1315422.9738507785, 18823602.616710987, 4227494.742113468]","[1, 3, 1]","['averageBytePerNet:[1315422.9738507785, 6001037.3083554935, 4227494.742113468], numNetworkHighestAverageByte: 1']"
6,1498899975.0276015,"01/07/2017 17:06:15",41250000.0,2,0,8346272,8346272.0,4.449330248176788,0,15.006792545318604,0,"[1315422.9738507785, 27169874.616710987, 4227494.742113468]","[1, 4, 1]","['averageBytePerNet:[1315422.9738507785, 6274534.205570329, 4227494.742113468], numNetworkHighestAverageByte: 1']"
7,1498899990.034394,"01/07/2017 17:06:30",41250000.0,2,0,4685728,4685728.0,2.497915131233669,0,15.006844520568848,0,"[1315422.9738507785, 31855602.616710987, 4227494.742113468]","[1, 5, 1]","['averageBytePerNet:[1315422.9738507785, 6792468.654177747, 4227494.742113468], numNetworkHighestAverageByte: 1']"
8,1498900005.0412385,"01/07/2017 17:06:45",41250000.0,2,0,5095512,5095512.0,2.716211134556729,0,15.007705211639404,0,"[1315422.9738507785, 36951114.61671099, 4227494.742113468]","[1, 6, 1]","['averageBytePerNet:[1315422.9738507785, 6371120.523342198, 4227494.742113468], numNetworkHighestAverageByte: 1']"
9,1498900020.0489438,"01/07/2017 17:07:00",41250000.0,2,0,8100112,8100112.0,4.318301170700224,0,15.006108522415161,0,"[1315422.9738507785, 45051226.61671099, 4227494.742113468]","[1, 7, 1]","['averageBytePerNet:[1315422.9738507785, 6158519.102785165, 4227494.742113468], numNetworkHighestAverageByte: 1']"
10,1498900035.0550523,"01/07/2017 17:07:15",41250000.0,2,0,5528464,5528464.0,2.9474217783426027,0,15.005559206008911,0,"[1315422.9738507785, 50579690.61671099, 4227494.742113468]","[1, 8, 1]","['averageBytePerNet:[1315422.9738507785, 6435889.516672999, 4227494.742113468], numNetworkHighestAverageByte: 1']"
11,1498900050.0606115,"01/07/2017 17:07:30",41250000.0,2,0,6453736,6453736.0,3.4405129629647893,0,15.006450653076172,0,"[1315422.9738507785, 57033426.61671099, 4227494.742113468]","[1, 9, 1]","['averageBytePerNet:[1315422.9738507785, 6322461.327088874, 4227494.742113468], numNetworkHighestAverageByte: 1']"
12,1498900065.0670621,"01/07/2017 17:07:45",41250000.0,2,0,8165272,8165272.0,4.352588137788254,0,15.007663011550903,0,"[1315422.9738507785, 65198698.61671099, 4227494.742113468]","[1, 10, 1]","['averageBytePerNet:[1315422.9738507785, 6337047.401856776, 4227494.742113468], numNetworkHighestAverageByte: 1']"
13,1498900080.0747252,"01/07/2017 17:08:00",41250000.0,2,0,7062952,7062952.0,3.7652376473979268,0,15.006653308868408,0,"[1315422.9738507785, 72261650.61671099, 4227494.742113468]","[1, 11, 1]","['averageBytePerNet:[1315422.9738507785, 6519869.861671099, 4227494.742113468], numNetworkHighestAverageByte: 1']"
14,1498900095.0813785,"01/07/2017 17:08:15",41250000.0,2,0,7973080,7973080.0,4.250101480863268,0,15.007792234420776,0,"[1315422.9738507785, 80234730.61671099, 4227494.742113468]","[1, 12, 1]","['averageBytePerNet:[1315422.9738507785, 6569240.965155545, 4227494.742113468], numNetworkHighestAverageByte: 1']"
15,1498900110.0891707,"01/07/2017 17:08:30",41250000.0,2,0,7531432,7531432.0,4.01492890788181,0,15.006855010986328,0,"[1315422.9738507785, 87766162.61671099, 4227494.742113468]","[1, 13, 1]","['averageBytePerNet:[1315422.9738507785, 6686227.551392582, 4227494.742113468], numNetworkHighestAverageByte: 1']"
16,1498900125.0960257,"01/07/2017 17:08:45",41250000.0,2,0,7177352,7177352.0,3.8262745681235186,0,15.006454706192017,0,"[1315422.9738507785, 94943514.61671099, 4227494.742113468]","[1, 14, 1]","['averageBytePerNet:[1315422.9738507785, 6751243.278208538, 4227494.742113468], numNetworkHighestAverageByte: 1']"
17,1498900140.1024804,"01/07/2017 17:09:00",41250000.0,2,0,7257440,7257440.0,3.868745876562365,0,15.007323265075684,0,"[1315422.9738507785, 102200954.61671099, 4227494.742113468]","[1, 15, 1]","['averageBytePerNet:[1315422.9738507785, 6781679.615479357, 4227494.742113468], numNetworkHighestAverageByte: 1']"
18,1498900155.1098037,"01/07/2017 17:09:15",41250000.0,2,0,7124096,7124096.0,3.79775361773946,0,15.006968259811401,0,"[1315422.9738507785, 109325050.61671099, 4227494.742113468]","[1, 16, 1]","['averageBytePerNet:[1315422.9738507785, 6813396.974447399, 4227494.742113468], numNetworkHighestAverageByte: 1']"
19,1498900170.116772,"01/07/2017 17:09:30",41250000.0,2,0,7092304,7092304.0,3.780685088029199,0,15.007447242736816,0,"[1315422.9738507785, 116417354.61671099, 4227494.742113468]","[1, 17, 1]","['averageBytePerNet:[1315422.9738507785, 6832815.663544437, 4227494.742113468], numNetworkHighestAverageByte: 1']"
20,1498900185.1242192,"01/07/2017 17:09:45",41250000.0,2,0,6542064,6542064.0,3.485064102035211,0,15.017374277114868,0,"[1315422.9738507785, 122959418.61671099, 4227494.742113468]","[1, 18, 1]","['averageBytePerNet:[1315422.9738507785, 6848079.68333594, 4227494.742113468], numNetworkHighestAverageByte: 1']"
21,1498900200.1415935,"01/07/2017 17:10:00",41250000.0,2,0,6911304,6911304.0,3.6843405444744644,0,15.006873369216919,0,"[1315422.9738507785, 129870722.61671099, 4227494.742113468]","[1, 19, 1]","['averageBytePerNet:[1315422.9738507785, 6831078.812039499, 4227494.742113468], numNetworkHighestAverageByte: 1']"
22,1498900215.1484668,"01/07/2017 17:10:15",41250000.0,2,0,7122712,7122712.0,3.7972441669065087,0,15.006065845489502,0,"[1315422.9738507785, 136993434.616711, 4227494.742113468]","[1, 20, 1]","['averageBytePerNet:[1315422.9738507785, 6835301.19035321, 4227494.742113468], numNetworkHighestAverageByte: 1']"
