"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498395120.0001051,"25/06/2017 20:52:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,3,3.9573514461517334,3764800,5114090.383131038,2.727663492092693,0.0014545917510986328,14.99918270111084,0,"[0, 0, 5114090.383131038]","[0, 0, 1]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498395135.0007424,"25/06/2017 20:52:15",2,1,0.7937005259840998,41250000.0,"[0.906285081375381, 0.906285081375381, 1.0]","[0.33104203186635134, 0.33104203186635134, 0.3379159362672973]",2,1,3.0939908027648926,1636240,2061491.6267661254,1.099554986100428,0.008177042007446289,14.99873423576355,0,"[2061491.6267661254, 0, 5114090.383131038]","[1, 0, 1]","[5114090.383131038]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498395150.0076537,"25/06/2017 20:52:30",3,1,0.6933612743506348,41250000.0,"[0.9274646297493514, 0.906285081375381, 1.0]","[0.33148093687630936, 0.32918910789165085, 0.3393299552320398]",2,2,5.745823383331299,961472,1558524.8626257817,0.8312860633451965,0.007854938507080078,14.99868631362915,0,"[2061491.6267661254, 1558524.8626257817, 5114090.383131038]","[1, 1, 1]","[2061491.6267661254]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498395165.014195,"25/06/2017 20:52:45",4,2,0.6299605249474366,41250000.0,"[0.9274646297493514, 0.9135039749412674, 1.0]","[0.3307901916599931, 0.3289718000846536, 0.34023800825535333]",-1,1,3.393019437789917,2024304,2616195.0174365337,1.3955499596479028,0.009758949279785156,14.997356414794922,0,"[4677686.644202659, 1558524.8626257817, 5114090.383131038]","[2, 1, 1]","[1558524.8626257817]","['; gamma used= 0.6299605249474366', 'current gain: 1558524.8626257817, prev block gain: [2061491.6267661254]', ' ----- switch back']"
5,1498395180.0213103,"25/06/2017 20:53:00",4,2,0.6299605249474366,41250000.0,"[0.9390023415560721, 0.9135039749412674, 1.0]","[0.33161096729293704, 0.3278995534747984, 0.3404894792322646]",-1,1,0,2842424,2842424.0,1.5141316660467004,0,15.018107414245605,0,"[7520110.644202659, 1558524.8626257817, 5114090.383131038]","[3, 1, 1]","[1558524.8626257817]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498395195.0394177,"25/06/2017 20:53:15",5,2,0.5848035476425733,41250000.0,"[0.9517004900503184, 0.9135039749412674, 1.0]","[0.33284532538983186, 0.32731027274019786, 0.3398444018699702]",1,3,4.99053168296814,1178736,1766511.092908516,0.9422244045290731,0.0071544647216796875,14.998644351959229,0,"[7520110.644202659, 1558524.8626257817, 6880601.476039555]","[3, 1, 2]","[2616195.0174365337, 2842424.0]","['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[2506703.548067553, 1558524.8626257817, 5114090.383131038], numNetworkHighestAverageByte: 1', 'choosing greedily']"
7,1498395210.0452166,"25/06/2017 20:53:30",6,2,0.5848035476425733,41250000.0,"[0.9368647074807405, 0.8992636267536173, 1.0]","[0.33198381829541423, 0.32602202582306294, 0.3419941558815228]",-1,1,3.6061105728149414,680560,895993.8292308477,0.47793061223339983,0.010263442993164062,14.997889757156372,1384,"[8416104.473433506, 1558524.8626257817, 6880601.476039555]","[4, 1, 2]","[1766511.092908516]","['; gamma used= 0.5503212081491045', 'current gain: 1766511.092908516, prev block gain: [2616195.0174365337, 2842424.0]', ' ----- switch back']"
8,1498395225.0533698,"25/06/2017 20:53:45",6,2,0.5503212081491045,41250000.0,"[0.9404174153231354, 0.8992636267536173, 1.0]","[0.3323009408280999, 0.3253845591013205, 0.3423145000705796]",-1,1,0,1175776,1175776.0,0.6267449686521364,0,15.008031129837036,0,"[9591880.473433506, 1558524.8626257817, 6880601.476039555]","[5, 1, 2]","[1766511.092908516]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
9,1498395240.061401,"25/06/2017 20:54:00",7,2,0.5227579585747102,41250000.0,"[0.9450999357608562, 0.8992636267536173, 1.0]","[0.3328264120772206, 0.32513575889550245, 0.342037829027277]",0,2,5.280441045761108,1424832,2199281.253082718,1.173309951000263,0.010695457458496094,14.99539828300476,0,"[9591880.473433506, 3757806.115708499, 6880601.476039555]","[5, 2, 2]","[895993.8292308477, 1175776.0]","['; gamma used= 0.5227579585747102', 'flipped coin but will not select greedily...', 'choosing randomly']"
10,1498395255.0674946,"25/06/2017 20:54:15",7,2,0.5227579585747102,41250000.0,"[0.9450999357608562, 0.9241794950569987, 1.0]","[0.33135957276878625, 0.32771398139152985, 0.3409264458396839]",0,2,0,3301440,3301440.0,1.7598892660248613,0,15.007489681243896,0,"[9591880.473433506, 7059246.115708499, 6880601.476039555]","[5, 3, 2]","[895993.8292308477, 1175776.0]","['; gamma used= 0.5', 'current gain: 2199281.253082718, prev block gain: [895993.8292308477, 1175776.0]', 'no selection ----- in the middle of a block']"
