"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
13,1498892580.0887747,"01/07/2017 15:03:00",8,2,0.5,41250000.0,"[0.5332810650165157, 1.0, 0.5708036819709077]","[0.2918540950023404, 0.40703190530000655, 0.3011139996976531]",0,2,0,5913632,5913632.0,3.1526425274208485,0,15.00615930557251,0,"[930595.9226350366, 78530230.73995914, 3780113.13403511]","[1, 11, 1]","[7413760.0, 9524944.0]","['; gamma used= 0.4807498567691362', 'no selection ----- in the middle of a block']"
14,1498892595.094934,"01/07/2017 15:03:15",9,2,0.4807498567691362,41250000.0,"[0.5031342603170097, 1.0, 0.5385356937542194]","[0.28821017237570146, 0.41457614351733335, 0.29721368410696525]",0,2,0,6129384,6129384.0,3.267566157139702,0,15.006604194641113,0,"[930595.9226350366, 84659614.73995914, 3780113.13403511]","[1, 12, 1]","[7767072.0, 5913632.0]","['; gamma used= 0.4807498567691362', 'flipped coin but will not select greedily...', 'choosing randomly']"
15,1498892610.1015382,"01/07/2017 15:03:30",9,2,0.4807498567691362,41250000.0,"[0.47599288785353655, 1.0, 0.5094846054028741]","[0.28318069642464594, 0.4245998548149403, 0.2922194487604137]",0,2,0,6756368,6756368.0,3.601802279823603,0,15.006638288497925,0,"[930595.9226350366, 91415982.73995914, 3780113.13403511]","[1, 13, 1]","[7767072.0, 5913632.0]","['; gamma used= 0.4641588833612779', 'no selection ----- in the middle of a block']"
16,1498892625.1081765,"01/07/2017 15:03:45",10,2,0.4641588833612779,41250000.0,"[0.4477684666710744, 1.0, 0.47927426307251564]","[0.2792278971022012, 0.43278357954493474, 0.28798852335286396]",1,2,0,6999632,6999632.0,3.731653647602359,0,15.00596284866333,0,"[930595.9226350366, 98415614.73995914, 3780113.13403511]","[1, 14, 1]","[6129384.0, 6756368.0]","['; gamma used= 0.4641588833612779', 'flipped coin and will select greedily...', 'averageBytePerNet:[930595.9226350366, 7031998.672304549, 3780113.13403511], numNetworkHighestAverageByte: 1', 'choosing greedily']"
17,1498892640.1141393,"01/07/2017 15:04:00",10,2,0.4641588833612779,41250000.0,"[0.42556176921798944, 1.0, 0.4555050623598627]","[0.27439075117521416, 0.4424577979281067, 0.28315145089667915]",1,2,0,7558560,7558560.0,4.029211072179894,0,15.007523536682129,0,"[930595.9226350366, 105974174.73995914, 3780113.13403511]","[1, 15, 1]","[6129384.0, 6756368.0]","['; gamma used= 0.4496443130226092', 'no selection ----- in the middle of a block']"
18,1498892655.1216629,"01/07/2017 15:04:15",11,3,0.4496443130226092,41250000.0,"[0.4028169380688315, 1.0, 0.43115986389431465]","[0.2707622429492175, 0.44997012275913584, 0.2792676342916466]",1,2,0,7303712,7303712.0,3.8936667795432625,0,15.00634217262268,0,"[930595.9226350366, 113277886.73995914, 3780113.13403511]","[1, 16, 1]","[6999632.0, 7558560.0]","['; gamma used= 0.4496443130226092', 'flipped coin and will select greedily...', 'averageBytePerNet:[930595.9226350366, 7064944.9826639425, 3780113.13403511], numNetworkHighestAverageByte: 1', 'choosing greedily']"
19,1498892670.128005,"01/07/2017 15:04:30",11,3,0.4496443130226092,41250000.0,"[0.3825745680887136, 1.0, 0.40949320427625596]","[0.2658320035910273, 0.4598760232420489, 0.2742919731669238]",1,2,0,6663696,6663696.0,3.552581496516247,0,15.005867719650269,0,"[930595.9226350366, 119941582.73995914, 3780113.13403511]","[1, 17, 1]","[6999632.0, 7558560.0]","['; gamma used= 0.43679023236814946', 'no selection ----- in the middle of a block']"
20,1498892685.1338727,"01/07/2017 15:04:45",11,3,0.4496443130226092,41250000.0,"[0.364994753788665, 1.0, 0.3906764425550766]","[0.2626850752955829, 0.46639130338002976, 0.27092362132438735]",1,2,0,7004008,7004008.0,3.7338031582371904,0,15.006700038909912,0,"[930595.9226350366, 126945590.73995914, 3780113.13403511]","[1, 18, 1]","[6999632.0, 7558560.0]","['; gamma used= 0.43679023236814946', 'no selection ----- in the middle of a block']"
21,1498892700.1405728,"01/07/2017 15:05:00",12,3,0.43679023236814946,41250000.0,"[0.3473872091486498, 1.0, 0.3718299993372276]","[0.25939962393171956, 0.47319337638762504, 0.2674069996806554]",1,2,0,6430536,6430536.0,3.4280481660013464,0,15.006874322891235,0,"[930595.9226350366, 133376126.73995914, 3780113.13403511]","[1, 19, 1]","[7303712.0, 6663696.0, 7004008.0]","['; gamma used= 0.43679023236814946', 'flipped coin and will select greedily...', 'averageBytePerNet:[930595.9226350366, 7052532.818886619, 3780113.13403511], numNetworkHighestAverageByte: 1', 'choosing greedily']"
22,1498892715.147447,"01/07/2017 15:05:15",12,3,0.43679023236814946,41250000.0,"[0.3323672454569726, 1.0, 0.3557532039272628]","[0.25491572420513225, 0.48220695409949693, 0.26287732169537076]",1,2,0,8661936,8661936.0,4.617706339165862,0,15.006473541259766,0,"[930595.9226350366, 142038062.73995912, 3780113.13403511]","[1, 20, 1]","[7303712.0, 6663696.0, 7004008.0]","['; gamma used= 0.42529037028299016', 'no selection ----- in the middle of a block']"
23,1498892730.1539207,"01/07/2017 15:05:30",12,3,0.43679023236814946,41250000.0,"[0.31315671224217173, 1.0, 0.33519098296917726]","[0.2509480533475917, 0.4904214682876979, 0.2586304783647104]",1,2,0,8475144,8475144.0,4.517757407410123,0,15.00770092010498,0,"[930595.9226350366, 150513206.73995912, 3780113.13403511]","[1, 21, 1]","[7303712.0, 6663696.0, 7004008.0]","['; gamma used= 0.42529037028299016', 'no selection ----- in the middle of a block']"
24,1498892745.1616216,"01/07/2017 15:05:45",13,3,0.42529037028299016,41250000.0,"[0.2954355949869649, 1.0, 0.31622297596222126]","[0.24711435704515894, 0.49835860667450144, 0.25452703628033957]",0,2,0,6479800,6479800.0,3.4541750456046696,0,15.007461786270142,0,"[930595.9226350366, 156993006.73995912, 3780113.13403511]","[1, 22, 1]","[6430536.0, 8661936.0, 8475144.0]","['; gamma used= 0.42529037028299016', 'flipped coin but will not select greedily...', 'choosing randomly']"
