"time slot","timestamp","date time","max gain","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","log"
1,1498770300.000139,"30/06/2017 05:05:00",41250000.0,1,5.6366448402404785,679112,1087950.9090872887,0.580258534181261,0.0014166831970214844,14.999533414840698,0,"[1087950.9090872887, 0, 0]","[1, 0, 0]","[]"
2,1498770315.001089,"30/06/2017 05:05:15",41250000.0,2,5.036462783813477,2445672,3682120.462882774,1.9639949956251923,0.013459920883178711,14.998492240905762,0,"[1087950.9090872887, 3682120.462882774, 0]","[1, 1, 0]","[]"
3,1498770330.0130413,"30/06/2017 05:05:30",41250000.0,3,4.673630237579346,6518536,9468881.314298613,5.0501989491179105,0.0119476318359375,14.999617099761963,2896,"[1087950.9090872887, 3682120.462882774, 9468881.314298613]","[1, 1, 1]","[]"
4,1498770345.024606,"30/06/2017 05:05:45",41250000.0,3,0,9669408,9669408.0,5.153136196107782,0,15.011298179626465,0,"[1087950.9090872887, 3682120.462882774, 19138289.314298615]","[1, 1, 2]","['averageBytePerNet:[1087950.9090872887, 3682120.462882774, 9468881.314298613], numNetworkHighestAverageByte: 1']"
5,1498770360.0359042,"30/06/2017 05:06:00",41250000.0,3,0,5230176,5230176.0,2.787654502530015,0,15.009538650512695,0,"[1087950.9090872887, 3682120.462882774, 24368465.314298615]","[1, 1, 3]","['averageBytePerNet:[1087950.9090872887, 3682120.462882774, 9569144.657149307], numNetworkHighestAverageByte: 1']"
6,1498770375.0454428,"30/06/2017 05:06:15",41250000.0,3,0,3589592,3589592.0,1.9133253925929559,0,15.008809328079224,0,"[1087950.9090872887, 3682120.462882774, 27958057.314298615]","[1, 1, 4]","['averageBytePerNet:[1087950.9090872887, 3682120.462882774, 8122821.771432872], numNetworkHighestAverageByte: 1']"
7,1498770390.0542521,"30/06/2017 05:06:30",41250000.0,3,0,5563216,5563216.0,2.9652745406607957,0,15.008973836898804,0,"[1087950.9090872887, 3682120.462882774, 33521273.314298615]","[1, 1, 5]","['averageBytePerNet:[1087950.9090872887, 3682120.462882774, 6989514.328574654], numNetworkHighestAverageByte: 1']"
8,1498770405.063226,"30/06/2017 05:06:45",41250000.0,3,0,4380200,4380200.0,2.3344984618594573,0,15.01033329963684,0,"[1087950.9090872887, 3682120.462882774, 37901473.314298615]","[1, 1, 6]","['averageBytePerNet:[1087950.9090872887, 3682120.462882774, 6704254.662859723], numNetworkHighestAverageByte: 1']"
9,1498770420.0735593,"30/06/2017 05:07:00",41250000.0,3,0,3337640,3337640.0,1.776907814360799,0,15.0267333984375,0,"[1087950.9090872887, 3682120.462882774, 41239113.314298615]","[1, 1, 7]","['averageBytePerNet:[1087950.9090872887, 3682120.462882774, 6316912.219049769], numNetworkHighestAverageByte: 1']"
10,1498770435.1002927,"30/06/2017 05:07:15",41250000.0,3,0,4244088,4244088.0,2.262134520665421,0,15.00914454460144,0,"[1087950.9090872887, 3682120.462882774, 45483201.314298615]","[1, 1, 8]","['averageBytePerNet:[1087950.9090872887, 3682120.462882774, 5891301.902042659], numNetworkHighestAverageByte: 1']"
