"time slot","timestamp","date time","max gain","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","log"
1,1498762800.0001416,"30/06/2017 03:00:00",41250000.0,1,4.645679950714111,1006360,1457903.514962197,0.7775714552058852,0.0013926029205322266,14.999557971954346,0,"[1457903.514962197, 0, 0]","[1, 0, 0]","[]"
2,1498762815.0010922,"30/06/2017 03:00:15",41250000.0,3,4.128934860229492,8981712,12393140.54250293,6.609798716588749,0.011034488677978516,14.999719142913818,0,"[1457903.514962197, 0, 12393140.54250293]","[1, 0, 1]","[]"
3,1498762830.0118458,"30/06/2017 03:00:30",41250000.0,2,4.26069712638855,2552824,3565668.047741088,1.901743339545178,0.011383295059204102,14.999576330184937,1480,"[1457903.514962197, 3565668.047741088, 12393140.54250293]","[1, 1, 1]","[]"
4,1498762845.0228055,"30/06/2017 03:00:45",41250000.0,3,4.041182994842529,5107848,6991533.5378893055,3.7289784507028116,0.011420726776123047,14.999354124069214,0,"[1457903.514962197, 3565668.047741088, 19384674.080392234]","[1, 1, 2]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 12393140.54250293], numNetworkHighestAverageByte: 1']"
5,1498762860.0335803,"30/06/2017 03:01:00",41250000.0,3,0,2867040,2867040.0,1.5280156007199321,0,15.01052737236023,0,"[1457903.514962197, 3565668.047741088, 22251714.080392234]","[1, 1, 3]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 9692337.040196117], numNetworkHighestAverageByte: 1']"
6,1498762875.0441077,"30/06/2017 03:01:15",41250000.0,3,0,3663440,3663440.0,1.9526262117905857,0,15.009283304214478,0,"[1457903.514962197, 3565668.047741088, 25915154.080392234]","[1, 1, 4]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 7417238.026797411], numNetworkHighestAverageByte: 1']"
7,1498762890.053391,"30/06/2017 03:01:30",41250000.0,3,0,4302008,4302008.0,2.2928059785787815,0,15.010456323623657,0,"[1457903.514962197, 3565668.047741088, 30217162.080392234]","[1, 1, 5]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 6478788.5200980585], numNetworkHighestAverageByte: 1']"
8,1498762905.0638473,"30/06/2017 03:01:45",41250000.0,3,0,4170240,4170240.0,2.2227572400652997,0,15.009250402450562,0,"[1457903.514962197, 3565668.047741088, 34387402.080392234]","[1, 1, 6]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 6043432.416078446], numNetworkHighestAverageByte: 1']"
9,1498762920.0730977,"30/06/2017 03:02:00",41250000.0,3,0,3793760,3793760.0,2.0220485190180075,0,15.009570598602295,0,"[1457903.514962197, 3565668.047741088, 38181162.080392234]","[1, 1, 7]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 5731233.680065372], numNetworkHighestAverageByte: 1']"
10,1498762935.0826683,"30/06/2017 03:02:15",41250000.0,3,0,4215128,4215128.0,2.2466717244703833,0,15.009324073791504,0,"[1457903.514962197, 3565668.047741088, 42396290.080392234]","[1, 1, 8]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 5454451.725770319], numNetworkHighestAverageByte: 1']"
11,1498762950.0919924,"30/06/2017 03:02:30",41250000.0,3,0,4907272,4907272.0,2.6157860648686038,0,15.008175373077393,0,"[1457903.514962197, 3565668.047741088, 47303562.080392234]","[1, 1, 9]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 5299536.260049029], numNetworkHighestAverageByte: 1']"
12,1498762965.1001678,"30/06/2017 03:02:45",41250000.0,3,0,4109488,4109488.0,2.1903670963033277,0,15.009312391281128,0,"[1457903.514962197, 3565668.047741088, 51413050.080392234]","[1, 1, 10]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 5255951.342265803], numNetworkHighestAverageByte: 1']"
13,1498762980.1094801,"30/06/2017 03:03:00",41250000.0,3,0,3467144,3467144.0,1.8477962092478655,0,15.010936737060547,0,"[1457903.514962197, 3565668.047741088, 54880194.080392234]","[1, 1, 11]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 5141305.008039223], numNetworkHighestAverageByte: 1']"
14,1498762995.1204169,"30/06/2017 03:03:15",41250000.0,3,0,2838832,2838832.0,1.5128184416150192,0,15.012149095535278,0,"[1457903.514962197, 3565668.047741088, 57719026.080392234]","[1, 1, 12]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 4989108.55276293], numNetworkHighestAverageByte: 1']"
15,1498763010.132566,"30/06/2017 03:03:30",41250000.0,3,0,4284632,4284632.0,2.2837118375688186,0,15.009361267089844,0,"[1457903.514962197, 3565668.047741088, 62003658.080392234]","[1, 1, 13]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 4809918.8400326865], numNetworkHighestAverageByte: 1']"
16,1498763025.1419272,"30/06/2017 03:03:45",41250000.0,3,0,4635240,4635240.0,2.4706534515575957,0,15.008952379226685,0,"[1457903.514962197, 3565668.047741088, 66638898.080392234]","[1, 1, 14]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 4769512.160030172], numNetworkHighestAverageByte: 1']"
17,1498763040.1508796,"30/06/2017 03:04:00",41250000.0,3,0,3540168,3540168.0,1.8869139557587975,0,15.009345769882202,0,"[1457903.514962197, 3565668.047741088, 70179066.08039224]","[1, 1, 15]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 4759921.291456589], numNetworkHighestAverageByte: 1']"
18,1498763055.1602254,"30/06/2017 03:04:15",41250000.0,3,0,4436672,4436672.0,2.3648284493198566,0,15.008858680725098,0,"[1457903.514962197, 3565668.047741088, 74615738.08039224]","[1, 1, 16]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 4678604.405359482], numNetworkHighestAverageByte: 1']"
19,1498763070.169084,"30/06/2017 03:04:30",41250000.0,3,0,3554872,3554872.0,1.8946943836937138,0,15.009795904159546,0,"[1457903.514962197, 3565668.047741088, 78170610.08039224]","[1, 1, 17]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 4663483.630024515], numNetworkHighestAverageByte: 1']"
20,1498763085.17888,"30/06/2017 03:04:45",41250000.0,3,0,3521504,3521504.0,1.8768695441345,0,15.010117292404175,0,"[1457903.514962197, 3565668.047741088, 81692114.08039224]","[1, 1, 18]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 4598271.181199543], numNetworkHighestAverageByte: 1']"
21,1498763100.1889973,"30/06/2017 03:05:00",41250000.0,3,0,2872832,2872832.0,1.531210388279151,0,15.009469747543335,0,"[1457903.514962197, 3565668.047741088, 84564946.08039224]","[1, 1, 19]","['averageBytePerNet:[1457903.514962197, 3565668.047741088, 4538450.782244014], numNetworkHighestAverageByte: 1']"
