"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498431300.0001028,"26/06/2017 06:55:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,2,3.5079398155212402,1099032,1434532.3381820226,0.7651222217611985,0.0014111995697021484,14.99924898147583,0,"[0, 1434532.3381820226, 0]","[0, 1, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498431315.000763,"26/06/2017 06:55:15",2,1,0.7937005259840998,41250000.0,"[0.972775299427984, 1.0, 0.972775299427984]","[0.3326977485510486, 0.3346045028979027, 0.3326977485510486]",2,1,3.1429171562194824,2590472,3277206.0094080837,1.7480168271037337,0.00890660285949707,14.998510122299194,1448,"[3277206.0094080837, 1434532.3381820226, 0]","[1, 1, 0]","[1434532.3381820226]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498431330.0081797,"26/06/2017 06:55:30",3,1,0.6933612743506348,41250000.0,"[1.0, 0.9909197934660012, 0.9639422987980054]","[0.3348947181599304, 0.333952426143153, 0.33115285569691655]",2,3,4.715548753738403,3029216,4418347.665370738,2.3566829447274134,0.008345365524291992,14.998530626296997,0,"[3277206.0094080837, 1434532.3381820226, 4418347.665370738]","[1, 1, 1]","[3277206.0094080837]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498431345.0150557,"26/06/2017 06:55:45",4,2,0.6299605249474366,41250000.0,"[1.0, 0.9909197934660012, 0.9858689486868275]","[0.334295117145024, 0.3331663723296362, 0.3325385105253398]",1,3,0,5373528,5373528.0,2.8645539201702093,0,15.006952285766602,0,"[3277206.0094080837, 1434532.3381820226, 9791875.665370738]","[1, 1, 2]","[4418347.665370738]","['; gamma used= 0.6299605249474366', 'current gain: 4418347.665370738, prev block gain: [3277206.0094080837]', 'flipped coin and will select greedily...', 'averageBytePerNet:[3277206.0094080837, 1434532.3381820226, 4418347.665370738], numNetworkHighestAverageByte: 1', 'choosing greedily']"
5,1498431360.022008,"26/06/2017 06:56:00",4,2,0.6299605249474366,41250000.0,"[0.9641047209823964, 0.955350450995473, 1.0]","[0.33204669478845433, 0.3308016878856468, 0.33715161732589893]",1,3,0,4103632,4103632.0,2.1877543578001717,0,15.005823612213135,0,"[3277206.0094080837, 1434532.3381820226, 13895507.665370738]","[1, 1, 3]","[4418347.665370738]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498431375.0278316,"26/06/2017 06:56:15",5,2,0.5848035476425733,41250000.0,"[0.9274278244443488, 0.919006588253017, 1.0]","[0.33021419800146606, 0.3289858305479572, 0.3407999714505767]",1,3,0,3473752,3473752.0,1.850651225652565,0,15.01634430885315,0,"[3277206.0094080837, 1434532.3381820226, 17369259.66537074]","[1, 1, 4]","[5373528.0, 4103632.0]","['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[3277206.0094080837, 1434532.3381820226, 4631835.888456913], numNetworkHighestAverageByte: 1', 'choosing greedily']"
7,1498431390.0441759,"26/06/2017 06:56:30",5,2,0.5848035476425733,41250000.0,"[0.8992122888729973, 0.8910472555721207, 1.0]","[0.32835763684352526, 0.32704175842731487, 0.34460060472915993]",1,3,0,2966952,2966952.0,1.581632436617687,0,15.007036685943604,0,"[3277206.0094080837, 1434532.3381820226, 20336211.66537074]","[1, 1, 5]","[5373528.0, 4103632.0]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1498431405.0512125,"26/06/2017 06:56:45",6,2,0.5503212081491045,41250000.0,"[0.8757939414950172, 0.8678415516250176, 1.0]","[0.3269820512004233, 0.3256786633859574, 0.34733928541361936]",1,3,0,1989552,1989552.0,1.0606136941111313,0,15.006798505783081,0,"[3277206.0094080837, 1434532.3381820226, 22325763.66537074]","[1, 1, 6]","[3473752.0, 2966952.0]","['; gamma used= 0.5503212081491045', 'flipped coin and will select greedily...', 'averageBytePerNet:[3277206.0094080837, 1434532.3381820226, 4067242.333074148], numNetworkHighestAverageByte: 1', 'choosing greedily']"
9,1498431420.058011,"26/06/2017 06:57:00",6,2,0.5503212081491045,41250000.0,"[0.8611957933427445, 0.8533759576729816, 1.0]","[0.32565732224226673, 0.32428253657404793, 0.35006014118368534]",1,3,0,4485904,4485904.0,2.3915645400698224,0,15.005755186080933,0,"[3277206.0094080837, 1434532.3381820226, 26811667.66537074]","[1, 1, 7]","[3473752.0, 2966952.0]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
10,1498431435.0637662,"26/06/2017 06:57:15",7,2,0.5227579585747102,41250000.0,"[0.8291675219520146, 0.8216385096014065, 1.0]","[0.32353313439842424, 0.3221776367945446, 0.3542892288070312]",1,3,0,3509984,3509984.0,1.8713061738783812,0,15.0054931640625,0,"[3277206.0094080837, 1434532.3381820226, 30321651.66537074]","[1, 1, 8]","[1989552.0, 4485904.0]","['; gamma used= 0.5227579585747102', 'flipped coin and will select greedily...', 'averageBytePerNet:[3277206.0094080837, 1434532.3381820226, 3830238.237910106], numNetworkHighestAverageByte: 1', 'choosing greedily']"
11,1498431450.0692594,"26/06/2017 06:57:30",7,2,0.5227579585747102,41250000.0,"[0.8059798198557038, 0.798661356629179, 1.0]","[0.32138660028597255, 0.3199817113337827, 0.35863168838024473]",1,3,0,5095480,5095480.0,2.716536433322166,0,15.005813837051392,0,"[3277206.0094080837, 1434532.3381820226, 35417131.66537074]","[1, 1, 9]","[1989552.0, 4485904.0]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
