"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498431300.0001128,"26/06/2017 06:55:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,2,3.0355188846588135,2509384,3146137.8170936075,1.6781416061990404,0.0024416446685791016,14.998199462890625,0,"[0, 3146137.8170936075, 0]","[0, 1, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498431315.0007539,"26/06/2017 06:55:15",2,1,0.7937005259840998,41250000.0,"[0.9412603111207493, 1.0, 0.9412603111207493]","[0.33193201732005606, 0.3361359653598879, 0.33193201732005606]",2,3,4.228465795516968,8304312,11565021.581114069,6.169064126418775,0.011278390884399414,14.997440576553345,0,"[0, 3146137.8170936075, 11565021.581114069]","[0, 1, 1]","[3146137.8170936075]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498431330.0094728,"26/06/2017 06:55:30",3,1,0.6933612743506348,41250000.0,"[0.878450457563767, 0.9332704748995577, 1.0]","[0.3269218699922148, 0.3329003937005388, 0.3401777363072464]",2,1,3.3336939811706543,1258312,1617920.617914025,0.8629673148049308,0.008350133895874023,14.998673439025879,0,"[1617920.617914025, 3146137.8170936075, 11565021.581114069]","[1, 1, 1]","[11565021.581114069]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498431345.0164964,"26/06/2017 06:55:45",4,2,0.6299605249474366,41250000.0,"[0.8857154020607922, 0.9332704748995577, 1.0]","[0.3262519372295288, 0.33249434317173876, 0.3412537195987324]",-1,3,5.442092418670654,3368800,5287172.544349481,2.82005140194673,0.008485555648803711,14.99879765510559,0,"[1617920.617914025, 3146137.8170936075, 16852194.12546355]","[1, 1, 2]","[1617920.617914025]","['; gamma used= 0.6299605249474366', 'current gain: 1617920.617914025, prev block gain: [11565021.581114069]', ' ----- switch back']"
5,1498431360.0237796,"26/06/2017 06:56:00",4,2,0.6299605249474366,41250000.0,"[0.8638595253185839, 0.9102411311407291, 1.0]","[0.32422737676256497, 0.3311692583223258, 0.34460336491510923]",-1,3,0,3673576,3673576.0,1.9570641222072862,0,15.01668119430542,0,"[1617920.617914025, 3146137.8170936075, 20525770.12546355]","[1, 1, 3]","[1617920.617914025]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498431375.0404608,"26/06/2017 06:56:15",5,2,0.5848035476425733,41250000.0,"[0.8489922053498247, 0.8945755677606139, 1.0]","[0.3234163252952905, 0.33031466057425674, 0.3462690141304527]",0,3,0,2910480,2910480.0,1.5515826111501463,0,15.006510019302368,0,"[1617920.617914025, 3146137.8170936075, 23436250.12546355]","[1, 1, 4]","[5287172.544349481, 3673576.0]","['; gamma used= 0.5848035476425733', 'flipped coin but will not select greedily...', 'choosing randomly']"
7,1498431390.0469708,"26/06/2017 06:56:30",5,2,0.5848035476425733,41250000.0,"[0.817843903481895, 0.8617548779442677, 1.0]","[0.3206874641009171, 0.32805641578208106, 0.3512561201170019]",0,3,0,2962896,2962896.0,1.5795687480033134,0,15.00610089302063,0,"[1617920.617914025, 3146137.8170936075, 26399146.12546355]","[1, 1, 5]","[5287172.544349481, 3673576.0]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1498431405.0530717,"26/06/2017 06:56:45",6,2,0.5503212081491045,41250000.0,"[0.7873082215000096, 0.8295797002762384, 1.0]","[0.318729272718143, 0.32599308686458267, 0.3552776404172744]",0,2,4.731196880340576,5694984,8319794.434104991,4.438302612198279,0.010937690734863281,14.99635362625122,11296,"[1617920.617914025, 11465932.2511986, 26399146.12546355]","[1, 2, 5]","[2910480.0, 2962896.0]","['; gamma used= 0.5503212081491045', 'flipped coin but will not select greedily...', 'choosing randomly']"
9,1498431420.060363,"26/06/2017 06:57:00",6,2,0.5503212081491045,41250000.0,"[0.7873082215000096, 0.9240159538443479, 1.0]","[0.3128331244508148, 0.3368961552960098, 0.35027072025317546]",0,2,0,5557424,5557424.0,2.962342326735755,0,15.008188486099243,0,"[1617920.617914025, 17023356.251198597, 26399146.12546355]","[1, 3, 5]","[2910480.0, 2962896.0]","['; gamma used= 0.5227579585747102', 'current gain: 8319794.434104991, prev block gain: [2910480.0, 2962896.0]', 'no selection ----- in the middle of a block']"
10,1498431435.0685515,"26/06/2017 06:57:15",7,2,0.5227579585747102,41250000.0,"[0.7873082215000096, 0.9930131864259167, 1.0]","[0.3093940727633088, 0.34470332050448693, 0.3459026067322043]",1,2,0,3124784,3124784.0,1.665806766535003,0,15.00670576095581,0,"[1617920.617914025, 20148140.251198597, 26399146.12546355]","[1, 4, 5]","[8319794.434104991, 5557424.0]","['; gamma used= 0.5227579585747102', 'flipped coin and will select greedily...', 'averageBytePerNet:[1617920.617914025, 5674452.083732866, 5279829.22509271], numNetworkHighestAverageByte: 1', 'choosing greedily']"
11,1498431450.0752573,"26/06/2017 06:57:30",7,2,0.5227579585747102,41250000.0,"[0.7730783243635262, 1.0, 0.9819258877935099]","[0.30697104822662136, 0.34815459245409186, 0.3448743593192868]",1,2,0,3615656,3615656.0,1.9275354033506604,0,15.006338119506836,0,"[1617920.617914025, 23763796.251198597, 26399146.12546355]","[1, 5, 5]","[8319794.434104991, 5557424.0]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
