"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498431300.0000758,"26/06/2017 06:55:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,1,2.297565221786499,1482752,1750957.3327543573,0.933876715093419,0.0010139942169189453,14.999473094940186,0,"[1750957.3327543573, 0, 0]","[1, 0, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498431315.000563,"26/06/2017 06:55:15",2,1,0.7937005259840998,41250000.0,"[1.0, 0.9668706431486638, 0.9668706431486638]","[0.33488642844885197, 0.332556785775574, 0.332556785775574]",2,2,5.107225656509399,734136,1113188.0848567132,0.593750282991461,0.008377790451049805,14.998737573623657,0,"[1750957.3327543573, 1113188.0848567132, 0]","[1, 1, 0]","[1750957.3327543573]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498431330.0076783,"26/06/2017 06:55:30",3,1,0.6933612743506348,41250000.0,"[1.0, 0.9790071260475296, 0.9668706431486638]","[0.3352112084731323, 0.33302604377152295, 0.33176274775534476]",2,3,3.6878013610839844,9509768,12610397.563412579,6.726239859082185,0.008420705795288086,14.998451232910156,0,"[1750957.3327543573, 1113188.0848567132, 12610397.563412579]","[1, 1, 1]","[1113188.0848567132]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498431345.0145502,"26/06/2017 06:55:45",4,2,0.6299605249474366,41250000.0,"[0.9699567450418539, 0.9495945653538418, 1.0]","[0.3329243229946386, 0.3303435119447185, 0.3367321650606429]",1,3,0,6301696,6301696.0,3.3599130276266904,0,15.0044264793396,0,"[1750957.3327543573, 1113188.0848567132, 18912093.563412577]","[1, 1, 2]","[12610397.563412579]","['; gamma used= 0.6299605249474366', 'current gain: 12610397.563412579, prev block gain: [1113188.0848567132]', 'flipped coin and will select greedily...', 'averageBytePerNet:[1750957.3327543573, 1113188.0848567132, 12610397.563412579], numNetworkHighestAverageByte: 1', 'choosing greedily']"
5,1498431360.0189767,"26/06/2017 06:56:00",4,2,0.6299605249474366,41250000.0,"[0.9138731847565414, 0.8946883601804047, 1.0]","[0.33003460115387523, 0.3271984620927708, 0.3427669367533539]",1,3,0,4097840,4097840.0,2.1850095218560632,0,15.003467798233032,0,"[1750957.3327543573, 1113188.0848567132, 23009933.563412577]","[1, 1, 3]","[12610397.563412579]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498431375.0224445,"26/06/2017 06:56:15",5,2,0.5848035476425733,41250000.0,"[0.8791553441509297, 0.8606993468265284, 1.0]","[0.32816135494082077, 0.3253645407013489, 0.34647410435783027]",1,3,0,4238296,4238296.0,2.2578286671489467,0,15.017245769500732,0,"[1750957.3327543573, 1113188.0848567132, 27248229.563412577]","[1, 1, 4]","[6301696.0, 4097840.0]","['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[1750957.3327543573, 1113188.0848567132, 7669977.854470859], numNetworkHighestAverageByte: 1', 'choosing greedily']"
7,1498431390.0396903,"26/06/2017 06:56:30",5,2,0.5848035476425733,41250000.0,"[0.8466317802754901, 0.828858546028011, 1.0]","[0.3257366959804344, 0.32274948783203805, 0.3515138161875276]",1,3,0,2969848,2969848.0,1.5835199987785873,0,15.00377893447876,0,"[1750957.3327543573, 1113188.0848567132, 30218077.563412577]","[1, 1, 5]","[6301696.0, 4097840.0]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1498431405.0434692,"26/06/2017 06:56:45",6,2,0.5503212081491045,41250000.0,"[0.82456155782372, 0.8072516409742738, 1.0]","[0.32432724274673563, 0.32136962307241623, 0.3543031341808481]",0,3,0,2513728,2513728.0,1.340120244727339,0,15.005984783172607,0,"[1750957.3327543573, 1113188.0848567132, 32731805.563412577]","[1, 1, 6]","[4238296.0, 2969848.0]","['; gamma used= 0.5503212081491045', 'flipped coin but will not select greedily...', 'choosing randomly']"
9,1498431420.049454,"26/06/2017 06:57:00",6,2,0.5503212081491045,41250000.0,"[0.8002154248573397, 0.7834166033084868, 1.0]","[0.3220664432028465, 0.3189634069337052, 0.35897014986344833]",0,3,0,4056104,4056104.0,2.162312620970359,0,15.006540536880493,0,"[1750957.3327543573, 1113188.0848567132, 36787909.56341258]","[1, 1, 7]","[4238296.0, 2969848.0]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
10,1498431435.0559945,"26/06/2017 06:57:15",7,2,0.5227579585747102,41250000.0,"[0.7624375561514344, 0.7464318006385177, 1.0]","[0.3192850176452898, 0.3162403714922865, 0.3644746108624237]",1,3,0,6909600,6909600.0,3.6840745271141198,0,15.00425672531128,0,"[1750957.3327543573, 1113188.0848567132, 43697509.56341258]","[1, 1, 8]","[2513728.0, 4056104.0]","['; gamma used= 0.5227579585747102', 'flipped coin and will select greedily...', 'averageBytePerNet:[1750957.3327543573, 1113188.0848567132, 5255415.651916082], numNetworkHighestAverageByte: 1', 'choosing greedily']"
11,1498431450.0602512,"26/06/2017 06:57:30",7,2,0.5227579585747102,41250000.0,"[0.7210333994807311, 0.7058968362099107, 1.0]","[0.31521510635338545, 0.312096647683206, 0.37268824596340855]",1,3,0,5249000,5249000.0,2.7987802567265625,0,15.003678798675537,0,"[1750957.3327543573, 1113188.0848567132, 48946509.56341258]","[1, 1, 9]","[2513728.0, 4056104.0]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
12,1498431465.06393,"26/06/2017 06:57:45",8,2,0.5,41250000.0,"[0.6910894727802516, 0.6765815185882964, 1.0]","[0.31260955216462005, 0.30954579156510165, 0.37784465627027825]",1,3,0,7283440,7283440.0,3.8835442519577885,0,15.00369668006897,0,"[1750957.3327543573, 1113188.0848567132, 56229949.56341258]","[1, 1, 10]","[6909600.0, 5249000.0]","['; gamma used= 0.5', 'flipped coin and will select greedily...', 'averageBytePerNet:[1750957.3327543573, 1113188.0848567132, 5438501.062601398], numNetworkHighestAverageByte: 1', 'choosing greedily']"
