"time slot","timestamp","date time","max gain","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","log"
1,1498812000.0000777,"30/06/2017 16:40:00",41250000.0,1,3.964700937271118,1495784,2033178.5154276674,1.0843582382232404,0.000560760498046875,15.00005030632019,0,"[2033178.5154276674, 0, 0]","[1, 0, 0]","[]"
2,1498812015.0006888,"30/06/2017 16:40:15",41250000.0,2,4.864388465881348,3385424,5010231.995687119,2.6721681577587244,0.008471250534057617,14.99975061416626,1448,"[2033178.5154276674, 5010231.995687119, 0]","[1, 1, 0]","[]"
3,1498812030.0089107,"30/06/2017 16:40:30",41250000.0,3,4.121752500534058,8433208,11628681.73486024,6.202165189581277,0.007636308670043945,14.999512434005737,0,"[2033178.5154276674, 5010231.995687119, 11628681.73486024]","[1, 1, 1]","[]"
4,1498812045.0160594,"30/06/2017 16:40:45",41250000.0,3,0,3666336,3666336.0,1.9548272522265664,0,15.00423526763916,0,"[2033178.5154276674, 5010231.995687119, 15295017.73486024]","[1, 1, 2]","['averageBytePerNet:[2033178.5154276674, 5010231.995687119, 11628681.73486024], numNetworkHighestAverageByte: 1']"
5,1498812060.0202947,"30/06/2017 16:41:00",41250000.0,3,0,3134920,3134920.0,1.6712330520159997,0,15.006500720977783,0,"[2033178.5154276674, 5010231.995687119, 18429937.73486024]","[1, 1, 3]","['averageBytePerNet:[2033178.5154276674, 5010231.995687119, 7647508.86743012], numNetworkHighestAverageByte: 1']"
6,1498812075.0267954,"30/06/2017 16:41:15",41250000.0,3,0,3482440,3482440.0,1.8565689108167256,0,15.0059175491333,0,"[2033178.5154276674, 5010231.995687119, 21912377.73486024]","[1, 1, 4]","['averageBytePerNet:[2033178.5154276674, 5010231.995687119, 6143312.578286747], numNetworkHighestAverageByte: 1']"
7,1498812090.032713,"30/06/2017 16:41:30",41250000.0,3,0,3909600,3909600.0,2.084193527012349,0,15.006667852401733,0,"[2033178.5154276674, 5010231.995687119, 25821977.73486024]","[1, 1, 5]","['averageBytePerNet:[2033178.5154276674, 5010231.995687119, 5478094.43371506], numNetworkHighestAverageByte: 1']"
8,1498812105.0393808,"30/06/2017 16:41:45",41250000.0,3,0,3194288,3194288.0,1.7031686659611136,0,15.003977298736572,0,"[2033178.5154276674, 5010231.995687119, 29016265.73486024]","[1, 1, 6]","['averageBytePerNet:[2033178.5154276674, 5010231.995687119, 5164395.5469720485], numNetworkHighestAverageByte: 1']"
9,1498812120.043358,"30/06/2017 16:42:00",41250000.0,2,4.326418399810791,1555152,2185543.1008977536,1.1656590604835124,0.01638317108154297,14.99953579902649,0,"[2033178.5154276674, 7195775.096584872, 29016265.73486024]","[1, 2, 6]","['averageBytePerNet:[2033178.5154276674, 5010231.995687119, 4836044.289143373], numNetworkHighestAverageByte: 1']"
10,1498812135.059277,"30/06/2017 16:42:15",41250000.0,3,4.362458229064941,4580024,6458375.073751728,3.4445736327966405,0.008248567581176758,14.999534368515015,0,"[2033178.5154276674, 7195775.096584872, 35474640.80861197]","[1, 2, 7]","['averageBytePerNet:[2033178.5154276674, 3597887.548292436, 4836044.289143373], numNetworkHighestAverageByte: 1']"
