time slot,timestamp,date time,max gain,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1495448258.03278,22/05/2017 18:17:38,120000000,WiFi,3.4826524258,5806224,7561818.24067511,4.0329697284,0.0005896091,15.0001680851,0,['<wifi_mac_address>']
2,1495448273.03354,22/05/2017 18:17:53,120000000,Cellular,3.2283706665,8244946,10506175.0738996,5.6032933727,0.0045807362,14.9999420643,2896,['']
3,1495448288.03806,22/05/2017 18:18:08,120000000,Cellular,0,14923202,14919134.690331,7.9568718348,0,15.0040893555,0,"['averageBytePerNet:[7561818.2406751085, 10506175.07389959], numNetworkHighestAverageByte: 1']"
4,1495448303.04215,22/05/2017 18:18:23,120000000,Cellular,0,8113264,8109175.03444429,4.3248933517,0,15.007563591,0,"['averageBytePerNet:[7561818.2406751085, 12712654.882115297], numNetworkHighestAverageByte: 1']"
5,1495448318.04972,22/05/2017 18:18:38,120000000,Cellular,0,12009264,12004988.4272917,6.4026604946,0,15.0053422451,0,"['averageBytePerNet:[7561818.2406751085, 11178161.599558294], numNetworkHighestAverageByte: 1']"
6,1495448333.05506,22/05/2017 18:18:53,120000000,Cellular,0,5462300,5459512.99522928,2.9117402641,0,15.0076572895,0,"['averageBytePerNet:[7561818.2406751085, 11384868.306491647], numNetworkHighestAverageByte: 1']"
7,1495448348.06272,22/05/2017 18:19:08,120000000,Cellular,0,5888416,5885728.55651723,3.1390552301,0,15.0068490505,0,"['averageBytePerNet:[7561818.2406751085, 10199797.244239174], numNetworkHighestAverageByte: 1']"
8,1495448363.06957,22/05/2017 18:19:23,120000000,Cellular,0,8245124,8243012.75726747,4.3962734705,0,15.003841877,0,"['averageBytePerNet:[7561818.2406751085, 9480785.796285518], numNetworkHighestAverageByte: 1']"
9,1495448378.07341,22/05/2017 18:19:38,120000000,Cellular,0,6379016,6376454.3531606,3.400775655,0,15.0060260296,0,"['averageBytePerNet:[7561818.2406751085, 9303961.076425796], numNetworkHighestAverageByte: 1']"
10,1495448393.07943,22/05/2017 18:19:53,120000000,Cellular,0,8038312,8036487.02832137,4.2861264151,0,15.0034062862,0,"['averageBytePerNet:[7561818.2406751085, 8938022.736017646], numNetworkHighestAverageByte: 1']"
11,1495448408.08284,22/05/2017 18:20:08,120000000,Cellular,0,11125108,11122399.111603,5.9319461929,0,15.0036532879,0,"['averageBytePerNet:[7561818.2406751085, 8837852.101829171], numNetworkHighestAverageByte: 1']"
12,1495448423.08649,22/05/2017 18:20:23,120000000,Cellular,0,10431860,10428744.3670031,5.5619969957,0,15.0044813156,0,"['averageBytePerNet:[7561818.2406751085, 9066306.802806552], numNetworkHighestAverageByte: 1']"
13,1495448438.09098,22/05/2017 18:20:38,120000000,Cellular,0,8997420,8994767.51507907,4.7972093414,0,15.0044233799,0,"['averageBytePerNet:[7561818.2406751085, 9190164.763188057], numNetworkHighestAverageByte: 1']"
14,1495448453.0954,22/05/2017 18:20:53,120000000,Cellular,0,12108832,12104893.144313,6.4559430103,0,15.0048809052,0,"['averageBytePerNet:[7561818.2406751085, 9173881.659178974], numNetworkHighestAverageByte: 1']"
15,1495448468.10028,22/05/2017 18:21:08,120000000,Cellular,0,16164300,16159664.0973204,8.6184875186,0,15.0043032169,0,"['averageBytePerNet:[7561818.2406751085, 9399344.08111236], numNetworkHighestAverageByte: 1']"
16,1495448483.10458,22/05/2017 18:21:23,120000000,Cellular,0,11830328,11827139.9229324,6.3078079589,0,15.0040433407,0,"['averageBytePerNet:[7561818.2406751085, 9882224.082270075], numNetworkHighestAverageByte: 1']"
17,1495448498.10863,22/05/2017 18:21:38,120000000,Cellular,0,6863428,6859837.83136061,3.6585801767,0,15.0078504086,0,"['averageBytePerNet:[7561818.2406751085, 10011885.13831423], numNetworkHighestAverageByte: 1']"
