"timestamp","date time","EcIo","RSCP"
1495793380.5236406,"26/05/2017 18:09:40"," 1340bc"," -6"," -79"
1495793382.0278652,"26/05/2017 18:09:42"," 1340bc"," -4"," -78"
1495793383.53882,"26/05/2017 18:09:43"," 1340bc"," -5"," -78"
1495793385.0495737,"26/05/2017 18:09:45"," 1340bc"," -5"," -78"
1495793386.5610988,"26/05/2017 18:09:46"," 1340bc"," -6"," -79"
1495793388.0706296,"26/05/2017 18:09:48"," 1340bc"," -7"," -80"
1495793389.5819569,"26/05/2017 18:09:49"," 1340bc"," -6"," -80"
1495793391.083278,"26/05/2017 18:09:51"," 1340bc"," -6"," -77"
1495793392.5902455,"26/05/2017 18:09:52"," 1340bc"," -6"," -78"
1495793394.1061563,"26/05/2017 18:09:54"," 1340bc"," -4"," -78"
1495793395.6096225,"26/05/2017 18:09:55"," 1340bc"," -4"," -78"
1495793397.1196742,"26/05/2017 18:09:57"," 1340bc"," -5"," -79"
1495793398.6301522,"26/05/2017 18:09:58"," 1340bc"," -5"," -78"
1495793400.1407537,"26/05/2017 18:10:00"," 1340bc"," -5"," -77"
1495793401.651484,"26/05/2017 18:10:01"," 1340bc"," -4"," -76"
1495793403.1611924,"26/05/2017 18:10:03"," 1340bc"," -5"," -76"
1495793404.6705036,"26/05/2017 18:10:04"," 1340bc"," -5"," -76"
1495793406.181646,"26/05/2017 18:10:06"," 1340bc"," -5"," -74"
1495793407.6925595,"26/05/2017 18:10:07"," 1340bc"," -8"," -70"
1495793409.202865,"26/05/2017 18:10:09"," 1340bc"," -6"," -71"
1495793410.7127135,"26/05/2017 18:10:10"," 1340bc"," -4"," -71"
1495793412.2233799,"26/05/2017 18:10:12"," 1340bc"," -4"," -70"
1495793413.7339725,"26/05/2017 18:10:13"," 1340bc"," -5"," -70"
1495793415.2446713,"26/05/2017 18:10:15"," 1340bc"," -4"," -70"
1495793416.7549224,"26/05/2017 18:10:16"," 1340bc"," -4"," -70"
1495793418.2691169,"26/05/2017 18:10:18"," 1340bc"," -5"," -70"
1495793419.7775881,"26/05/2017 18:10:19"," fffff"," -14"," -96"
1495793421.2849295,"26/05/2017 18:10:21"," 134d3"," -14"," -91"
1495793422.7920241,"26/05/2017 18:10:22"," 134d3"," -13"," -99"
1495793424.3004732,"26/05/2017 18:10:24"," 134d3"," -14"," -96"
1495793425.8132071,"26/05/2017 18:10:25"," 134d3"," -13"," -92"
1495793427.3294177,"26/05/2017 18:10:27"," 134d3"," -13"," -93"
1495793428.8454926,"26/05/2017 18:10:28"," 134d3"," -13"," -92"
1495793430.3512454,"26/05/2017 18:10:30"," 134d3"," -13"," -90"
1495793431.8526309,"26/05/2017 18:10:31"," 134d3"," -7"," -95"
1495793433.3639188,"26/05/2017 18:10:33"," 134d3"," -9"," -98"
1495793434.877185,"26/05/2017 18:10:34"," 134d3"," -7"," -92"
1495793436.3820324,"26/05/2017 18:10:36"," fffff"," -13"," -88"
1495793437.882035,"26/05/2017 18:10:37"," 134d3"," -13"," -89"
1495793439.3972101,"26/05/2017 18:10:39"," 134d3"," -14"," -90"
1495793440.9197187,"26/05/2017 18:10:40"," 134d3"," -4"," -90"
1495793442.4227612,"26/05/2017 18:10:42"," 134d3"," -13"," -91"
1495793443.9343555,"26/05/2017 18:10:43"," 134d3"," -7"," -92"
1495793445.4449272,"26/05/2017 18:10:45"," 134d3"," -8"," -93"
1495793446.9602618,"26/05/2017 18:10:46"," 134d3"," -7"," -93"
1495793448.476593,"26/05/2017 18:10:48"," 134d3"," -7"," -92"
1495793449.991694,"26/05/2017 18:10:49"," 134d3"," -9"," -92"
1495793451.5098712,"26/05/2017 18:10:51"," 1340bc"," -6"," -90"
1495793453.0266652,"26/05/2017 18:10:53"," 1340bc"," -6"," -78"
1495793454.5366228,"26/05/2017 18:10:54"," 1340bc"," -5"," -75"
1495793456.040894,"26/05/2017 18:10:56"," 1340bc"," -4"," -74"
1495793457.551704,"26/05/2017 18:10:57"," 1340bc"," -6"," -72"
1495793459.062773,"26/05/2017 18:10:59"," 1340bc"," -6"," -72"
1495793460.5812087,"26/05/2017 18:11:00"," 1340bc"," -4"," -71"
1495793462.0855687,"26/05/2017 18:11:02"," 1340bc"," -5"," -71"
1495793463.5973127,"26/05/2017 18:11:03"," 1340bc"," -6"," -71"
1495793465.1079376,"26/05/2017 18:11:05"," 1340bc"," -4"," -70"
1495793466.619981,"26/05/2017 18:11:06"," 1340bc"," -3"," -69"
1495793468.1304176,"26/05/2017 18:11:08"," 1340bc"," -4"," -69"
1495793469.641136,"26/05/2017 18:11:09"," 1340bc"," -3"," -70"
1495793471.1493335,"26/05/2017 18:11:11"," 1340bc"," -3"," -70"
1495793472.6532996,"26/05/2017 18:11:12"," 1340bc"," -4"," -70"
1495793474.1707573,"26/05/2017 18:11:14"," 1340bc"," -5"," -70"
1495793475.6888127,"26/05/2017 18:11:15"," 1340bc"," -5"," -69"
1495793477.2043195,"26/05/2017 18:11:17"," 1340bc"," -5"," -69"
1495793478.7103717,"26/05/2017 18:11:18"," 1340bc"," -5"," -69"
1495793480.2222395,"26/05/2017 18:11:20"," 1340bc"," -5"," -70"
1495793481.7340167,"26/05/2017 18:11:21"," 1340bc"," -3"," -69"
1495793483.2404222,"26/05/2017 18:11:23"," 1340bc"," -5"," -70"
1495793484.7589772,"26/05/2017 18:11:24"," 1340bc"," -3"," -69"
1495793486.2754567,"26/05/2017 18:11:26"," 1340bc"," -4"," -69"
1495793487.7874734,"26/05/2017 18:11:27"," 1340bc"," -5"," -69"
1495793489.2943907,"26/05/2017 18:11:29"," 1340bc"," -5"," -69"
1495793490.8092782,"26/05/2017 18:11:30"," 1340bc"," -5"," -69"
1495793492.3134158,"26/05/2017 18:11:32"," 1340bc"," -6"," -69"
1495793493.8186104,"26/05/2017 18:11:33"," 1340bc"," -5"," -70"
1495793495.334929,"26/05/2017 18:11:35"," 1340bc"," -5"," -70"
1495793496.8530314,"26/05/2017 18:11:36"," 1340bc"," -5"," -70"
1495793498.3705454,"26/05/2017 18:11:38"," 1340bc"," -5"," -69"
1495793499.8778453,"26/05/2017 18:11:39"," 1340bc"," -6"," -70"
1495793501.3814552,"26/05/2017 18:11:41"," 1340bc"," -5"," -69"
1495793502.8846483,"26/05/2017 18:11:42"," 1340bc"," -6"," -70"
1495793504.3944366,"26/05/2017 18:11:44"," 1340bc"," -6"," -69"
1495793505.8954756,"26/05/2017 18:11:45"," 1340bc"," -9"," -69"
1495793507.4063563,"26/05/2017 18:11:47"," 1340bc"," -7"," -70"
1495793508.9228988,"26/05/2017 18:11:48"," 1340bc"," -6"," -71"
1495793510.4442575,"26/05/2017 18:11:50"," 1340bc"," -5"," -70"
1495793511.949853,"26/05/2017 18:11:51"," 1340bc"," -5"," -70"
1495793513.4520667,"26/05/2017 18:11:53"," 1340bc"," -5"," -70"
1495793514.9632838,"26/05/2017 18:11:54"," 1340bc"," -5"," -71"
1495793516.4750712,"26/05/2017 18:11:56"," 1340bc"," -7"," -69"
1495793517.9859908,"26/05/2017 18:11:57"," 1340bc"," -7"," -70"
1495793519.4975433,"26/05/2017 18:11:59"," 1340bc"," -8"," -70"
1495793521.0134408,"26/05/2017 18:12:01"," 1340bc"," -5"," -71"
1495793522.5298755,"26/05/2017 18:12:02"," 1340bc"," -5"," -71"
1495793524.0391488,"26/05/2017 18:12:04"," 1340bc"," -4"," -69"
1495793525.542619,"26/05/2017 18:12:05"," 1340bc"," -5"," -68"
1495793527.0504456,"26/05/2017 18:12:07"," 1340bc"," -9"," -69"
1495793528.5512373,"26/05/2017 18:12:08"," 1340bc"," -5"," -70"
1495793530.0614529,"26/05/2017 18:12:10"," 1340bc"," -3"," -70"
1495793531.5638242,"26/05/2017 18:12:11"," 1340bc"," -4"," -70"
1495793533.0697396,"26/05/2017 18:12:13"," 1340bc"," -6"," -71"
1495793534.5823848,"26/05/2017 18:12:14"," 1340bc"," -4"," -72"
