"timestamp","date time","EcIo","RSCP"
1494236822.8558323,"08/05/2017 17:47:02"," 134d3"," -14"," -97"
1494236824.3636777,"08/05/2017 17:47:04"," 134d3"," -13"," -94"
1494236825.8709593,"08/05/2017 17:47:05"," 134d3"," -14"," -96"
1494236827.3765285,"08/05/2017 17:47:07"," 134d3"," -13"," -95"
1494236828.877658,"08/05/2017 17:47:08"," 134d3"," -13"," -96"
1494236830.3891978,"08/05/2017 17:47:10"," 134d3"," -13"," -94"
1494236831.8948092,"08/05/2017 17:47:11"," 134d3"," -12"," -95"
1494236833.4070482,"08/05/2017 17:47:13"," 134d3"," -12"," -94"
1494236834.917224,"08/05/2017 17:47:14"," 134d3"," -11"," -99"
1494236836.4330902,"08/05/2017 17:47:16"," 134d3"," -13"," -93"
1494236837.9378505,"08/05/2017 17:47:17"," 134d3"," -13"," -98"
1494236839.442197,"08/05/2017 17:47:19"," 134d3"," -13"," -96"
1494236840.958765,"08/05/2017 17:47:20"," 134d3"," -9"," -96"
1494236842.4694262,"08/05/2017 17:47:22"," 134d3"," -11"," -91"
1494236843.9843297,"08/05/2017 17:47:23"," 134d3"," -11"," -91"
1494236845.5010822,"08/05/2017 17:47:25"," 134d3"," -13"," -97"
1494236847.0141308,"08/05/2017 17:47:27"," 134d3"," -8"," -97"
1494236848.5305688,"08/05/2017 17:47:28"," 134d3"," -13"," -96"
1494236850.0414698,"08/05/2017 17:47:30"," 134d3"," -13"," -95"
1494236851.5615337,"08/05/2017 17:47:31"," 134d3"," -5"," -94"
1494236853.061522,"08/05/2017 17:47:33"," 134d3"," -11"," -92"
1494236854.6106105,"08/05/2017 17:47:34"," 134d3"," -10"," -90"
1494236856.1201432,"08/05/2017 17:47:36"," 134d3"," -10"," -94"
1494236857.6304119,"08/05/2017 17:47:37"," 134d3"," -13"," -95"
1494236859.1427982,"08/05/2017 17:47:39"," 134d3"," -12"," -93"
1494236860.6490824,"08/05/2017 17:47:40"," 134d3"," -12"," -95"
1494236862.1592093,"08/05/2017 17:47:42"," 134d3"," -12"," -94"
1494236863.669896,"08/05/2017 17:47:43"," 134d3"," -12"," -93"
1494236865.1741734,"08/05/2017 17:47:45"," 134d3"," -13"," -97"
