time slot,timestamp,date time,max gain,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1494489561.33406,11/05/17 03:59 PM,120000000,Cellular,0.9391767979,15528596,16568650.221997,8.8366134517,0.003319025,14.9975905418,0,['']
2,1494489576.33497,11/05/17 03:59 PM,120000000,WiFi,4.2052361965,5504976,7649900.21360862,4.0799467806,0.0090398788,14.9994475842,0,['<wifi_mac_address>']
3,1494489591.34346,11/05/17 03:59 PM,120000000,Cellular,3.3296833038,10439552,13417769.0263857,7.1561434807,0.0016570091,15.0002732277,0,"['averageBytePerNet:[7649900.213608615, 16568650.221996982], numNetworkHighestAverageByte: 1', '']"
4,1494489606.34539,11/05/17 04:00 PM,120000000,Cellular,0,13208496,13203864.3839943,7.0420610048,0,15.0052616596,0,"['averageBytePerNet:[7649900.213608615, 14993209.62419136], numNetworkHighestAverageByte: 1']"
5,1494489621.35065,11/05/17 04:00 PM,120000000,Cellular,0,13873232,13870352.3082109,7.397521231,0,15.0031142235,0,"['averageBytePerNet:[7649900.213608615, 14396761.210792325], numNetworkHighestAverageByte: 1']"
6,1494489636.35376,11/05/17 04:00 PM,120000000,Cellular,0,8685400,8683559.62181096,4.6312317983,0,15.0031790733,0,"['averageBytePerNet:[7649900.213608615, 14265158.985146957], numNetworkHighestAverageByte: 1']"
7,1494489651.35694,11/05/17 04:00 PM,120000000,Cellular,0,5417216,5415520.533832,2.888277618,0,15.0046961308,0,"['averageBytePerNet:[7649900.213608615, 13148839.112479758], numNetworkHighestAverageByte: 1']"
8,1494489666.36164,11/05/17 04:01 PM,120000000,Cellular,0,6352916,6350210.46742409,3.386778916,0,15.00639081,0,"['averageBytePerNet:[7649900.213608615, 11859952.682705129], numNetworkHighestAverageByte: 1']"
9,1494489681.36803,11/05/17 04:01 PM,120000000,Cellular,0,13135568,13129417.5922839,7.0023560492,0,15.0070266724,0,"['averageBytePerNet:[7649900.213608615, 11072846.651950693], numNetworkHighestAverageByte: 1']"
10,1494489696.37506,11/05/17 04:01 PM,120000000,Cellular,0,11512360,11508212.3318827,6.1377132437,0,15.0054061413,0,"['averageBytePerNet:[7649900.213608615, 11329918.019492343], numNetworkHighestAverageByte: 1']"
11,1494489711.38046,11/05/17 04:01 PM,120000000,Cellular,0,9002972,9002072.00113031,4.8011050673,0,15.0014996529,0,"['averageBytePerNet:[7649900.213608615, 11349728.49864683], numNetworkHighestAverageByte: 1']"
12,1494489726.38196,11/05/17 04:02 PM,120000000,Cellular,0,10511612,10510104.5082035,5.605389071,0,15.0021514893,0,"['averageBytePerNet:[7649900.213608615, 11114962.848895177], numNetworkHighestAverageByte: 1']"
13,1494489741.38411,11/05/17 04:02 PM,120000000,Cellular,0,12877400,12875925.0347181,6.8671600185,0,15.0017182827,0,"['averageBytePerNet:[7649900.213608615, 11059975.727014113], numNetworkHighestAverageByte: 1']"
14,1494489756.38583,11/05/17 04:02 PM,120000000,Cellular,0,14849864,14845630.5529609,7.9176696282,0,15.0042774677,0,"['averageBytePerNet:[7649900.213608615, 11211304.835989447], numNetworkHighestAverageByte: 1']"
15,1494489771.39011,11/05/17 04:02 PM,120000000,Cellular,0,15271856,15268172.8293789,8.143025509,0,15.0036184788,0,"['averageBytePerNet:[7649900.213608615, 11490868.352679558], numNetworkHighestAverageByte: 1']"
16,1494489786.39373,11/05/17 04:03 PM,120000000,Cellular,0,14991960,14989894.3035442,7.9946102952,0,15.0020670891,0,"['averageBytePerNet:[7649900.213608615, 11760675.81530094], numNetworkHighestAverageByte: 1']"
17,1494489801.3958,11/05/17 04:03 PM,120000000,Cellular,0,12518024,12511189.5794229,6.6726344424,0,15.0081939697,0,"['averageBytePerNet:[7649900.213608615, 11975957.047850488], numNetworkHighestAverageByte: 1']"
18,1494489816.40399,11/05/17 04:03 PM,120000000,Cellular,0,10346628,10342169.4031232,5.5158236817,0,15.0064666271,0,"['averageBytePerNet:[7649900.213608615, 12009409.081073761], numNetworkHighestAverageByte: 1']"
19,1494489831.41046,11/05/17 04:03 PM,120000000,Cellular,0,7807716,7804934.41431558,4.1626316876,0,15.0053458214,0,"['averageBytePerNet:[7649900.213608615, 11911336.158841375], numNetworkHighestAverageByte: 1']"
20,1494489846.4158,11/05/17 04:04 PM,120000000,Cellular,0,11069588,11066996.5649904,5.902398168,0,15.0035123825,0,"['averageBytePerNet:[7649900.213608615, 11683202.728589943], numNetworkHighestAverageByte: 1']"
21,1494489861.41931,11/05/17 04:04 PM,120000000,Cellular,0,11362456,11358059.1556013,6.0576315497,0,15.0058066845,0,"['averageBytePerNet:[7649900.213608615, 11650770.8252426], numNetworkHighestAverageByte: 1']"
22,1494489876.42512,11/05/17 04:04 PM,120000000,Cellular,0,12894056,12886576.3465073,6.8728407181,0,15.0087063313,0,"['averageBytePerNet:[7649900.213608615, 11636135.241760533], numNetworkHighestAverageByte: 1']"
23,1494489891.43383,11/05/17 04:04 PM,120000000,Cellular,0,8427944,8424105.82655464,4.4928564408,0,15.0068342686,0,"['averageBytePerNet:[7649900.213608615, 11695680.056272283], numNetworkHighestAverageByte: 1']"
24,1494489906.44066,11/05/17 04:05 PM,120000000,Cellular,0,14221324,14213951.4001433,7.5807740801,0,15.0077803135,0,"['averageBytePerNet:[7649900.213608615, 11546972.136739664], numNetworkHighestAverageByte: 1']"
25,1494489921.44844,11/05/17 04:05 PM,120000000,Cellular,0,13749640,13746750.3545278,7.3316001891,0,15.0031530857,0,"['averageBytePerNet:[7649900.213608615, 11662927.756887648], numNetworkHighestAverageByte: 1']"
26,1494489936.45159,11/05/17 04:05 PM,120000000,Cellular,0,11835128,11830314.0448541,6.3095008239,0,15.006103754,0,"['averageBytePerNet:[7649900.213608615, 11749753.69845599], numNetworkHighestAverageByte: 1']"
27,1494489951.4577,11/05/17 04:05 PM,120000000,Cellular,0,15746511,15743888.2097854,8.3967403786,0,15.0024988651,0,"['averageBytePerNet:[7649900.213608615, 11752976.112311915], numNetworkHighestAverageByte: 1']"
28,1494489966.4602,11/05/17 04:06 PM,120000000,Cellular,0,8544180,8540300.42449106,4.5548268931,0,15.006814003,0,"['averageBytePerNet:[7649900.213608615, 11906472.731445508], numNetworkHighestAverageByte: 1']"
