time slot,timestamp,date time,max gain,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1495893646.94544,27/05/2017 22:00:46,120000000,WiFi,0.7158415318,4922888,5169587.29537627,2.7571132242,0.0004868507,15.0000224113,0,['<wifi_mac_address>']
2,1495893661.94594,27/05/2017 22:01:01,120000000,Cellular,6.1819889545,4428084,7531814.27000279,4.0169676107,0.0037534237,15.0007486343,2896,['']
3,1495893676.95045,27/05/2017 22:01:16,120000000,Cellular,0,7017380,7015468.42062736,3.7415831577,0,15.0040872097,0,"['averageBytePerNet:[5169587.295376265, 7531814.270002787], numNetworkHighestAverageByte: 1']"
4,1495893691.95453,27/05/2017 22:01:31,120000000,Cellular,0,7459452,7457835.83779824,3.9775124468,0,15.0032505989,0,"['averageBytePerNet:[5169587.295376265, 7273641.345315073], numNetworkHighestAverageByte: 1']"
5,1495893706.95778,27/05/2017 22:01:46,120000000,Cellular,0,8211876,8208163.08977108,4.3776869812,0,15.0067851543,0,"['averageBytePerNet:[5169587.295376265, 7335039.509476128], numNetworkHighestAverageByte: 1']"
6,1495893721.96457,27/05/2017 22:02:01,120000000,Cellular,0,6917444,6912672.61288568,3.6867587269,0,15.0103535652,0,"['averageBytePerNet:[5169587.295376265, 7553320.404549867], numNetworkHighestAverageByte: 1']"
7,1495893736.97492,27/05/2017 22:02:16,120000000,Cellular,0,5216856,5214354.93206303,2.7809892971,0,15.0071947575,0,"['averageBytePerNet:[5169587.295376265, 7425190.846217029], numNetworkHighestAverageByte: 1']"
8,1495893751.98212,27/05/2017 22:02:31,120000000,Cellular,0,2756856,2755343.62700603,1.4695166011,0,15.0082333088,0,"['averageBytePerNet:[5169587.295376265, 7056718.193858028], numNetworkHighestAverageByte: 1']"
9,1495893766.99035,27/05/2017 22:02:46,120000000,Cellular,0,5185336,5184461.35551663,2.7650460563,0,15.0025305748,0,"['averageBytePerNet:[5169587.295376265, 6442236.112879172], numNetworkHighestAverageByte: 1']"
10,1495893781.99288,27/05/2017 22:03:01,120000000,Cellular,0,7477560,7475263.16581315,3.9868070218,0,15.0046088696,0,"['averageBytePerNet:[5169587.295376265, 6285014.268208855], numNetworkHighestAverageByte: 1']"
11,1495893796.99749,27/05/2017 22:03:16,120000000,Cellular,0,5552404,5551019.91896266,2.9605439568,0,15.0037400723,0,"['averageBytePerNet:[5169587.295376265, 6417264.145720444], numNetworkHighestAverageByte: 1']"
