"timestamp","date time","EcIo","RSCP"
1495892287.0454097,"27/05/2017 21:38:07"," 1340db"," -12"," -92"
1495892288.5626993,"27/05/2017 21:38:08"," 1340db"," -12"," -92"
1495892290.0797122,"27/05/2017 21:38:10"," 1340db"," -12"," -91"
1495892291.5903835,"27/05/2017 21:38:11"," 1340db"," -11"," -91"
1495892293.1030908,"27/05/2017 21:38:13"," 1340db"," -11"," -91"
1495892294.6169116,"27/05/2017 21:38:14"," 1340db"," -11"," -90"
1495892296.1161973,"27/05/2017 21:38:16"," 1340db"," -11"," -90"
1495892297.6280363,"27/05/2017 21:38:17"," 1340db"," -11"," -89"
1495892299.14139,"27/05/2017 21:38:19"," 1340db"," -12"," -89"
1495892300.651987,"27/05/2017 21:38:20"," 1340db"," -12"," -90"
1495892302.161836,"27/05/2017 21:38:22"," 1340db"," -12"," -90"
1495892303.6719325,"27/05/2017 21:38:23"," 1340db"," -13"," -89"
1495892305.1766057,"27/05/2017 21:38:25"," 1340db"," -8"," -86"
1495892306.6864343,"27/05/2017 21:38:26"," 1340db"," -8"," -82"
1495892308.200664,"27/05/2017 21:38:28"," 1340db"," -11"," -84"
1495892309.7026901,"27/05/2017 21:38:29"," 1340db"," -11"," -85"
1495892311.2107973,"27/05/2017 21:38:31"," 1340db"," -11"," -87"
1495892312.7104867,"27/05/2017 21:38:32"," 1340db"," -10"," -88"
1495892314.222251,"27/05/2017 21:38:34"," 1340db"," -11"," -88"
1495892315.7313442,"27/05/2017 21:38:35"," 1340db"," -8"," -85"
1495892317.2401793,"27/05/2017 21:38:37"," 1340db"," -9"," -84"
1495892318.7507489,"27/05/2017 21:38:38"," 1340db"," -10"," -85"
1495892320.267057,"27/05/2017 21:38:40"," 1340db"," -9"," -89"
1495892321.7659748,"27/05/2017 21:38:41"," ffffff"," -7"," -87"
1495892323.281921,"27/05/2017 21:38:43"," 1340bc"," -8"," -87"
1495892324.7921925,"27/05/2017 21:38:44"," 1340db"," -16"," -92"
1495892326.3071902,"27/05/2017 21:38:46"," 1340db"," -13"," -92"
1495892327.823605,"27/05/2017 21:38:47"," 1340db"," -14"," -92"
1495892329.3398466,"27/05/2017 21:38:49"," 1340db"," -14"," -91"
1495892330.856629,"27/05/2017 21:38:50"," 1340db"," -15"," -91"
1495892332.3752344,"27/05/2017 21:38:52"," 1340bc"," -14"," -91"
1495892333.8813992,"27/05/2017 21:38:53"," 1340bc"," -15"," -91"
1495892335.3859775,"27/05/2017 21:38:55"," 1340db"," -12"," -89"
1495892336.8900952,"27/05/2017 21:38:56"," 1340db"," -14"," -92"
1495892338.3941615,"27/05/2017 21:38:58"," 1340db"," -18"," -93"
1495892339.8985748,"27/05/2017 21:38:59"," 1340bc"," -6"," -87"
1495892341.3997407,"27/05/2017 21:39:01"," 1340bc"," -12"," -87"
1495892342.9047391,"27/05/2017 21:39:02"," 1340bc"," -6"," -85"
1495892344.4188747,"27/05/2017 21:39:04"," 1340bc"," -10"," -86"
1495892345.9241023,"27/05/2017 21:39:05"," 1340bc"," -6"," -85"
1495892347.4294498,"27/05/2017 21:39:07"," 1340bc"," -8"," -86"
1495892348.9337158,"27/05/2017 21:39:08"," 1340bc"," -7"," -90"
1495892350.4384537,"27/05/2017 21:39:10"," 1340bc"," -12"," -86"
1495892351.942474,"27/05/2017 21:39:11"," 1340bc"," -10"," -87"
1495892353.4478028,"27/05/2017 21:39:13"," 1340bc"," -10"," -87"
1495892354.9488635,"27/05/2017 21:39:14"," 1340bc"," -7"," -85"
1495892356.4633796,"27/05/2017 21:39:16"," 1340bc"," -7"," -84"
1495892357.9666393,"27/05/2017 21:39:17"," 1340bc"," -8"," -84"
1495892359.4714136,"27/05/2017 21:39:19"," 1340bc"," -8"," -85"
1495892360.987397,"27/05/2017 21:39:20"," 1340bc"," -8"," -85"
1495892362.5027227,"27/05/2017 21:39:22"," 1340bc"," -9"," -84"
1495892364.018338,"27/05/2017 21:39:24"," 1340bc"," -11"," -86"
1495892365.5213256,"27/05/2017 21:39:25"," 1340bc"," -9"," -82"
1495892367.037966,"27/05/2017 21:39:27"," 1340bc"," -6"," -80"
1495892368.5467076,"27/05/2017 21:39:28"," 1340bc"," -7"," -81"
1495892370.0568783,"27/05/2017 21:39:30"," 1340bc"," -7"," -82"
1495892371.568277,"27/05/2017 21:39:31"," 1340bc"," -7"," -82"
1495892373.0761993,"27/05/2017 21:39:33"," 1340bc"," -7"," -83"
1495892374.5819905,"27/05/2017 21:39:34"," 1340bc"," -7"," -82"
1495892376.0859687,"27/05/2017 21:39:36"," 1340bc"," -7"," -81"
1495892377.5936596,"27/05/2017 21:39:37"," 1340bc"," -6"," -81"
1495892379.0968988,"27/05/2017 21:39:39"," 1340bc"," -6"," -81"
1495892380.6079931,"27/05/2017 21:39:40"," 1340bc"," -7"," -82"
1495892382.1163795,"27/05/2017 21:39:42"," 1340bc"," -10"," -85"
1495892383.6268365,"27/05/2017 21:39:43"," 1340bc"," -9"," -85"
1495892385.1365263,"27/05/2017 21:39:45"," 1340bc"," -8"," -83"
1495892386.643095,"27/05/2017 21:39:46"," 1340bc"," -7"," -82"
1495892388.1536238,"27/05/2017 21:39:48"," 1340bc"," -8"," -81"
1495892389.6665413,"27/05/2017 21:39:49"," 1340bc"," -8"," -81"
1495892391.1758988,"27/05/2017 21:39:51"," 1340bc"," -8"," -82"
1495892392.6868486,"27/05/2017 21:39:52"," 1340bc"," -7"," -82"
1495892394.1972854,"27/05/2017 21:39:54"," 1340bc"," -7"," -81"
1495892395.7088883,"27/05/2017 21:39:55"," 1340bc"," -11"," -81"
1495892397.219606,"27/05/2017 21:39:57"," 1340bc"," -9"," -82"
1495892398.7304542,"27/05/2017 21:39:58"," 1340bc"," -8"," -83"
1495892400.2423015,"27/05/2017 21:40:00"," 1340bc"," -8"," -83"
1495892401.753969,"27/05/2017 21:40:01"," 1340bc"," -7"," -83"
1495892403.2642715,"27/05/2017 21:40:03"," 1340bc"," -7"," -83"
1495892404.7755105,"27/05/2017 21:40:04"," 1340bc"," -6"," -82"
1495892406.2853575,"27/05/2017 21:40:06"," 1340bc"," -8"," -83"
1495892407.797095,"27/05/2017 21:40:07"," 1340bc"," -6"," -82"
1495892409.3084378,"27/05/2017 21:40:09"," 1340bc"," -7"," -83"
1495892410.8224802,"27/05/2017 21:40:10"," 1340bc"," -8"," -83"
1495892412.3333702,"27/05/2017 21:40:12"," 1340bc"," -7"," -83"
1495892413.8437593,"27/05/2017 21:40:13"," 1340bc"," -7"," -83"
1495892415.355163,"27/05/2017 21:40:15"," 1340bc"," -6"," -83"
1495892416.8650424,"27/05/2017 21:40:16"," 1340bc"," -7"," -82"
1495892418.376445,"27/05/2017 21:40:18"," 1340bc"," -6"," -82"
1495892419.8869965,"27/05/2017 21:40:19"," 1340bc"," -6"," -82"
1495892421.3984754,"27/05/2017 21:40:21"," 1340bc"," -6"," -82"
1495892422.909756,"27/05/2017 21:40:22"," 1340bc"," -9"," -84"
1495892424.421323,"27/05/2017 21:40:24"," 1340bc"," -6"," -84"
1495892425.9349577,"27/05/2017 21:40:25"," 1340bc"," -5"," -83"
1495892427.4398582,"27/05/2017 21:40:27"," 1340bc"," -12"," -81"
1495892428.9461849,"27/05/2017 21:40:28"," 1340bc"," -13"," -87"
1495892430.4515254,"27/05/2017 21:40:30"," 1340bc"," -12"," -86"
1495892431.9563172,"27/05/2017 21:40:31"," 1340bc"," -13"," -83"
1495892433.4640133,"27/05/2017 21:40:33"," 1340bc"," -11"," -79"
