"timestamp","date time","EcIo","RSCP"
1495893644.3603482,"27/05/2017 22:00:44"," 1340bc"," -8"," -74"
1495893645.8785627,"27/05/2017 22:00:45"," 1340bc"," -8"," -74"
1495893647.3806994,"27/05/2017 22:00:47"," 1340bc"," -6"," -74"
1495893648.8916237,"27/05/2017 22:00:48"," 1340bc"," -6"," -74"
1495893650.402399,"27/05/2017 22:00:50"," 1340bc"," -9"," -74"
1495893651.9146883,"27/05/2017 22:00:51"," 1340bc"," -12"," -74"
1495893653.4254954,"27/05/2017 22:00:53"," 1340bc"," -7"," -76"
1495893654.936981,"27/05/2017 22:00:54"," 1340bc"," -7"," -75"
1495893656.4476893,"27/05/2017 22:00:56"," 1340bc"," -10"," -74"
1495893657.9591124,"27/05/2017 22:00:57"," 1340bc"," -7"," -75"
1495893659.4700081,"27/05/2017 22:00:59"," 1340bc"," -5"," -75"
1495893660.9810703,"27/05/2017 22:01:00"," 1340bc"," -6"," -75"
1495893662.4828644,"27/05/2017 22:01:02"," 1340bc"," -4"," -74"
1495893663.9955058,"27/05/2017 22:01:03"," 1340bc"," -6"," -74"
1495893665.505304,"27/05/2017 22:01:05"," 1340bc"," -5"," -74"
1495893667.021658,"27/05/2017 22:01:07"," 1340bc"," -6"," -74"
1495893668.5272732,"27/05/2017 22:01:08"," 1340bc"," -8"," -77"
1495893670.0333233,"27/05/2017 22:01:10"," 1340bc"," -12"," -76"
1495893671.5374973,"27/05/2017 22:01:11"," 1340bc"," -13"," -77"
1495893673.0502102,"27/05/2017 22:01:13"," 1340bc"," -12"," -73"
1495893674.5647216,"27/05/2017 22:01:14"," 1340bc"," -12"," -75"
1495893676.0699654,"27/05/2017 22:01:16"," 1340bc"," -13"," -75"
1495893677.573104,"27/05/2017 22:01:17"," 1340bc"," -13"," -75"
1495893679.0879638,"27/05/2017 22:01:19"," 1340bc"," -13"," -75"
1495893680.6028152,"27/05/2017 22:01:20"," 1340bc"," -12"," -72"
1495893682.1260092,"27/05/2017 22:01:22"," 1340bc"," -13"," -76"
1495893683.6266322,"27/05/2017 22:01:23"," 1340bc"," -5"," -73"
1495893685.1377988,"27/05/2017 22:01:25"," 1340bc"," -4"," -74"
1495893686.6511059,"27/05/2017 22:01:26"," 1340bc"," -13"," -79"
1495893688.155506,"27/05/2017 22:01:28"," 1340bc"," -13"," -79"
1495893689.6685152,"27/05/2017 22:01:29"," 1340bc"," -7"," -79"
1495893691.1728375,"27/05/2017 22:01:31"," 1340bc"," -11"," -78"
1495893692.688208,"27/05/2017 22:01:32"," 1340bc"," -13"," -80"
1495893694.194148,"27/05/2017 22:01:34"," 1340bc"," -13"," -79"
1495893695.6967683,"27/05/2017 22:01:35"," 1340bc"," -13"," -80"
1495893697.2097745,"27/05/2017 22:01:37"," 1340bc"," -12"," -85"
1495893698.7143664,"27/05/2017 22:01:38"," 1340bc"," -10"," -80"
1495893700.227757,"27/05/2017 22:01:40"," 1340bc"," -13"," -78"
1495893701.7306736,"27/05/2017 22:01:41"," 1340bc"," -13"," -77"
1495893703.2425387,"27/05/2017 22:01:43"," 1340bc"," -4"," -74"
1495893704.7589014,"27/05/2017 22:01:44"," 1340bc"," -12"," -74"
1495893706.2747476,"27/05/2017 22:01:46"," 1340bc"," -12"," -75"
1495893707.7766838,"27/05/2017 22:01:47"," 1340bc"," -13"," -76"
1495893709.2898552,"27/05/2017 22:01:49"," 1340bc"," -13"," -77"
1495893710.8057637,"27/05/2017 22:01:50"," 1340bc"," -13"," -80"
1495893712.3122444,"27/05/2017 22:01:52"," 1340bc"," -13"," -81"
1495893713.8140624,"27/05/2017 22:01:53"," 1340bc"," -14"," -85"
1495893715.3276467,"27/05/2017 22:01:55"," 1340bc"," -11"," -79"
1495893716.8401833,"27/05/2017 22:01:56"," 1340bc"," -11"," -76"
1495893718.3469028,"27/05/2017 22:01:58"," 1340bc"," -12"," -79"
1495893719.8529534,"27/05/2017 22:01:59"," 1340bc"," -13"," -77"
1495893721.355423,"27/05/2017 22:02:01"," 1340bc"," -12"," -77"
1495893722.8685255,"27/05/2017 22:02:02"," 1340bc"," -12"," -73"
1495893724.3830197,"27/05/2017 22:02:04"," 1340bc"," -13"," -75"
1495893725.8986301,"27/05/2017 22:02:05"," 1340bc"," -13"," -76"
1495893727.4035823,"27/05/2017 22:02:07"," 1340bc"," -13"," -77"
1495893728.9052205,"27/05/2017 22:02:08"," 1340bc"," -13"," -79"
1495893730.4116933,"27/05/2017 22:02:10"," 1340bc"," -9"," -83"
1495893731.9270008,"27/05/2017 22:02:11"," 1340bc"," -18"," -93"
1495893733.4338245,"27/05/2017 22:02:13"," 1340bc"," -12"," -81"
1495893734.938695,"27/05/2017 22:02:14"," 1340bc"," -10"," -84"
1495893736.4511566,"27/05/2017 22:02:16"," 1340bc"," -11"," -80"
1495893737.9581556,"27/05/2017 22:02:17"," 1340bc"," -11"," -83"
1495893739.4645252,"27/05/2017 22:02:19"," 1340bc"," -10"," -84"
1495893740.9725204,"27/05/2017 22:02:20"," 1340bc"," -10"," -85"
1495893742.4763112,"27/05/2017 22:02:22"," 1340bc"," -7"," -82"
1495893743.982953,"27/05/2017 22:02:23"," 1340bc"," -11"," -82"
1495893745.4948456,"27/05/2017 22:02:25"," 1340bc"," -12"," -85"
1495893747.01277,"27/05/2017 22:02:27"," 1340bc"," -7"," -83"
1495893748.5154924,"27/05/2017 22:02:28"," 1340bc"," -11"," -81"
1495893750.0364537,"27/05/2017 22:02:30"," 1340bc"," -11"," -79"
1495893751.5417664,"27/05/2017 22:02:31"," 1340bc"," -13"," -81"
1495893753.0481086,"27/05/2017 22:02:33"," 1340bc"," -13"," -81"
1495893754.5534,"27/05/2017 22:02:34"," 1340bc"," -12"," -84"
1495893756.0743666,"27/05/2017 22:02:36"," 1340bc"," -8"," -83"
1495893757.5785463,"27/05/2017 22:02:37"," 1340bc"," -9"," -80"
1495893759.0820067,"27/05/2017 22:02:39"," 1340bc"," -9"," -82"
1495893760.5962868,"27/05/2017 22:02:40"," ffffff"," -10"," -82"
1495893762.1133885,"27/05/2017 22:02:42"," ffffff"," -6"," -80"
1495893763.6347342,"27/05/2017 22:02:43"," ffffff"," -10"," -85"
1495893765.1384845,"27/05/2017 22:02:45"," ffffff"," -10"," -85"
1495893766.643547,"27/05/2017 22:02:46"," ffffff"," -9"," -82"
1495893768.1550572,"27/05/2017 22:02:48"," ffffff"," -11"," -83"
1495893769.6680686,"27/05/2017 22:02:49"," ffffff"," -7"," -80"
1495893771.180796,"27/05/2017 22:02:51"," ffffff"," -8"," -81"
1495893772.6915734,"27/05/2017 22:02:52"," ffffff"," -6"," -76"
1495893774.2038953,"27/05/2017 22:02:54"," ffffff"," -9"," -77"
1495893775.7156682,"27/05/2017 22:02:55"," 1340db"," -11"," -80"
1495893777.2237139,"27/05/2017 22:02:57"," 1340db"," -10"," -78"
1495893778.7364123,"27/05/2017 22:02:58"," 1340db"," -7"," -80"
1495893780.2481039,"27/05/2017 22:03:00"," 1340db"," -10"," -76"
1495893781.7643244,"27/05/2017 22:03:01"," 1340db"," -11"," -78"
1495893783.2695441,"27/05/2017 22:03:03"," 1340db"," -9"," -75"
1495893784.7787602,"27/05/2017 22:03:04"," 1340db"," -11"," -75"
1495893786.2913232,"27/05/2017 22:03:06"," 1340db"," -11"," -74"
1495893787.800923,"27/05/2017 22:03:07"," 1340db"," -10"," -76"
1495893789.3187459,"27/05/2017 22:03:09"," 1340db"," -12"," -76"
