time slot,timestamp,date time,block index,block length,gamma,max gain,weight,probability,selection type,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1495795348.51805,26/05/2017 18:42:28,1,1,1,120000000,"[1, 1]","[0.5, 0.5]",2,WiFi,3.4041574001,4324920,5594572.43122928,2.9837719633,0.0006053448,15.0000033379,0,"['exploring after a reset', 'prob current block:0.5', '<wifi_mac_address>']"
2,1495795363.51865,26/05/2017 18:42:43,2,1,0.793700526,120000000,"[1.0, 0.9636728019884433]","[0.5019082307996187, 0.49809176920038134]",2,Cellular,2.7720735073,6931862,8503319.06005398,4.5351034987,0.0049548149,14.9999964237,2896,"['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:1.0', '']"
3,1495795378.52361,26/05/2017 18:42:58,3,2,0.6933612744,120000000,"[1.0, 0.9876396987777775]","[0.5009534290892246, 0.4990465709107754]",1,Cellular,0,12268068,12263915.0231761,6.540754679,0,15.0050795078,0,"['; gamma used= 0.6933612743506348', 'current gain: 8503319.060053978, prev block gain: [5594572.431229277]', 'flipped coin and will select greedily...', 'averageBytePerNet:[5594572.431229277, 8503319.060053978], numNetworkHighestAverageByte: 1', 'choosing greedily']"
4,1495795393.52869,26/05/2017 18:43:13,3,2,0.6933612744,120000000,"[0.949381846137269, 1.0]","[0.49519572957945357, 0.5048042704205464]",1,Cellular,0,7681596,7679446.37469697,4.0957047332,0,15.0041987896,0,"['; gamma used= 0.6299605249474366', 'no selection ----- in the middle of a block']"
5,1495795408.53288,26/05/2017 18:43:28,4,2,0.6299605249,120000000,"[0.9118691622000142, 1.0]","[0.4914712027370318, 0.5085287972629682]",0,Cellular,0,8460900,8459237.31764682,4.5115932361,0,15.0029482841,0,"['; gamma used= 0.6299605249474366', 'flipped coin but will not select greedily...', 'choosing randomly']"
6,1495795423.53583,26/05/2017 18:43:43,4,2,0.6299605249,120000000,"[0.8756469534277941, 1.0]","[0.4862364973103651, 0.5137635026896349]",0,Cellular,0,11122060,11116531.8212908,5.9288169714,0,15.0074594021,0,"['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
7,1495795438.54329,26/05/2017 18:43:58,5,2,0.5848035476,120000000,"[0.8302249512777489, 1.0]","[0.4807428048997266, 0.5192571951002733]",0,Cellular,0,11340636,11338921.4976621,6.0474247988,0,15.0022680759,0,"['; gamma used= 0.5848035476425733', 'flipped coin but will not select greedily...', 'choosing randomly']"
8,1495795453.54556,26/05/2017 18:44:13,5,2,0.5848035476,120000000,"[0.7896776079560125, 1.0]","[0.47357693957473507, 0.526423060425265]",0,Cellular,0,12124468,12119942.2780695,6.463969215,0,15.0056011677,0,"['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
9,1495795468.55116,26/05/2017 18:44:28,6,2,0.5503212081,120000000,"[0.7485244859830675, 1.0]","[0.46766324800431985, 0.5323367519956801]",0,WiFi,1.5185158253,8094000,9006331.51533751,4.8033768082,0.0065302849,14.999032259,0,"['; gamma used= 0.5503212081491045', 'flipped coin but will not select greedily...', 'choosing randomly', '<wifi_mac_address>']"
10,1495795483.55672,26/05/2017 18:44:43,7,2,0.5503212081,120000000,"[0.7805909219681767, 1.0]","[0.4705964927105757, 0.5294035072894243]",-1,Cellular,1.6882658005,12319612,13880300.8674729,7.4028271293,0.0028018951,15.0016789436,0,"['; gamma used= 0.5227579585747102', 'current gain: 9006331.51533751, prev block gain: [11338921.49766211, 12119942.278069517]', ' ----- switch back', '']"
11,1495795498.5612,26/05/2017 18:44:58,7,2,0.5227579586,120000000,"[0.7583415908180292, 1.0]","[0.465641145832542, 0.534358854167458]",-1,Cellular,0,9688008,9684195.86502213,5.1649044613,0,15.0059046745,0,"['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
12,1495795513.56711,26/05/2017 18:45:13,8,2,0.5,120000000,"[0.7431950474035738, 1.0]","[0.4631703645299291, 0.5368296354700709]",1,Cellular,0,13092540,13086139.2596398,6.9792742718,0,15.0073368549,0,"['; gamma used= 0.5', 'flipped coin and will select greedily...', 'averageBytePerNet:[7300451.973283393, 10560645.567232357], numNetworkHighestAverageByte: 1', 'choosing greedily']"
