time slot,timestamp,date time,max gain,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1495452180.14183,22/05/2017 19:23:00,120000000,WiFi,3.0888972282,7215128,9086115.9922959,4.8459285292,0.0005903244,15.0001385212,0,['<wifi_mac_address>']
2,1495452195.14256,22/05/2017 19:23:15,120000000,Cellular,1.7301483154,6754600,7635158.1533886,4.0720843485,0.0040562153,15.0002074242,0,['']
3,1495452210.14682,22/05/2017 19:23:30,120000000,WiFi,4.305505991,5897384,8271810.58909805,4.4116323142,0.0074336529,14.9997498989,0,"['averageBytePerNet:[9086115.992295898, 7635158.153388595], numNetworkHighestAverageByte: 1', '<wifi_mac_address>']"
4,1495452225.154,22/05/2017 19:23:45,120000000,WiFi,0,8625736,8623084.98074949,4.5989786564,0,15.0046114922,0,"['averageBytePerNet:[8678963.290696975, 7635158.153388595], numNetworkHighestAverageByte: 1']"
5,1495452240.15862,22/05/2017 19:24:00,120000000,WiFi,0,9073168,9072474.95987293,4.8386533119,0,15.0011458397,0,"['averageBytePerNet:[8660337.187381146, 7635158.153388595], numNetworkHighestAverageByte: 1']"
6,1495452255.15976,22/05/2017 19:24:15,120000000,WiFi,0,8101560,8100060.61248314,4.3200323267,0,15.0027766228,0,"['averageBytePerNet:[8763371.63050409, 7635158.153388595], numNetworkHighestAverageByte: 1']"
7,1495452270.16254,22/05/2017 19:24:30,120000000,WiFi,0,8973256,8971559.35596057,4.7848316565,0,15.0028367043,0,"['averageBytePerNet:[8630709.426899899, 7635158.153388595], numNetworkHighestAverageByte: 1']"
8,1495452285.16538,22/05/2017 19:24:45,120000000,WiFi,0,9076064,9075184.81954519,4.8400985704,0,15.0014531612,0,"['averageBytePerNet:[8687517.74841001, 7635158.153388595], numNetworkHighestAverageByte: 1']"
9,1495452300.16683,22/05/2017 19:25:00,120000000,WiFi,0,9076064,9075102.89639221,4.8400548781,0,15.001588583,0,"['averageBytePerNet:[8742898.75857218, 7635158.153388595], numNetworkHighestAverageByte: 1']"
10,1495452315.16842,22/05/2017 19:25:15,120000000,WiFi,0,8731440,8730651.23152415,4.6563473235,0,15.0013551712,0,"['averageBytePerNet:[8784424.275799682, 7635158.153388595], numNetworkHighestAverageByte: 1']"
