time slot,timestamp,date time,max gain,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
29,1495440772.81368,22/05/2017 16:12:52,120000000,WiFi,0,9058688,9057755.94370048,4.83080317,0,15.0015435219,0,"['averageBytePerNet:[8835610.044378106, 6219616.338476938], numNetworkHighestAverageByte: 1']"
30,1495440787.81523,22/05/2017 16:13:07,120000000,WiFi,0,7515120,7513473.38956364,4.0071858078,0,15.0032873154,0,"['averageBytePerNet:[8843543.826496761, 6219616.338476938], numNetworkHighestAverageByte: 1']"
31,1495440802.81851,22/05/2017 16:13:22,120000000,WiFi,0,8952984,8951520.64414366,4.7741443435,0,15.0024521351,0,"['averageBytePerNet:[8797679.328671481, 6219616.338476938], numNetworkHighestAverageByte: 1']"
32,1495440817.82097,22/05/2017 16:13:37,120000000,WiFi,0,8785016,8783787.39204264,4.6846866091,0,15.0020980835,0,"['averageBytePerNet:[8802807.372520555, 6219616.338476938], numNetworkHighestAverageByte: 1']"
33,1495440832.82306,22/05/2017 16:13:52,120000000,WiFi,0,9067376,9066233.11201332,4.8353243264,0,15.0018908978,0,"['averageBytePerNet:[8802193.824763201, 6219616.338476938], numNetworkHighestAverageByte: 1']"
34,1495440847.82496,22/05/2017 16:14:07,120000000,WiFi,0,9070272,9069428.98336451,4.8370287911,0,15.0013942719,0,"['averageBytePerNet:[8810445.052489769, 6219616.338476938], numNetworkHighestAverageByte: 1']"
35,1495440862.82635,22/05/2017 16:14:22,120000000,WiFi,0,9071720,9070700.39510736,4.8377068774,0,15.0016860962,0,"['averageBytePerNet:[8818293.050395064, 6219616.338476938], numNetworkHighestAverageByte: 1']"
36,1495440877.82804,22/05/2017 16:14:37,120000000,WiFi,0,9068824,9067524.28600675,4.8360129525,0,15.0021500587,0,"['averageBytePerNet:[8825716.79582778, 6219616.338476938], numNetworkHighestAverageByte: 1']"
37,1495440892.83019,22/05/2017 16:14:52,120000000,WiFi,0,9070272,9069433.30760537,4.8370310974,0,15.0013871193,0,"['averageBytePerNet:[8832625.581261465, 6219616.338476938], numNetworkHighestAverageByte: 1']"
38,1495440907.83157,22/05/2017 16:15:07,120000000,WiFi,0,7990064,7989129.39929106,4.260869013,0,15.0017547607,0,"['averageBytePerNet:[8839203.573659906, 6219616.338476938], numNetworkHighestAverageByte: 1']"
39,1495440922.83333,22/05/2017 16:15:22,120000000,WiFi,0,9070272,9068974.38451307,4.8367863384,0,15.002146244,0,"['averageBytePerNet:[8816228.595974261, 6219616.338476938], numNetworkHighestAverageByte: 1']"
40,1495440937.83547,22/05/2017 16:15:37,120000000,WiFi,0,9073168,9071473.94464341,4.8381194371,0,15.0028011799,0,"['averageBytePerNet:[8822879.80093581, 6219616.338476938], numNetworkHighestAverageByte: 1']"
41,1495440952.83828,22/05/2017 16:15:52,120000000,WiFi,0,9074616,9073476.52548046,4.8391874803,0,15.0018837452,0,"['averageBytePerNet:[8829254.009748826, 6219616.338476938], numNetworkHighestAverageByte: 1']"
42,1495440967.84016,22/05/2017 16:16:07,120000000,WiFi,0,9076064,9074671.95880835,4.8398250447,0,15.0023009777,0,"['averageBytePerNet:[8835359.572642116, 6219616.338476938], numNetworkHighestAverageByte: 1']"
