time slot,timestamp,date time,max gain,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1495799549.02379,26/05/2017 19:52:29,120000000,Cellular,1.6934576035,2233655,2517873.18404032,1.3428656982,0.0004901886,15.0002536774,0,['']
2,1495799564.02454,26/05/2017 19:52:44,120000000,WiFi,4.0314075947,5885801,8048914.71938795,4.292754517,0.0068199635,15.0002174377,0,['<wifi_mac_address>']
3,1495799579.03158,26/05/2017 19:52:59,120000000,WiFi,0,6217712,6215569.35975465,3.3149703252,0,15.0051708221,0,"['averageBytePerNet:[8048914.719387944, 2517873.18404032], numNetworkHighestAverageByte: 1']"
4,1495799594.03675,26/05/2017 19:53:14,120000000,WiFi,0,7694672,7693410.27922724,4.1031521489,0,15.0024600029,0,"['averageBytePerNet:[7132242.039571298, 2517873.18404032], numNetworkHighestAverageByte: 1']"
5,1495799609.03921,26/05/2017 19:53:29,120000000,WiFi,0,7374664,7373364.05680532,3.9324608303,0,15.0026445389,0,"['averageBytePerNet:[7319298.119456612, 2517873.18404032], numNetworkHighestAverageByte: 1']"
6,1495799624.04185,26/05/2017 19:53:44,120000000,WiFi,0,7840920,7838458.86991316,4.1805113973,0,15.0047097206,0,"['averageBytePerNet:[7332814.60379379, 2517873.18404032], numNetworkHighestAverageByte: 1']"
7,1495799639.04656,26/05/2017 19:53:59,120000000,WiFi,0,8056672,8054548.21656474,4.2957590488,0,15.0039551258,0,"['averageBytePerNet:[7433943.457017663, 2517873.18404032], numNetworkHighestAverageByte: 1']"
8,1495799654.05052,26/05/2017 19:54:14,120000000,WiFi,0,9076064,9074312.87541739,4.8396335336,0,15.00289464,0,"['averageBytePerNet:[7537377.583608843, 2517873.18404032], numNetworkHighestAverageByte: 1']"
9,1495799669.05341,26/05/2017 19:54:29,120000000,WiFi,0,7450416,7449320.17324379,3.9729707591,0,15.0022065639,0,"['averageBytePerNet:[7756939.7681529205, 2517873.18404032], numNetworkHighestAverageByte: 1']"
10,1495799684.05562,26/05/2017 19:54:44,120000000,WiFi,0,3775928,3774791.80462004,2.0132222958,0,15.0045149326,0,"['averageBytePerNet:[7718487.318789279, 2517873.18404032], numNetworkHighestAverageByte: 1']"
11,1495799699.06013,26/05/2017 19:54:59,120000000,WiFi,0,3898016,3896958.92353012,2.0783780925,0,15.0040688515,0,"['averageBytePerNet:[7280298.92832603, 2517873.18404032], numNetworkHighestAverageByte: 1']"
12,1495799714.0642,26/05/2017 19:55:14,120000000,WiFi,0,5529912,5528728.91491792,2.9486554213,0,15.0032098293,0,"['averageBytePerNet:[6941964.927846439, 2517873.18404032], numNetworkHighestAverageByte: 1']"
13,1495799729.06741,26/05/2017 19:55:29,120000000,WiFi,0,6657904,6656510.05367093,3.5501386953,0,15.0031411648,0,"['averageBytePerNet:[6813488.9266711185, 2517873.18404032], numNetworkHighestAverageByte: 1']"
14,1495799744.07055,26/05/2017 19:55:44,120000000,WiFi,0,6365408,6364854.01153426,3.3945888062,0,15.0013055801,0,"['averageBytePerNet:[6800407.353921103, 2517873.18404032], numNetworkHighestAverageByte: 1']"
15,1495799759.07186,26/05/2017 19:55:59,120000000,WiFi,0,6201784,6200883.25664135,3.3071377369,0,15.0021789074,0,"['averageBytePerNet:[6766903.250660577, 2517873.18404032], numNetworkHighestAverageByte: 1']"
16,1495799774.07404,26/05/2017 19:56:14,120000000,WiFi,0,7486160,7484883.70032728,3.9919379735,0,15.0025577545,0,"['averageBytePerNet:[6726473.2510877745, 2517873.18404032], numNetworkHighestAverageByte: 1']"
17,1495799789.07659,26/05/2017 19:56:29,120000000,WiFi,0,8301384,8300059.85975627,4.4266985919,0,15.0023930073,0,"['averageBytePerNet:[6777033.947703741, 2517873.18404032], numNetworkHighestAverageByte: 1']"
18,1495799804.07899,26/05/2017 19:56:44,120000000,WiFi,0,9076064,9074738.01017304,4.8398602721,0,15.002191782,0,"['averageBytePerNet:[6872223.067207024, 2517873.18404032], numNetworkHighestAverageByte: 1']"
19,1495799819.08118,26/05/2017 19:56:59,120000000,WiFi,0,9029728,9028817.72119005,4.8153694513,0,15.001512289,0,"['averageBytePerNet:[7001782.769734437, 2517873.18404032], numNetworkHighestAverageByte: 1']"
20,1495799834.08269,26/05/2017 19:57:14,120000000,WiFi,0,9076064,9074703.39798429,4.8398418123,0,15.0022490025,0,"['averageBytePerNet:[7114395.822593082, 2517873.18404032], numNetworkHighestAverageByte: 1']"
21,1495799849.08494,26/05/2017 19:57:29,120000000,WiFi,0,9073168,9072348.79354769,4.8385860232,0,15.0013544559,0,"['averageBytePerNet:[7217569.905508408, 2517873.18404032], numNetworkHighestAverageByte: 1']"
