time slot,timestamp,date time,block index,block length,gamma,max gain,weight,probability,selection type,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
20,1494236988.27549,08/05/17 05:49 PM,13,3,0.4367902324,120000000,"[0.7032631949432553, 1.0]","[0.4499380072721961, 0.5500619927278038]",0,Cellular,2.1075828075,6842740,7961501.15538382,4.2461339495,0.0048353672,14.9997620583,0,"['; gamma used= 0.42529037028299016', 'current gain: 778860.9376892563, prev block gain: [9589641.259273984, 5824292.538597643]', ' ----- switch back', '']"
21,1494237003.28009,08/05/17 05:50 PM,13,3,0.4252903703,120000000,"[0.6936498711587654, 1.0]","[0.4470842825346514, 0.5529157174653487]",-1,Cellular,0,12472336,12468652.1578765,6.6499478175,0,15.0044317245,0,"['; gamma used= 0.41491326668312173', 'no selection ----- in the middle of a block']"
22,1494237018.28452,08/05/17 05:50 PM,13,3,0.4252903703,120000000,"[0.6788576459838245, 1.0]","[0.4440404815469307, 0.5559595184530693]",-1,Cellular,0,8413188,8411164.0390538,4.4859541542,0,15.0036094189,0,"['; gamma used= 0.41491326668312173', 'no selection ----- in the middle of a block']"
23,1494237033.28813,08/05/17 05:50 PM,14,2,0.4149132667,120000000,"[0.6690576222558492, 1.0]","[0.4419942151401757, 0.5580057848598244]",-1,WiFi,4.3973555565,1366591,1933405.42240049,1.0311495586,0.0028584003,14.9998214245,4164,"['; gamma used= 0.41491326668312173', 'flipped coin but will not select greedily...', 'choosing randomly', 'E4:8D:8C:6B:CD:D9']"
24,1494237048.29081,08/05/17 05:50 PM,15,3,0.4149132667,120000000,"[0.674020504716307, 1.0]","[0.4421150202096329, 0.5578849797903671]",0,Cellular,2.2579247952,13565644,15969830.3807041,8.5172428697,0.0067307949,14.9997420311,0,"['; gamma used= 0.4054801330382267', 'current gain: 1933405.42240049, prev block gain: [7961501.15538382, 12468652.157876482, 8411164.039053801]', ' ----- switch back', '']"
25,1494237063.29728,08/05/17 05:51 PM,15,3,0.405480133,120000000,"[0.6564547304307676, 1.0]","[0.4374539988372872, 0.5625460011627128]",-1,Cellular,0,15316232,15313605.1926721,8.1672561028,0,15.0025730133,0,"['; gamma used= 0.3968502629920499', 'no selection ----- in the middle of a block']"
26,1494237078.29985,08/05/17 05:51 PM,15,3,0.405480133,120000000,"[0.6400408704544674, 1.0]","[0.433809803697503, 0.566190196302497]",-1,Cellular,0,10943280,10938728.0038028,5.8339882687,0,15.0062420368,0,"['; gamma used= 0.3968502629920499', 'no selection ----- in the middle of a block']"
27,1494237093.3061,08/05/17 05:51 PM,16,3,0.396850263,120000000,"[0.628568102826105, 1.0]","[0.43121901051972156, 0.5687809894802784]",-1,Cellular,0,7458880,7455996.41780793,3.9765314228,0,15.0058012009,0,"['; gamma used= 0.3968502629920499', 'flipped coin but will not select greedily...', 'choosing randomly']"
28,1494237108.3119,08/05/17 05:51 PM,16,3,0.396850263,120000000,"[0.6153567420541975, 1.0]","[0.42724479612900973, 0.5727552038709903]",0,Cellular,0,9944672,9941087.24241338,5.301913196,0,15.0054090023,0,"['; gamma used= 0.3889111187328203', 'no selection ----- in the middle of a block']"
29,1494237123.31731,08/05/17 05:52 PM,16,3,0.396850263,120000000,"[0.5981729381460444, 1.0]","[0.42317725953485885, 0.5768227404651413]",0,Cellular,0,9658224,9655530.74570312,5.1496163977,0,15.0041840076,0,"['; gamma used= 0.3889111187328203', 'no selection ----- in the middle of a block']"
30,1494237138.32149,08/05/17 05:52 PM,17,3,0.3889111187,120000000,"[0.5819422396209852, 1.0]","[0.4192541792308794, 0.5807458207691207]",0,Cellular,0,7850296,7846982.57081959,4.1850573711,0,15.006333828,0,"['; gamma used= 0.3889111187328203', 'flipped coin and will select greedily...', 'averageBytePerNet:[3568634.925173902, 9809610.15815296], numNetworkHighestAverageByte: 1', 'choosing greedily']"
31,1494237153.32782,08/05/17 05:52 PM,17,3,0.3889111187,120000000,"[0.5676015424992308, 1.0]","[0.41470805580010467, 0.5852919441998954]",1,Cellular,0,6712772,6709953.83167699,3.5786420436,0,15.0062999725,0,"['; gamma used= 0.38157141418444396', 'no selection ----- in the middle of a block']"
32,1494237168.33412,08/05/17 05:52 PM,17,3,0.3889111187,120000000,"[0.5556194447908225, 1.0]","[0.4116693869949354, 0.5883306130050646]",1,Cellular,0,9173696,9171783.9288036,4.8916180954,0,15.0031270981,0,"['; gamma used= 0.38157141418444396', 'no selection ----- in the middle of a block']"
33,1494237183.33725,08/05/17 05:53 PM,18,4,0.3815714142,120000000,"[0.5396493193853121, 1.0]","[0.40754582332247224, 0.5924541766775278]",1,Cellular,0,12302768,12296812.950851,6.5583002405,0,15.0072641373,0,"['; gamma used= 0.38157141418444396', 'flipped coin and will select greedily...', 'averageBytePerNet:[3568634.925173902, 9598494.9676656], numNetworkHighestAverageByte: 1', 'choosing greedily']"
34,1494237198.34452,08/05/17 05:53 PM,18,4,0.3815714142,120000000,"[0.5193182870237503, 1.0]","[0.40109272213135794, 0.5989072778686421]",1,Cellular,0,18010692,18008000.5843802,9.6042669783,0,15.0022418499,0,"['; gamma used= 0.3747561767843155', 'no selection ----- in the middle of a block']"
35,1494237213.34676,08/05/17 05:53 PM,18,4,0.3815714142,120000000,"[0.490918709456974, 1.0]","[0.3932537601119017, 0.6067462398880983]",1,Cellular,0,12486268,12483342.1373196,6.6577824732,0,15.0035157204,0,"['; gamma used= 0.3747561767843155', 'no selection ----- in the middle of a block']"
36,1494237228.35027,08/05/17 05:53 PM,18,4,0.3815714142,120000000,"[0.4721484614626913, 1.0]","[0.387906715020633, 0.612093284979367]",1,Cellular,0,13248360,13246246.1441408,7.0646646102,0,15.0023937225,0,"['; gamma used= 0.3747561767843155', 'no selection ----- in the middle of a block']"
37,1494237243.35267,08/05/17 05:54 PM,19,4,0.3747561768,120000000,"[0.4530152858198328, 1.0]","[0.382314103205879, 0.617685896794121]",1,Cellular,0,15893044,15885523.4782511,8.4722791884,0,15.0071012974,0,"['; gamma used= 0.3747561767843155', 'flipped coin and will select greedily...', 'averageBytePerNet:[3568634.925173902, 10167540.83689235], numNetworkHighestAverageByte: 1', 'choosing greedily']"
38,1494237258.35977,08/05/17 05:54 PM,19,4,0.3747561768,120000000,"[0.4314522717782712, 1.0]","[0.37457040609160347, 0.6254295939083966]",1,Cellular,0,13495060,13489840.2754773,7.1945814803,0,15.0058040619,0,"['; gamma used= 0.36840314986403866', 'no selection ----- in the middle of a block']"
39,1494237273.36557,08/05/17 05:54 PM,19,4,0.3747561768,120000000,"[0.41394898046997314, 1.0]","[0.36910843917752156, 0.6308915608224784]",1,Cellular,0,18708156,18703636.0592638,9.9752725649,0,15.0036249161,0,"['; gamma used= 0.36840314986403866', 'no selection ----- in the middle of a block']"
40,1494237288.3692,08/05/17 05:54 PM,19,4,0.3747561768,120000000,"[0.3908493051998134, 1.0]","[0.361689667365273, 0.638310332634727]",1,Cellular,0,14565728,14563516.2004214,7.7672086402,0,15.0022780895,0,"['; gamma used= 0.36840314986403866', 'no selection ----- in the middle of a block']"
41,1494237303.37147,08/05/17 05:55 PM,20,4,0.3684031499,120000000,"[0.3737591851253429, 1.0]","[0.3560403706908346, 0.6439596293091655]",1,Cellular,0,17155744,17153715.204204,9.1486481089,0,15.0017740726,0,"['; gamma used= 0.36840314986403866', 'flipped coin but will not select greedily...', 'choosing randomly']"
42,1494237318.37325,08/05/17 05:55 PM,20,4,0.3684031499,120000000,"[0.3590213428640943, 1.0]","[0.34965304057934127, 0.6503469594206588]",0,Cellular,0,11705408,11702940.3485269,6.2415681859,0,15.0031628609,0,"['; gamma used= 0.3624601243342974', 'no selection ----- in the middle of a block']"
43,1494237333.37641,08/05/17 05:55 PM,20,4,0.3684031499,120000000,"[0.3493014980284578, 1.0]","[0.3462737043392631, 0.653726295660737]",0,Cellular,0,9854452,9848402.03493233,5.2524810853,0,15.0092146397,0,"['; gamma used= 0.3624601243342974', 'no selection ----- in the middle of a block']"
44,1494237348.38563,08/05/17 05:55 PM,20,4,0.3684031499,120000000,"[0.3413261293867876, 1.0]","[0.34346429687201663, 0.6565357031279835]",0,Cellular,0,4347736,4344895.27565465,2.3172774803,0,15.0098071098,0,"['; gamma used= 0.3624601243342974', 'no selection ----- in the middle of a block']"
45,1494237363.39543,08/05/17 05:56 PM,21,5,0.3624601243,120000000,"[0.3378657129014193, 1.0]","[0.3422349093036616, 0.6577650906963384]",0,Cellular,0,6692704,6690711.71406092,3.5683795808,0,15.0044665337,0,"['; gamma used= 0.3624601243342974', 'flipped coin and will select greedily...', 'averageBytePerNet:[3568634.925173902, 10791954.73898447], numNetworkHighestAverageByte: 1', 'choosing greedily']"
46,1494237378.3999,08/05/17 05:56 PM,21,5,0.3624601243,120000000,"[0.3312091925975934, 1.0]","[0.33845109078466246, 0.6615489092153376]",1,Cellular,0,11651276,11648039.7422133,6.2122878625,0,15.0041675568,0,"['; gamma used= 0.3568829277518041', 'no selection ----- in the middle of a block']"
47,1494237393.40407,08/05/17 05:56 PM,21,5,0.3624601243,120000000,"[0.31993204797687114, 1.0]","[0.33432355063076513, 0.6656764493692349]",1,Cellular,0,14541728,14536550.350235,7.7528268535,0,15.0053427219,0,"['; gamma used= 0.3568829277518041', 'no selection ----- in the middle of a block']"
48,1494237408.40941,08/05/17 05:56 PM,21,5,0.3624601243,120000000,"[0.306395443835918, 1.0]","[0.32927492071295084, 0.6707250792870492]",1,Cellular,0,11468696,11460918.4058892,6.1124898165,0,15.0101792812,0,"['; gamma used= 0.3568829277518041', 'no selection ----- in the middle of a block']"
49,1494237423.41959,08/05/17 05:57 PM,21,5,0.3624601243,120000000,"[0.2961279181272261, 1.0]","[0.32537520170643097, 0.674624798293569]",1,Cellular,0,7317304,7314524.54261779,3.9010797561,0,15.005699873,0,"['; gamma used= 0.3568829277518041', 'no selection ----- in the middle of a block']"
50,1494237438.42529,08/05/17 05:57 PM,22,5,0.3568829278,120000000,"[0.28975563862984044, 1.0]","[0.32292371493315886, 0.677076285066841]",1,Cellular,0,10341143,10338476.8161096,5.5138543019,0,15.0038683414,0,"['; gamma used= 0.3568829277518041', 'flipped coin but will not select greedily...', 'choosing randomly']"
51,1494237453.42916,08/05/17 05:57 PM,22,5,0.3568829278,120000000,"[0.2833452930757963, 1.0]","[0.3189674169305313, 0.6810325830694688]",0,Cellular,0,5634412,5632792.83492248,3.0041561786,0,15.0043118,0,"['; gamma used= 0.35163388691695935', 'no selection ----- in the middle of a block']"
52,1494237468.43347,08/05/17 05:57 PM,22,5,0.3568829278,120000000,"[0.2799125796085285, 1.0]","[0.31761243334993594, 0.6823875666500641]",0,Cellular,0,9126504,9122003.20998185,4.8650683787,0,15.0074009895,0,"['; gamma used= 0.35163388691695935', 'no selection ----- in the middle of a block']"
53,1494237483.44087,08/05/17 05:58 PM,22,5,0.3568829278,120000000,"[0.2744414723745516, 1.0]","[0.3154377534912369, 0.6845622465087631]",0,Cellular,0,19290480,19287201.6279632,10.2865075349,0,15.0025496483,0,"['; gamma used= 0.35163388691695935', 'no selection ----- in the middle of a block']"
