time slot,timestamp,date time,max gain,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1495444282.15822,22/05/2017 17:11:22,120000000,Cellular,1.633556366,8868440,9951982.01743342,5.3077237426,0.0004043579,15.0004012585,0,['']
2,1495444297.15902,22/05/2017 17:11:37,120000000,WiFi,4.1453068256,6030601,8333551.69816413,4.4445609057,0.0094928741,15.0001041889,0,['<wifi_mac_address>']
3,1495444312.16862,22/05/2017 17:11:52,120000000,Cellular,3.4773659706,8011304,10429129.2390193,5.5622022608,0.005448103,14.9998581409,0,"['averageBytePerNet:[8333551.6981641315, 9951982.017433422], numNetworkHighestAverageByte: 1', '']"
4,1495444327.17393,22/05/2017 17:12:07,120000000,Cellular,0,10447012,10441660.9329052,5.5688858309,0,15.0076870918,0,"['averageBytePerNet:[8333551.6981641315, 10190555.628226368], numNetworkHighestAverageByte: 1']"
5,1495444342.18161,22/05/2017 17:12:22,120000000,Cellular,0,11953628,11949979.2563465,6.3733222701,0,15.0045800209,0,"['averageBytePerNet:[8333551.6981641315, 10274257.39645265], numNetworkHighestAverageByte: 1']"
6,1495444357.18619,22/05/2017 17:12:37,120000000,Cellular,0,12498764,12495356.4766688,6.6641901209,0,15.0040905476,0,"['averageBytePerNet:[8333551.6981641315, 10693187.861426106], numNetworkHighestAverageByte: 1']"
7,1495444372.19028,22/05/2017 17:12:52,120000000,Cellular,0,11131644,11124618.192631,5.9331297027,0,15.0094733238,0,"['averageBytePerNet:[8333551.6981641315, 11053621.58447465], numNetworkHighestAverageByte: 1']"
8,1495444387.19976,22/05/2017 17:13:07,120000000,Cellular,0,12284088,12280427.1715431,6.5495611582,0,15.0044715405,0,"['averageBytePerNet:[8333551.6981641315, 11065454.352500707], numNetworkHighestAverageByte: 1']"
9,1495444402.20423,22/05/2017 17:13:22,120000000,Cellular,0,10699628,10695032.0704241,5.7040171042,0,15.0064458847,0,"['averageBytePerNet:[8333551.6981641315, 11239021.89807819], numNetworkHighestAverageByte: 1']"
10,1495444417.21067,22/05/2017 17:13:37,120000000,Cellular,0,11534568,11527948.3845836,6.1482391384,0,15.008613348,0,"['averageBytePerNet:[8333551.6981641315, 11171023.169621434], numNetworkHighestAverageByte: 1']"
11,1495444432.21929,22/05/2017 17:13:52,120000000,Cellular,0,9168780,9165141.30492664,4.8880753626,0,15.0059552193,0,"['averageBytePerNet:[8333551.6981641315, 11210681.526839457], numNetworkHighestAverageByte: 1']"
12,1495444447.22524,22/05/2017 17:14:07,120000000,Cellular,0,11560824,11555046.7117322,6.1626915796,0,15.0074996948,0,"['averageBytePerNet:[8333551.6981641315, 11006127.504648175], numNetworkHighestAverageByte: 1']"
