"timestamp","date time","EcIo","RSCP"
1494491697.5941846,"11/05/2017 16:34:57"," 134d3"," -13"," -97"
1494491699.1095383,"11/05/2017 16:34:59"," 134d3"," -13"," -102"
1494491700.6146026,"11/05/2017 16:35:00"," 134d3"," -12"," -97"
1494491702.1210043,"11/05/2017 16:35:02"," 134d3"," -13"," -100"
1494491703.6348693,"11/05/2017 16:35:03"," 134d3"," -10"," -102"
1494491705.1385803,"11/05/2017 16:35:05"," 134d3"," -13"," -98"
1494491706.658277,"11/05/2017 16:35:06"," 134d3"," -13"," -98"
1494491708.171228,"11/05/2017 16:35:08"," 134d3"," -12"," -97"
1494491709.6860228,"11/05/2017 16:35:09"," 134d3"," -13"," -98"
1494491711.2102435,"11/05/2017 16:35:11"," 134d3"," -13"," -98"
1494491712.7121518,"11/05/2017 16:35:12"," 134d3"," -13"," -98"
1494491714.2233944,"11/05/2017 16:35:14"," 134d3"," -12"," -94"
1494491715.734512,"11/05/2017 16:35:15"," 134d3"," -13"," -97"
1494491717.2458875,"11/05/2017 16:35:17"," 134d3"," -13"," -96"
1494491718.7572913,"11/05/2017 16:35:18"," 134d3"," -13"," -96"
1494491720.269837,"11/05/2017 16:35:20"," 134d3"," -13"," -96"
1494491721.7834752,"11/05/2017 16:35:21"," 134d3"," -13"," -97"
1494491723.2959552,"11/05/2017 16:35:23"," 134d3"," -13"," -98"
1494491724.8035607,"11/05/2017 16:35:24"," 134d3"," -13"," -98"
1494491726.3142853,"11/05/2017 16:35:26"," 134d3"," -13"," -97"
1494491727.8264632,"11/05/2017 16:35:27"," 134d3"," -13"," -96"
1494491729.3396273,"11/05/2017 16:35:29"," 134d3"," -12"," -97"
1494491730.8519387,"11/05/2017 16:35:30"," 134d3"," -12"," -96"
1494491732.3610964,"11/05/2017 16:35:32"," 134d3"," -13"," -97"
1494491733.8751009,"11/05/2017 16:35:33"," 134d3"," -13"," -99"
1494491735.3876517,"11/05/2017 16:35:35"," 134d3"," -13"," -100"
1494491736.8990834,"11/05/2017 16:35:36"," 134d3"," -13"," -98"
1494491738.4122465,"11/05/2017 16:35:38"," 134d3"," -13"," -100"
1494491739.9232576,"11/05/2017 16:35:39"," 134d3"," -10"," -103"
1494491741.4357874,"11/05/2017 16:35:41"," 134d3"," -13"," -101"
1494491742.9491932,"11/05/2017 16:35:42"," 134d3"," -13"," -100"
1494491744.4666414,"11/05/2017 16:35:44"," 134d3"," -13"," -99"
1494491745.972648,"11/05/2017 16:35:45"," 134d3"," -13"," -98"
1494491747.4797552,"11/05/2017 16:35:47"," 134d3"," -12"," -99"
1494491748.9851804,"11/05/2017 16:35:48"," 134d3"," -13"," -98"
1494491750.4949095,"11/05/2017 16:35:50"," 134d3"," -10"," -101"
1494491751.9985127,"11/05/2017 16:35:51"," 134d3"," -12"," -98"
1494491753.5036707,"11/05/2017 16:35:53"," 134d3"," -13"," -98"
1494491755.0169246,"11/05/2017 16:35:55"," 134d3"," -13"," -96"
1494491756.5316722,"11/05/2017 16:35:56"," 134d3"," -13"," -97"
1494491758.0345666,"11/05/2017 16:35:58"," 134d3"," -13"," -101"
1494491759.5456219,"11/05/2017 16:35:59"," 134d3"," -8"," -100"
1494491761.0596783,"11/05/2017 16:36:01"," 134d3"," -12"," -97"
1494491762.5680115,"11/05/2017 16:36:02"," 134d3"," -13"," -97"
1494491764.071086,"11/05/2017 16:36:04"," 134d3"," -7"," -98"
1494491765.5904205,"11/05/2017 16:36:05"," 134d3"," -12"," -96"
1494491767.0923772,"11/05/2017 16:36:07"," 134d3"," -12"," -96"
1494491768.6087248,"11/05/2017 16:36:08"," 134d3"," -13"," -97"
1494491770.1149824,"11/05/2017 16:36:10"," 134d3"," -13"," -96"
1494491771.6215904,"11/05/2017 16:36:11"," 134d3"," -13"," -100"
1494491773.1248565,"11/05/2017 16:36:13"," 134d3"," -13"," -99"
1494491774.6407547,"11/05/2017 16:36:14"," 134d3"," -13"," -100"
1494491776.1442997,"11/05/2017 16:36:16"," 134d3"," -12"," -98"
1494491777.6599698,"11/05/2017 16:36:17"," 134d3"," -10"," -103"
1494491779.163021,"11/05/2017 16:36:19"," 134d3"," -13"," -99"
1494491780.6821275,"11/05/2017 16:36:20"," 134d3"," -12"," -98"
1494491782.187269,"11/05/2017 16:36:22"," 134d3"," -12"," -97"
1494491783.6937332,"11/05/2017 16:36:23"," 134d3"," -12"," -99"
1494491785.2022843,"11/05/2017 16:36:25"," 134d3"," -13"," -101"
1494491786.7121363,"11/05/2017 16:36:26"," 134d3"," -12"," -97"
1494491788.2259684,"11/05/2017 16:36:28"," 134d3"," -12"," -100"
1494491789.7371724,"11/05/2017 16:36:29"," 134d3"," -12"," -98"
1494491791.2472384,"11/05/2017 16:36:31"," 134d3"," -12"," -97"
1494491792.7591982,"11/05/2017 16:36:32"," 134d3"," -10"," -97"
1494491794.2812364,"11/05/2017 16:36:34"," 134d3"," -12"," -98"
1494491795.7853837,"11/05/2017 16:36:35"," 134d3"," -12"," -100"
1494491797.3022742,"11/05/2017 16:36:37"," 134d3"," -12"," -100"
1494491798.8146162,"11/05/2017 16:36:38"," 134d3"," -12"," -97"
1494491800.3259614,"11/05/2017 16:36:40"," 134d3"," -12"," -104"
1494491801.8425436,"11/05/2017 16:36:41"," 134d3"," -12"," -99"
1494491803.3464613,"11/05/2017 16:36:43"," 134d3"," -11"," -98"
1494491804.8574677,"11/05/2017 16:36:44"," 134d3"," -12"," -102"
1494491806.377732,"11/05/2017 16:36:46"," 134d3"," -13"," -101"
1494491807.880614,"11/05/2017 16:36:47"," 134d3"," -13"," -99"
1494491809.393264,"11/05/2017 16:36:49"," 134d3"," -13"," -102"
1494491810.9069786,"11/05/2017 16:36:50"," 134d3"," -13"," -104"
1494491812.4181406,"11/05/2017 16:36:52"," 134d3"," -13"," -98"
1494491813.9310834,"11/05/2017 16:36:53"," 134d3"," -12"," -99"
1494491815.4455838,"11/05/2017 16:36:55"," 134d3"," -13"," -99"
1494491816.950008,"11/05/2017 16:36:56"," 134d3"," -11"," -97"
1494491818.4623334,"11/05/2017 16:36:58"," 134d3"," -13"," -101"
1494491819.9754667,"11/05/2017 16:36:59"," 134d3"," -12"," -101"
1494491821.487888,"11/05/2017 16:37:01"," 134d3"," -12"," -100"
1494491822.999978,"11/05/2017 16:37:02"," 134d3"," -12"," -98"
1494491824.5149455,"11/05/2017 16:37:04"," 134d3"," -12"," -100"
1494491826.0185535,"11/05/2017 16:37:06"," 134d3"," -7"," -98"
1494491827.5295925,"11/05/2017 16:37:07"," 134d3"," -13"," -101"
1494491829.0427582,"11/05/2017 16:37:09"," 134d3"," -13"," -104"
1494491830.5549917,"11/05/2017 16:37:10"," 134d3"," -13"," -105"
1494491832.0672245,"11/05/2017 16:37:12"," 134d3"," -13"," -104"
1494491833.5789616,"11/05/2017 16:37:13"," 134d3"," -13"," -101"
1494491835.0874584,"11/05/2017 16:37:15"," 134d3"," -13"," -102"
1494491836.5997937,"11/05/2017 16:37:16"," 134d3"," -13"," -102"
1494491838.1186233,"11/05/2017 16:37:18"," 134d3"," -13"," -100"
1494491839.6291883,"11/05/2017 16:37:19"," 134d3"," -11"," -105"
1494491841.142076,"11/05/2017 16:37:21"," 134d3"," -13"," -102"
1494491842.6543374,"11/05/2017 16:37:22"," 134d3"," -13"," -103"
1494491844.1667461,"11/05/2017 16:37:24"," 134d3"," -14"," -106"
1494491845.67708,"11/05/2017 16:37:25"," 134d3"," -13"," -102"
1494491847.178926,"11/05/2017 16:37:27"," 134d3"," -13"," -101"
1494491848.640609,"11/05/2017 16:37:28"," 134d3"," -13"," -103"
1494491850.1012404,"11/05/2017 16:37:30"," 134d3"," -13"," -104"
1494491851.5763373,"11/05/2017 16:37:31"," 134d3"," -12"," -102"
1494491853.064225,"11/05/2017 16:37:33"," 134d3"," -12"," -102"
1494491854.5437407,"11/05/2017 16:37:34"," 134d3"," -12"," -102"
1494491856.0306463,"11/05/2017 16:37:36"," 134d3"," -10"," -102"
1494491857.51918,"11/05/2017 16:37:37"," 134d3"," -13"," -99"
1494491859.0096552,"11/05/2017 16:37:39"," 134d3"," -13"," -94"
1494491860.5139427,"11/05/2017 16:37:40"," 134d3"," -11"," -98"
1494491862.009156,"11/05/2017 16:37:42"," 134d3"," -8"," -95"
1494491863.5164354,"11/05/2017 16:37:43"," 134d3"," -10"," -92"
1494491865.0176692,"11/05/2017 16:37:45"," 134d3"," -11"," -95"
1494491866.515442,"11/05/2017 16:37:46"," 134d3"," -9"," -92"
1494491868.0145667,"11/05/2017 16:37:48"," 134d3"," -12"," -92"
1494491869.51729,"11/05/2017 16:37:49"," 134d3"," -9"," -94"
1494491871.0253696,"11/05/2017 16:37:51"," 134d3"," -12"," -94"
1494491872.5355453,"11/05/2017 16:37:52"," 134d3"," -12"," -95"
1494491874.0424464,"11/05/2017 16:37:54"," 134d3"," -11"," -93"
1494491875.5519855,"11/05/2017 16:37:55"," 134d3"," -11"," -93"
1494491877.0612066,"11/05/2017 16:37:57"," 134d3"," -12"," -95"
1494491878.5669267,"11/05/2017 16:37:58"," 134d3"," -11"," -94"
1494491880.0739558,"11/05/2017 16:38:00"," 134d3"," -11"," -93"
1494491881.5864046,"11/05/2017 16:38:01"," 134d3"," -11"," -92"
1494491883.0947254,"11/05/2017 16:38:03"," 134d3"," -11"," -93"
1494491884.6064878,"11/05/2017 16:38:04"," 134d3"," -11"," -93"
1494491886.114705,"11/05/2017 16:38:06"," 134d3"," -10"," -90"
1494491887.6328197,"11/05/2017 16:38:07"," 134d3"," -8"," -88"
1494491889.1346114,"11/05/2017 16:38:09"," 134d3"," -11"," -89"
1494491890.6551938,"11/05/2017 16:38:10"," 134d3"," -11"," -91"
1494491892.1661587,"11/05/2017 16:38:12"," 134d3"," -12"," -91"
1494491893.6750216,"11/05/2017 16:38:13"," 134d3"," -11"," -92"
1494491895.1859217,"11/05/2017 16:38:15"," 134d3"," -13"," -95"
1494491896.6956074,"11/05/2017 16:38:16"," 134d3"," -10"," -94"
1494491898.2012239,"11/05/2017 16:38:18"," 134d3"," -11"," -94"
1494491899.7086136,"11/05/2017 16:38:19"," 134d3"," -10"," -95"
1494491901.2137716,"11/05/2017 16:38:21"," 134d3"," -11"," -98"
1494491902.7237763,"11/05/2017 16:38:22"," 134d3"," -10"," -93"
1494491904.2278821,"11/05/2017 16:38:24"," 134d3"," -11"," -91"
1494491905.737429,"11/05/2017 16:38:25"," 134d3"," -10"," -92"
1494491907.2506216,"11/05/2017 16:38:27"," 134d3"," -10"," -95"
1494491908.765607,"11/05/2017 16:38:28"," 134d3"," -9"," -94"
1494491910.2757168,"11/05/2017 16:38:30"," 134d3"," -12"," -93"
1494491911.7885318,"11/05/2017 16:38:31"," 134e4"," -11"," -93"
1494491913.3038967,"11/05/2017 16:38:33"," 134e4"," -11"," -95"
1494491914.8134344,"11/05/2017 16:38:34"," fffff"," -12"," -95"
1494491916.3299627,"11/05/2017 16:38:36"," 134d3"," -10"," -91"
1494491917.8689055,"11/05/2017 16:38:37"," 134d3"," -11"," -92"
1494491919.400984,"11/05/2017 16:38:39"," 134d3"," -11"," -91"
1494491920.9321766,"11/05/2017 16:38:40"," 134d3"," -10"," -90"
1494491922.4591045,"11/05/2017 16:38:42"," 134d3"," -10"," -89"
1494491923.98353,"11/05/2017 16:38:43"," 134d3"," -11"," -91"
1494491925.5040748,"11/05/2017 16:38:45"," 134d3"," -12"," -91"
