time slot,timestamp,date time,block index,block length,gamma,max gain,weight,probability,selection type,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1495447099.24365,22/05/2017 17:58:19,1,1,1,120000000,"[1, 1]","[0.5, 0.5]",2,WiFi,0.604455471,8706568,9072059.10971876,4.8384315252,0.0006322861,15.0001420975,0,"['exploring after a reset', 'prob current block:0.5', '<wifi_mac_address>']"
2,1495447114.24443,22/05/2017 17:58:34,2,1,0.793700526,120000000,"[1.0, 0.9417606245856484]","[0.5030937779772826, 0.4969062220227174]",2,Cellular,1.8142213821,11934312,13574647.0071895,7.2398117372,0.0056650639,15.0016493797,5792,"['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:1.0', '']"
3,1495447129.25174,22/05/2017 17:58:49,3,2,0.6933612744,120000000,"[1.0, 0.9794276354048039]","[0.501593461551772, 0.498406538448228]",0,WiFi,4.1662900448,5851048,8135669.50080006,4.3390237338,0.0537111759,14.9540586472,0,"['; gamma used= 0.6933612743506348', 'current gain: 13574647.007189495, prev block gain: [9072059.109718757]', 'flipped coin but will not select greedily...', 'choosing randomly', '<wifi_mac_address>']"
4,1495447144.25951,22/05/2017 17:59:04,4,2,0.6933612744,120000000,"[1.0, 0.9386047337210925]","[0.5058595420998874, 0.49414045790011263]",-1,Cellular,3.5922982693,10890332,14319923.0415182,7.6372922888,0.0056970119,14.999830246,5792,"['; gamma used= 0.6299605249474366', 'current gain: 8135669.500800061, prev block gain: [13574647.007189495]', ' ----- switch back', '']"
5,1495447159.26504,22/05/2017 17:59:19,4,2,0.6299605249,120000000,"[1.0, 0.9719336468297841]","[0.5029547267692345, 0.4970452732307655]",-1,Cellular,0,14575956,14570205.4587621,7.7707762447,0,15.0059201717,0,"['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1495447174.27096,22/05/2017 17:59:34,5,2,0.5848035476,120000000,"[0.9929894812313899, 1.0]","[0.49926975467022694, 0.5007302453297731]",0,WiFi,0.8970346451,8532744,9076231.3512808,4.8406567207,0.0089635849,14.9988303185,131072,"['; gamma used= 0.5848035476425733', 'flipped coin but will not select greedily...', 'choosing randomly', '<wifi_mac_address>']"
7,1495447189.27875,22/05/2017 17:59:49,6,2,0.5848035476,120000000,"[1.0, 0.9659440551538051]","[0.5038948809590056, 0.4961051190409944]",-1,Cellular,2.7535340786,16707876,20464714.4685125,10.9145143832,0.0025136471,14.9998881817,2896,"['; gamma used= 0.5503212081491045', 'current gain: 9076231.3512808, prev block gain: [14319923.041518241, 14570205.458762065]', ' ----- switch back', '']"
8,1495447204.28115,22/05/2017 18:00:04,6,2,0.5503212081,120000000,"[0.9901230759288754, 1.0]","[0.49881573067924306, 0.501184269320757]",-1,Cellular,0,12137552,12131759.2204154,6.4702715842,0,15.0071623325,0,"['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
9,1495447219.28832,22/05/2017 18:00:19,7,2,0.5227579586,120000000,"[0.9643018463040248, 1.0]","[0.4956634313160585, 0.5043365686839415]",1,Cellular,0,17653036,17645000.2679266,9.4106668096,0,15.0068311691,0,"['; gamma used= 0.5227579585747102', 'flipped coin and will select greedily...', 'averageBytePerNet:[8761319.987266539, 15012249.839279544], numNetworkHighestAverageByte: 1', 'choosing greedily']"
10,1495447234.29515,22/05/2017 18:00:34,7,2,0.5227579586,120000000,"[0.8959490340550336, 1.0]","[0.48627983082930987, 0.5137201691706901]",1,Cellular,0,22225648,22223080.7508466,11.8523097338,0,15.0017328262,0,"['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
11,1495447249.29688,22/05/2017 18:00:49,8,2,0.5,120000000,"[0.8167126830923199, 1.0]","[0.47477761362411786, 0.5252223863758821]",0,Cellular,0,18636172,18627823.3961744,9.9348391446,0,15.0067226887,0,"['; gamma used= 0.5', 'flipped coin but will not select greedily...', 'choosing randomly']"
12,1495447264.3036,22/05/2017 18:01:04,8,2,0.5,120000000,"[0.7607033441637918, 1.0]","[0.46471443550400304, 0.5352855644959968]",0,Cellular,0,11509668,11502440.1425915,6.1346347427,0,15.0094256401,0,"['; gamma used= 0.4807498567691362', 'no selection ----- in the middle of a block']"
