"timestamp","date time","EcIo","RSCP"
1494490870.025746,"11/05/2017 16:21:10"," 1340bc"," -5"," -74"
1494490871.5321052,"11/05/2017 16:21:11"," 1340bc"," -4"," -75"
1494490873.0360403,"11/05/2017 16:21:13"," 1340bc"," -5"," -75"
1494490874.5410657,"11/05/2017 16:21:14"," 1340bc"," -3"," -75"
1494490876.0432284,"11/05/2017 16:21:16"," 1340bc"," -3"," -74"
1494490877.5836005,"11/05/2017 16:21:17"," 1340bc"," -4"," -74"
1494490879.095799,"11/05/2017 16:21:19"," 1340bc"," -5"," -75"
1494490880.59736,"11/05/2017 16:21:20"," 1340bc"," -4"," -75"
1494490882.1150699,"11/05/2017 16:21:22"," 1340bc"," -5"," -76"
1494490883.6264834,"11/05/2017 16:21:23"," 1340bc"," -6"," -78"
1494490885.1324549,"11/05/2017 16:21:25"," 1340bc"," -9"," -80"
1494490886.640593,"11/05/2017 16:21:26"," 1340bc"," -7"," -81"
1494490888.1513562,"11/05/2017 16:21:28"," 1340bc"," -6"," -81"
1494490889.6600034,"11/05/2017 16:21:29"," 1340bc"," -10"," -82"
1494490891.163587,"11/05/2017 16:21:31"," 1340bc"," -8"," -82"
1494490892.6701775,"11/05/2017 16:21:32"," 1340bc"," -12"," -80"
1494490894.182497,"11/05/2017 16:21:34"," 1340bc"," -13"," -84"
1494490895.6927578,"11/05/2017 16:21:35"," 1340bc"," -13"," -84"
1494490897.2099068,"11/05/2017 16:21:37"," 1340bc"," -12"," -86"
1494490898.7204409,"11/05/2017 16:21:38"," 1340bc"," -12"," -89"
1494490900.2212257,"11/05/2017 16:21:40"," 1340bc"," -12"," -88"
1494490901.7329438,"11/05/2017 16:21:41"," 1340bc"," -10"," -83"
1494490903.2393477,"11/05/2017 16:21:43"," 1340bc"," -4"," -79"
1494490904.7485573,"11/05/2017 16:21:44"," 1340bc"," -9"," -86"
1494490906.2555146,"11/05/2017 16:21:46"," 1340bc"," -12"," -82"
1494490907.7680442,"11/05/2017 16:21:47"," 1340bc"," -12"," -85"
1494490909.279007,"11/05/2017 16:21:49"," 1340bc"," -6"," -79"
1494490910.791408,"11/05/2017 16:21:50"," 1340bc"," -11"," -87"
1494490912.303492,"11/05/2017 16:21:52"," 1340bc"," -12"," -82"
1494490913.8250804,"11/05/2017 16:21:53"," 1340bc"," -4"," -77"
