time slot,timestamp,date time,block index,block length,gamma,max gain,weight,probability,selection type,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1495439390.5272,22/05/2017 15:49:50,1,1,1,120000000,"[1, 1]","[0.5, 0.5]",2,Cellular,1.379168272,6030056,6640783.86759824,3.5417513961,0.001301527,14.9996747971,0,"['exploring after a reset', 'prob current block:0.5', '']"
2,1495439405.52818,22/05/2017 15:50:05,2,1,0.793700526,120000000,"[0.9570273774089615, 1.0]","[0.4977350267196179, 0.5022649732803821]",2,WiFi,4.109644413,6478033,8923181.34436605,4.7590300503,0.0118603706,14.9993138313,0,"['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:1.0', '<wifi_mac_address>']"
3,1495439420.53935,22/05/2017 15:50:20,3,2,0.6933612744,120000000,"[0.9820194521458518, 1.0]","[0.49860911246998507, 0.5013908875300149]",1,WiFi,0,9055792,9054179.462602,4.8288957134,0,15.0026714802,0,"['; gamma used= 0.6933612743506348', 'current gain: 8923181.344366048, prev block gain: [6640783.867598238]', 'flipped coin and will select greedily...', 'averageBytePerNet:[8923181.344366048, 6640783.867598238], numNetworkHighestAverageByte: 1', 'choosing greedily']"
4,1495439435.54202,22/05/2017 15:50:35,3,2,0.6933612744,120000000,"[1.0, 0.9710403061583247]","[0.5027184197789804, 0.49728158022101965]",1,WiFi,0,8809632,8808611.89358494,4.6979263432,0,15.0017371178,0,"['; gamma used= 0.6299605249474366', 'no selection ----- in the middle of a block']"
5,1495439450.54376,22/05/2017 15:50:50,4,2,0.6299605249,120000000,"[1.0, 0.9271595476841222]","[0.5069931528943593, 0.4930068471056407]",0,Cellular,2.965208292,9975688,12452904.4054315,6.6415490162,0.0222752094,14.9813063145,11584,"['; gamma used= 0.6299605249474366', 'flipped coin but will not select greedily...', 'choosing randomly', '']"
6,1495439465.54734,22/05/2017 15:51:05,4,2,0.6299605249,120000000,"[1.0, 0.986017417277963]","[0.5014615981437215, 0.4985384018562785]",0,Cellular,0,13147060,13144503.3694246,7.010401797,0,15.0029175282,0,"['; gamma used= 0.5848035476425733', 'current gain: 12452904.405431455, prev block gain: [9054179.462602004, 8808611.89358494]', 'no selection ----- in the middle of a block']"
7,1495439480.55026,22/05/2017 15:51:20,5,2,0.5848035476,120000000,"[0.9503876571296028, 1.0]","[0.49471928857895753, 0.5052807114210425]",1,Cellular,0,12482572,12477203.0863185,6.6545083127,0,15.0064544678,0,"['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[8928657.566850998, 10746063.880818108], numNetworkHighestAverageByte: 1', 'choosing greedily']"
8,1495439495.55671,22/05/2017 15:51:35,5,2,0.5848035476,120000000,"[0.8975325458800142, 1.0]","[0.48785859007457943, 0.5121414099254206]",1,Cellular,0,9857228,9854225.11475531,5.2555867279,0,15.004570961,0,"['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
9,1495439510.56128,22/05/2017 15:51:50,6,2,0.5503212081,120000000,"[0.857874490171388, 1.0]","[0.4828000147779016, 0.5171999852220983]",0,WiFi,4.2026610374,6541744,9090265.36111817,4.8481415259,0.008769989,14.997303009,11104,"['; gamma used= 0.5503212081491045', 'flipped coin but will not select greedily...', 'choosing randomly', '<wifi_mac_address>']"
10,1495439525.56736,22/05/2017 15:52:05,7,2,0.5503212081,120000000,"[0.8937880353051701, 1.0]","[0.4866170833509931, 0.5133829166490069]",-1,Cellular,4.0101835728,12177400,16620669.5494586,8.864357093,0.0023014545,15.0001740456,0,"['; gamma used= 0.5227579585747102', 'current gain: 9090265.361118173, prev block gain: [12477203.086318448, 9854225.114755312]', ' ----- switch back', '']"
11,1495439540.56983,22/05/2017 15:52:20,7,2,0.5227579586,120000000,"[0.8633690667206031, 1.0]","[0.481668830974014, 0.518331169025986]",-1,Cellular,0,11789324,11784658.0557072,6.285150963,0,15.0059390068,0,"['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
