"time slot","timestamp","date time","max gain","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","log"
1,1498650540.000108,"28/06/2017 19:49:00",41250000.0,2,5.206658601760864,631328,966984.1133277997,0.5157336234248701,0.0009183883666992188,14.99974513053894,0,"[0, 966984.1133277997, 0]","[0, 1, 0]","[]"
2,1498650555.0007715,"28/06/2017 19:49:15",41250000.0,3,5.305469512939453,6314784,9770714.883940397,5.211121655509302,0.007004499435424805,14.9997878074646,0,"[0, 966984.1133277997, 9770714.883940397]","[0, 1, 1]","[]"
3,1498650570.0075638,"28/06/2017 19:49:30",41250000.0,1,6.675616025924683,299736,540112.8998489281,0.288065579464639,0.00759577751159668,14.999720573425293,0,"[540112.8998489281, 966984.1133277997, 9770714.883940397]","[1, 1, 1]","[]"
4,1498650585.0148802,"28/06/2017 19:49:45",41250000.0,3,3.4777519702911377,2360240,3072649.5435378086,1.6387817178996116,0.007618904113769531,14.999676942825317,0,"[540112.8998489281, 966984.1133277997, 12843364.427478205]","[1, 1, 2]","['averageBytePerNet:[540112.8998489281, 966984.1133277997, 9770714.883940397], numNetworkHighestAverageByte: 1']"
5,1498650600.022176,"28/06/2017 19:50:00",41250000.0,3,0,2496352,2496352.0,1.3307375361157068,0,15.007328987121582,0,"[540112.8998489281, 966984.1133277997, 15339716.427478205]","[1, 1, 3]","['averageBytePerNet:[540112.8998489281, 966984.1133277997, 6421682.213739103], numNetworkHighestAverageByte: 1']"
6,1498650615.029505,"28/06/2017 19:50:15",41250000.0,3,0,3637376,3637376.0,1.939072858668204,0,15.006660461425781,0,"[540112.8998489281, 966984.1133277997, 18977092.427478205]","[1, 1, 4]","['averageBytePerNet:[540112.8998489281, 966984.1133277997, 5113238.809159402], numNetworkHighestAverageByte: 1']"
7,1498650630.0361655,"28/06/2017 19:50:30",41250000.0,3,0,2629568,2629568.0,1.400447090340327,0,15.021305799484253,0,"[540112.8998489281, 966984.1133277997, 21606660.427478205]","[1, 1, 5]","['averageBytePerNet:[540112.8998489281, 966984.1133277997, 4744273.106869551], numNetworkHighestAverageByte: 1']"
8,1498650645.0574713,"28/06/2017 19:50:45",41250000.0,3,0,3612760,3612760.0,1.9258309781782406,0,15.007589101791382,0,"[540112.8998489281, 966984.1133277997, 25219420.427478205]","[1, 1, 6]","['averageBytePerNet:[540112.8998489281, 966984.1133277997, 4321332.085495641], numNetworkHighestAverageByte: 1']"
9,1498650660.0650604,"28/06/2017 19:51:00",41250000.0,3,0,4029848,4029848.0,2.1483356620813807,0,15.006399869918823,0,"[540112.8998489281, 966984.1133277997, 29249268.427478205]","[1, 1, 7]","['averageBytePerNet:[540112.8998489281, 966984.1133277997, 4203236.737913034], numNetworkHighestAverageByte: 1']"
10,1498650675.0714602,"28/06/2017 19:51:15",41250000.0,3,0,4254352,4254352.0,2.2678712905002376,0,15.007384300231934,0,"[540112.8998489281, 966984.1133277997, 33503620.427478205]","[1, 1, 8]","['averageBytePerNet:[540112.8998489281, 966984.1133277997, 4178466.9182111723], numNetworkHighestAverageByte: 1']"
