"time slot","timestamp","date time","max gain","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","log"
1,1498562400.000104,"27/06/2017 19:20:00",41250000.0,3,5.0197203159332275,14362120,21585861.498713274,11.512580054763932,0.0008568763732910156,14.999842882156372,0,"[0, 0, 21585861.498713274]","[0, 0, 1]","[]"
2,1498562415.0008037,"27/06/2017 19:20:15",41250000.0,1,4.465321063995361,1885296,2684430.9823882286,1.431717846820537,0.007353782653808594,14.999776601791382,1480,"[2684430.9823882286, 0, 21585861.498713274]","[1, 0, 1]","[]"
3,1498562430.007934,"27/06/2017 19:20:30",41250000.0,2,4.6678431034088135,1099032,1595583.3507492011,0.8510163512335394,0.008653879165649414,14.999320268630981,5792,"[2684430.9823882286, 1595583.3507492011, 21585861.498713274]","[1, 1, 1]","[]"
4,1498562445.0159082,"27/06/2017 19:20:45",41250000.0,3,4.595920562744141,1478408,2131511.21092707,1.1368398596291038,0.007014751434326172,14.999552965164185,0,"[2684430.9823882286, 1595583.3507492011, 23717372.709640343]","[1, 1, 2]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 21585861.498713274], numNetworkHighestAverageByte: 1']"
5,1498562460.022476,"27/06/2017 19:21:00",41250000.0,3,0,2994464,2994464.0,1.5963445271756986,0,15.00660514831543,0,"[2684430.9823882286, 1595583.3507492011, 26711836.709640343]","[1, 1, 3]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 11858686.354820171], numNetworkHighestAverageByte: 1']"
6,1498562475.029081,"27/06/2017 19:21:15",41250000.0,3,0,3027768,3027768.0,1.6140940470808167,0,15.006649732589722,0,"[2684430.9823882286, 1595583.3507492011, 29739604.709640343]","[1, 1, 4]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 8903945.569880115], numNetworkHighestAverageByte: 1']"
7,1498562490.0357308,"27/06/2017 19:21:30",41250000.0,3,0,3344880,3344880.0,1.7820043747554588,0,15.01625943183899,0,"[2684430.9823882286, 1595583.3507492011, 33084484.709640343]","[1, 1, 5]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 7434901.177410086], numNetworkHighestAverageByte: 1']"
8,1498562505.0519903,"27/06/2017 19:21:45",41250000.0,3,0,3030664,3030664.0,1.6155558123302216,0,15.007412195205688,0,"[2684430.9823882286, 1595583.3507492011, 36115148.70964034]","[1, 1, 6]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 6616896.941928068], numNetworkHighestAverageByte: 1']"
9,1498562520.0594025,"27/06/2017 19:22:00",41250000.0,3,0,2177792,2177792.0,1.160902236307823,0,15.007582426071167,0,"[2684430.9823882286, 1595583.3507492011, 38292940.70964034]","[1, 1, 7]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 6019191.4516067235], numNetworkHighestAverageByte: 1']"
10,1498562535.066985,"27/06/2017 19:22:15",41250000.0,3,0,2577440,2577440.0,1.3740125730186712,0,15.006791353225708,0,"[2684430.9823882286, 1595583.3507492011, 40870380.70964034]","[1, 1, 8]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 5470420.101377191], numNetworkHighestAverageByte: 1']"
11,1498562550.0737762,"27/06/2017 19:22:30",41250000.0,3,0,1844752,1844752.0,0.9834391531334462,0,15.006536960601807,0,"[2684430.9823882286, 1595583.3507492011, 42715132.70964034]","[1, 1, 9]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 5108797.588705042], numNetworkHighestAverageByte: 1']"
12,1498562565.0803132,"27/06/2017 19:22:45",41250000.0,3,0,3087136,3087136.0,1.6457408059308958,0,15.006669282913208,0,"[2684430.9823882286, 1595583.3507492011, 45802268.70964034]","[1, 1, 10]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 4746125.856626704], numNetworkHighestAverageByte: 1']"
13,1498562580.0869825,"27/06/2017 19:23:00",41250000.0,3,0,1960592,1960592.0,1.0452230499438333,0,15.006113767623901,0,"[2684430.9823882286, 1595583.3507492011, 47762860.70964034]","[1, 1, 11]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 4580226.8709640335], numNetworkHighestAverageByte: 1']"
14,1498562595.0930963,"27/06/2017 19:23:15",41250000.0,3,0,3149720,3149720.0,1.6790910871443556,0,15.00678563117981,0,"[2684430.9823882286, 1595583.3507492011, 50912580.70964034]","[1, 1, 12]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 4342078.24633094], numNetworkHighestAverageByte: 1']"
15,1498562610.099882,"27/06/2017 19:23:30",41250000.0,3,0,2261456,2261456.0,1.2055538498072964,0,15.00691819190979,0,"[2684430.9823882286, 1595583.3507492011, 53174036.70964034]","[1, 1, 13]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 4242715.059136695], numNetworkHighestAverageByte: 1']"
16,1498562625.1068,"27/06/2017 19:23:45",41250000.0,3,0,3008944,3008944.0,1.604152817661597,0,15.005772352218628,0,"[2684430.9823882286, 1595583.3507492011, 56182980.70964034]","[1, 1, 14]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 4090310.51612618], numNetworkHighestAverageByte: 1']"
17,1498562640.1125724,"27/06/2017 19:24:00",41250000.0,3,0,3366600,3366600.0,1.7948486423190484,0,15.005610704421997,0,"[2684430.9823882286, 1595583.3507492011, 59549580.70964034]","[1, 1, 15]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 4013070.0506885955], numNetworkHighestAverageByte: 1']"
18,1498562655.1181831,"27/06/2017 19:24:15",41250000.0,3,0,2723688,2723688.0,1.4520833439225125,0,15.00568413734436,0,"[2684430.9823882286, 1595583.3507492011, 62273268.70964034]","[1, 1, 16]","['averageBytePerNet:[2684430.9823882286, 1595583.3507492011, 3969972.047309356], numNetworkHighestAverageByte: 1']"
