"Time slot","distance (%)"
1,5.36053511122293
2,4.9694160679803785
3,5.015225366548796
4,4.861030007436387
5,5.082027139292427
6,4.61175094916236
7,5.049241579380358
8,5.106729373061796
9,5.085119214039399
10,4.70395289190838
11,5.586657738894209
12,5.19622867608173
13,4.938414224642036
14,5.24999024058049
15,5.135019679833484
16,5.491529626629629
17,4.732911960004262
18,5.012952858581037
19,5.011046203647452
20,5.1939390182949285
21,5.10822041138637
22,4.783499985076555
23,5.341887055304241
24,4.660545748298468
25,4.658835149547906
26,4.2914032605928565
27,4.896078669158857
28,5.183152363312929
29,5.018895065038191
30,4.485964093145064
31,4.997488471388857
32,4.68123259125044
33,4.141490842491203
34,4.529256963511486
35,5.179131065715206
36,4.222752557494791
37,4.623623830152956
38,5.056745312127617
39,5.117751614407623
40,5.046823147721892
41,4.849852749757604
42,5.0762263714006615
43,5.38569585049066
44,4.778146085163615
45,5.082693499907006
46,4.556551437853857
47,4.993365270114468
48,5.077587815452132
49,5.160027760696957
50,5.262780759988935
51,4.873583742062639
52,5.650857151118434
53,4.801922240240716
54,4.844654975540134
55,5.129814619423744
56,4.812301719114027
57,5.181837362599421
58,5.139086001082382
59,5.2461197310010705
60,5.159943174350699
61,4.748170560753687
62,4.8503892891972376
63,5.1051805902824
64,5.10835924430137
65,4.694103898341204
66,5.143084464127434
67,5.108964299898321
68,5.045326934346128
69,5.25931573873371
70,5.130377465241166
71,5.319794739793223
72,4.87868733900636
73,4.712411685605257
74,4.581343369491864
75,5.1415456147163425
76,5.0590258051054375
77,4.7784477042202465
78,5.4224110155423215
79,5.543818909600176
80,4.71194384939535
81,5.2415872545635
82,5.146814295209461
83,5.321738893397863
84,5.206363440117013
85,5.251936245871382
86,5.352468044847369
87,4.8047694107127725
88,4.908241108393743
89,4.8832325071722895
90,5.0308875877285395
91,5.193700051836844
92,5.084229459525071
93,4.800246990464583
94,4.756809679351911
95,5.239617166930999
96,4.806828559560695
97,4.855260699403474
98,5.192532343838261
99,4.647029066821358
100,5.328858432561235
101,5.141949519304636
102,4.651405409651224
103,5.242525334994008
104,4.755484370621426
105,5.345237286479455
106,5.092586185385132
107,5.205396623728216
108,5.202106745863235
109,5.131566902434309
110,5.242233896730188
111,5.433204815451385
112,5.183453969555216
113,5.126086287239364
114,5.151510491101357
115,5.14524860752244
116,5.179776209334183
117,4.947705647439155
118,5.171007988847468
119,5.160211619181362
120,5.059306392430374
121,5.179804794471682
122,4.689035413793471
123,5.0582595177464516
124,5.214195833058275
125,4.991149631079115
126,5.146710254067324
127,5.148258795212568
128,5.118959056941076
129,5.028996326454672
130,5.005409646593056
131,5.1610109053471716
132,5.125091413522567
133,5.06288981753212
134,5.182475976107554
135,5.178954608100279
136,5.057117141129098
137,5.182865665943921
138,5.1080335325000545
139,5.066503642504457
140,4.974010954830142
141,5.004388536037363
142,5.087886818685639
143,5.276230399227385
144,5.2348329219949585
145,5.1642858393192785
146,5.099304340452937
147,4.692035033796027
148,5.081530358082823
149,5.098322656590382
150,5.137868930964021
151,5.071760184502773
152,4.664623400500345
153,5.420816666765521
154,4.801381001088316
155,5.015987682584781
156,5.088747445004717
157,5.025464973154415
158,5.2532374948254175
159,5.179857780881989
160,4.827842613721428
161,5.105676474680513
162,5.105254450514434
163,5.085634204518678
164,5.1305986518266895
165,5.070759292982239
166,5.058371451973338
167,5.2313693620310096
168,5.102074339960071
169,5.1268051371311145
170,5.07964583904727
171,5.071972426788384
172,5.089702041354366
173,5.004809658151367
174,5.109023163588434
175,5.062308595323455
176,4.792168153371003
177,4.891331381174405
178,5.042318581719068
179,4.776349086425335
180,5.068658147276491
181,5.0919964679008185
182,5.135556992705298
183,5.192364483212354
184,5.061368986761061
185,5.084996922190068
186,5.108168353683736
187,5.07707714086766
188,5.100637370288817
189,5.09135161825317
190,5.175755510636318
191,5.249698335235836
192,5.041483394937305
193,5.021148893225344
194,5.100906290341991
195,4.9582986878317055
196,5.101557261240887
197,5.126253187448382
198,5.285670839473277
199,5.181259863648376
200,5.156428241809919
201,5.092665080363249
202,5.128220088125403
203,5.1740349152484635
204,5.133794409651118
205,5.115948824554346
206,5.126902414119581
207,5.211450819839293
208,5.092477303152492
209,5.015498186689862
210,5.069751423263073
211,4.865225409788844
212,5.083204136679253
213,4.999676560148613
214,5.179483928058521
215,5.145652895225904
216,5.12982768624307
217,5.184429848990332
218,5.180939467440359
219,5.161531874378345
220,5.1874959708954
221,5.167768425538647
222,5.2791114899256115
223,5.2373809847768475
224,5.068794640032719
225,5.138382770201067
226,5.1628159810631775
227,5.1524288277370065
228,5.138844391873475
229,5.0589092759466245
230,5.211288676755106
231,5.2899075701383165
232,5.275479915872025
233,5.094493492030969
234,5.246109449857293
235,5.202447100917657
236,5.209342514760332
237,5.106714201513322
238,5.275504752813597
239,5.296432008692733
240,5.171046106761802
241,5.125338298294046
242,5.13392712521963
243,5.078162400189385
244,5.163712234438434
245,5.027971518790054
246,5.241503634969603
247,5.245345219123844
248,4.7634097970075775
249,5.100083901425867
250,5.065631914121644
251,5.137809900113104
252,5.168411873821066
253,5.083397916217371
254,5.219251704850155
255,5.186712615942331
256,5.153698735424571
257,5.0946729008830065
258,5.132082836697171
259,5.123085158816666
260,5.09179110700686
261,5.120875919878442
262,5.242028003843837
263,5.2930659788888565
264,5.131826169038073
265,5.108508839572195
266,5.0867932772231015
267,5.126978502432273
268,5.073687561765616
269,5.10368111074383
270,5.20292008154585
271,5.187068883614265
272,5.112897000228289
273,5.135944898507504
274,5.093506036139659
275,5.24016584596946
276,5.217390178146325
277,5.278274166834171
278,5.2829975938705696
279,5.253747356643479
280,5.1227981935513265
281,5.135254707617234
282,5.210288013169556
283,4.823328811475241
284,4.816062311068706
285,5.172860060623756
286,5.243143984340735
287,5.2211237533600485
288,5.18268466748676
289,5.088775112777211
290,5.127928176459735
291,5.087578209891066
292,5.0912276408852275
293,5.1468138029236465
294,5.175673426405828
295,5.29639213034155
296,5.139234076782349
297,5.110386519479434
298,5.189260549577661
299,5.198166973159735
300,5.133280078928493
301,5.396238485235821
302,5.254312278120797
303,5.2587862601930855
304,5.2784147466495694
305,4.823869649319912
306,5.1810207500503065
