"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498475700.0001118,"26/06/2017 19:15:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,2,2.9262678623199463,1000568,1243087.1879967835,0.6630129554975576,0.0013842582702636719,14.999250650405884,0,"[0, 1243087.1879967835, 0]","[0, 1, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498475715.0007467,"26/06/2017 19:15:15",2,1,0.7937005259840998,41250000.0,"[0.9763652606410712, 1.0, 0.9763652606410712]","[0.33278290108504577, 0.33443419782990846, 0.33278290108504577]",2,1,4.286812782287598,2367480,3314998.6206820104,1.7682481952036735,0.010222911834716797,14.997888326644897,0,"[3314998.6206820104, 1243087.1879967835, 0]","[1, 1, 0]","[1243087.1879967835]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498475730.008858,"26/06/2017 19:15:30",3,1,0.6933612743506348,41250000.0,"[1.0, 0.9868582962968809, 0.9635341576797076]","[0.33505192895888686, 0.33368609192559506, 0.331261979115518]",2,3,5.442012071609497,2195048,3445024.2669935008,1.8375207559932005,0.008486747741699219,14.998575687408447,4344,"[3314998.6206820104, 1243087.1879967835, 3445024.2669935008]","[1, 1, 1]","[3314998.6206820104]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498475745.0159204,"26/06/2017 19:15:45",4,2,0.6299605249474366,41250000.0,"[1.0, 0.9868582962968809, 0.98058089427793]","[0.3346867769428101, 0.3330480073413827, 0.33226521571580714]",0,1,4.284599304199219,1459584,2043491.9543211758,1.0902451554784196,0.014105796813964844,14.994733572006226,0,"[5358490.575003186, 1243087.1879967835, 3445024.2669935008]","[2, 1, 1]","[3445024.2669935008]","['; gamma used= 0.6299605249474366', 'current gain: 3445024.2669935008, prev block gain: [3314998.6206820104]', 'flipped coin but will not select greedily...', 'choosing randomly']"
5,1498475760.0247598,"26/06/2017 19:16:00",5,2,0.6299605249474366,41250000.0,"[1.0, 0.958790807191642, 0.9526919423683932]","[0.3375410459797116, 0.33166434598513694, 0.3307946080351515]",-1,3,4.856198072433472,3175656,4696170.186328006,2.5048635391695493,0.009180545806884766,14.998566150665283,0,"[5358490.575003186, 1243087.1879967835, 8141194.453321507]","[2, 1, 2]","[2043491.9543211758]","['; gamma used= 0.5848035476425733', 'current gain: 2043491.9543211758, prev block gain: [3445024.2669935008]', ' ----- switch back']"
6,1498475775.0325065,"26/06/2017 19:16:15",5,2,0.5848035476425733,41250000.0,"[1.0, 0.958790807191642, 0.9727972243719492]","[0.3368312567549743, 0.3305101434758587, 0.332658599769167]",-1,3,0,2832096,2832096.0,1.5096226833317954,0,15.008232355117798,0,"[5358490.575003186, 1243087.1879967835, 10973290.453321507]","[2, 1, 3]","[2043491.9543211758]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
7,1498475790.0407388,"26/06/2017 19:16:30",6,2,0.5503212081491045,41250000.0,"[1.0, 0.958790807191642, 0.9851265423919969]","[0.33618884584589215, 0.32989420580179113, 0.3339169483523168]",1,3,0,2668664,2668664.0,1.4226502261610756,0,15.006718873977661,0,"[5358490.575003186, 1243087.1879967835, 13641954.453321507]","[2, 1, 4]","[4696170.186328006, 2832096.0]","['; gamma used= 0.5503212081491045', 'flipped coin and will select greedily...', 'averageBytePerNet:[2679245.287501593, 1243087.1879967835, 3657763.4844405022], numNetworkHighestAverageByte: 1', 'choosing greedily']"
8,1498475805.0474577,"26/06/2017 19:16:45",6,2,0.5503212081491045,41250000.0,"[0.9924671809758459, 0.9515684095590446, 1.0]","[0.33513625936737546, 0.32850637580703634, 0.3363573648255882]",1,3,0,4270152,4270152.0,2.276433950788172,0,15.006460428237915,0,"[5358490.575003186, 1243087.1879967835, 17912106.45332151]","[2, 1, 5]","[4696170.186328006, 2832096.0]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
9,1498475820.0539181,"26/06/2017 19:17:00",7,2,0.5227579585747102,41250000.0,"[0.9573002482481533, 0.9178506777426061, 1.0]","[0.33315350241049213, 0.3266053266638813, 0.34024117092562656]",0,1,4.646651983261108,1177224,1705887.7060873806,0.9101842926766459,0.013373374938964844,14.993778467178345,0,"[7064378.281090567, 1243087.1879967835, 17912106.45332151]","[3, 1, 5]","[2668664.0, 4270152.0]","['; gamma used= 0.5227579585747102', 'flipped coin but will not select greedily...', 'choosing randomly']"
10,1498475835.06107,"26/06/2017 19:17:15",8,2,0.5227579585747102,41250000.0,"[0.9773117296374662, 0.9178506777426061, 1.0]","[0.3354502428740318, 0.3251812072331835, 0.33936854989278464]",-1,3,4.673075437545776,2222680,3228600.080339329,1.7220694915511516,0.009603738784790039,14.998698234558105,4344,"[7064378.281090567, 1243087.1879967835, 21140706.533660837]","[3, 1, 6]","[1705887.7060873806]","['; gamma used= 0.5', 'current gain: 1705887.7060873806, prev block gain: [2668664.0, 4270152.0]', ' ----- switch back']"
11,1498475850.069372,"26/06/2017 19:17:30",8,2,0.5,41250000.0,"[0.9651302351756494, 0.9064103229319217, 1.0]","[0.33477091154997185, 0.3241528052665791, 0.341076283183449]",-1,3,0,2752648,2752648.0,1.4673117931544586,0,15.007842302322388,0,"[7064378.281090567, 1243087.1879967835, 23893354.533660837]","[3, 1, 7]","[1705887.7060873806]","['; gamma used= 0.4807498567691362', 'no selection ----- in the middle of a block']"
12,1498475865.0772142,"26/06/2017 19:17:45",9,2,0.4807498567691362,41250000.0,"[0.954864488675877, 0.8967691592206818, 1.0]","[0.3341199452958914, 0.3235414447360787, 0.34233860996802995]",0,3,0,2816360,2816360.0,1.501401877801246,0,15.006561756134033,0,"[7064378.281090567, 1243087.1879967835, 26709714.533660837]","[3, 1, 8]","[3228600.080339329, 2752648.0]","['; gamma used= 0.4807498567691362', 'flipped coin but will not select greedily...', 'choosing randomly']"
13,1498475880.083776,"26/06/2017 19:18:00",9,2,0.4807498567691362,41250000.0,"[0.9258501816410111, 0.8695201243747965, 1.0]","[0.3321947172602215, 0.321396877445978, 0.3464084052938005]",0,3,0,2402232,2402232.0,1.280610899923693,0,15.006787776947021,0,"[7064378.281090567, 1243087.1879967835, 29111946.533660837]","[3, 1, 9]","[3228600.080339329, 2752648.0]","['; gamma used= 0.4641588833612779', 'no selection ----- in the middle of a block']"
14,1498475895.0905638,"26/06/2017 19:18:15",10,2,0.4641588833612779,41250000.0,"[0.9017999906002205, 0.8469331815629904, 1.0]","[0.3305175258303295, 0.31982172875600834, 0.34966074541366216]",1,3,0,2641152,2641152.0,1.4075791179269321,0,15.011032581329346,0,"[7064378.281090567, 1243087.1879967835, 31753098.533660837]","[3, 1, 10]","[2816360.0, 2402232.0]","['; gamma used= 0.4641588833612779', 'flipped coin and will select greedily...', 'averageBytePerNet:[2354792.7603635225, 1243087.1879967835, 3234660.725962315], numNetworkHighestAverageByte: 1', 'choosing greedily']"
15,1498475910.1015964,"26/06/2017 19:18:30",10,2,0.4641588833612779,41250000.0,"[0.8846566113881387, 0.830832830209953, 1.0]","[0.3291772175219342, 0.3182686042854901, 0.35255417819257573]",1,3,0,2085120,2085120.0,1.111625389467428,0,15.005918502807617,0,"[7064378.281090567, 1243087.1879967835, 33838218.53366084]","[3, 1, 11]","[2816360.0, 2402232.0]","['; gamma used= 0.4496443130226092', 'no selection ----- in the middle of a block']"
16,1498475925.1075149,"26/06/2017 19:18:45",11,2,0.4496443130226092,41250000.0,"[0.8713528789863844, 0.8183385160303963, 1.0]","[0.32817475905774673, 0.31732713683671143, 0.3544981041055418]",0,1,4.913934707641602,435848,648266.6506171982,0.3458225039691609,0.009834051132202148,14.996517419815063,0,"[7712644.931707765, 1243087.1879967835, 33838218.53366084]","[4, 1, 11]","[2641152.0, 2085120.0]","['; gamma used= 0.4496443130226092', 'flipped coin but will not select greedily...', 'choosing randomly']"
17,1498475940.1138663,"26/06/2017 19:19:00",12,2,0.4496443130226092,41250000.0,"[0.8774494436151965, 0.8183385160303963, 1.0]","[0.32891535250176007, 0.3165657714932021, 0.35451887600503784]",-1,3,4.810845375061035,1114960,1641495.9828142659,0.8755816356830395,0.010641336441040039,14.99799370765686,0,"[7712644.931707765, 1243087.1879967835, 35479714.516475104]","[4, 1, 12]","[648266.6506171982]","['; gamma used= 0.43679023236814946', 'current gain: 648266.6506171982, prev block gain: [2641152.0, 2085120.0]', ' ----- switch back']"
18,1498475955.1225014,"26/06/2017 19:19:15",12,2,0.43679023236814946,41250000.0,"[0.8725134129488764, 0.813735009765791, 1.0]","[0.3284334074025038, 0.3158580573183257, 0.3557085352791704]",-1,3,0,1773800,1773800.0,0.9455233859134122,0,15.007984161376953,0,"[7712644.931707765, 1243087.1879967835, 37253514.516475104]","[4, 1, 13]","[648266.6506171982]","['; gamma used= 0.42529037028299016', 'no selection ----- in the middle of a block']"
19,1498475970.1304855,"26/06/2017 19:19:30",13,2,0.42529037028299016,41250000.0,"[0.8672107497088337, 0.808789569776694, 1.0]","[0.3280094617493641, 0.31546267151098106, 0.35652786673965475]",0,3,0,2651288,2651288.0,1.4133563450971127,0,15.007046222686768,0,"[7712644.931707765, 1243087.1879967835, 39904802.516475104]","[4, 1, 14]","[1641495.9828142659, 1773800.0]","['; gamma used= 0.42529037028299016', 'flipped coin but will not select greedily...', 'choosing randomly']"
20,1498475985.1375318,"26/06/2017 19:19:45",13,2,0.42529037028299016,41250000.0,"[0.8458558617804642, 0.7888732914948411, 1.0]","[0.32614120325350715, 0.3134872475848689, 0.36037154916162406]",0,3,0,2096704,2096704.0,1.1177776789354525,0,15.006232738494873,0,"[7712644.931707765, 1243087.1879967835, 42001506.516475104]","[4, 1, 15]","[1641495.9828142659, 1773800.0]","['; gamma used= 0.41491326668312173', 'no selection ----- in the middle of a block']"
21,1498476000.1437645,"26/06/2017 19:20:00",14,2,0.41491326668312173,41250000.0,"[0.829340902153854, 0.7734708912181262, 1.0]","[0.3247321771975127, 0.3121731430514385, 0.363094679751049]",0,2,3.4909937381744385,1169984,1525015.171533052,0.8135933734873102,0.011733293533325195,14.995354890823364,0,"[7712644.931707765, 2768102.3595298356, 42001506.516475104]","[4, 2, 15]","[2651288.0, 2096704.0]","['; gamma used= 0.41491326668312173', 'flipped coin but will not select greedily...', 'choosing randomly']"
22,1498476015.1508527,"26/06/2017 19:20:15",15,3,0.41491326668312173,41250000.0,"[0.829340902153854, 0.7859512603522799, 1.0]","[0.3236895133985833, 0.3138259866992674, 0.36248449990214915]",-1,3,4.967318296432495,999120,1493890.5241561963,0.796841264650245,0.010046243667602539,14.998124122619629,0,"[7712644.931707765, 2768102.3595298356, 43495397.0406313]","[4, 2, 16]","[1525015.171533052]","['; gamma used= 0.4054801330382267', 'current gain: 1525015.171533052, prev block gain: [2651288.0, 2096704.0]', ' ----- switch back']"
23,1498476030.159023,"26/06/2017 19:20:30",15,3,0.4054801330382267,41250000.0,"[0.8253772690477694, 0.7821949974847295, 1.0]","[0.323198966904924, 0.31321060490593405, 0.363590428189142]",-1,3,0,2888760,2888760.0,1.5398278116137476,0,15.008223533630371,0,"[7712644.931707765, 2768102.3595298356, 46384157.0406313]","[4, 2, 17]","[1525015.171533052]","['; gamma used= 0.3968502629920499', 'no selection ----- in the middle of a block']"
24,1498476045.1672466,"26/06/2017 19:20:45",15,3,0.4054801330382267,41250000.0,"[0.8177663805770821, 0.7749822971700553, 1.0]","[0.3225199763612841, 0.3125671379405943, 0.36491288569812164]",-1,3,0,1708640,1708640.0,0.9108519785899017,0,15.00696086883545,0,"[7712644.931707765, 2768102.3595298356, 48092797.0406313]","[4, 2, 18]","[1525015.171533052]","['; gamma used= 0.3968502629920499', 'no selection ----- in the middle of a block']"
25,1498476060.1742074,"26/06/2017 19:21:00",16,3,0.3968502629920499,41250000.0,"[0.8132977752845034, 0.7707474813631925, 1.0]","[0.3221176888028533, 0.3121858973521323, 0.3656964138450145]",1,3,0,2467392,2467392.0,1.3153863649522162,0,15.006340742111206,0,"[7712644.931707765, 2768102.3595298356, 50560189.0406313]","[4, 2, 19]","[1493890.5241561963, 2888760.0, 1708640.0]","['; gamma used= 0.3968502629920499', 'flipped coin and will select greedily...', 'averageBytePerNet:[1928161.2329269412, 1384051.1797649178, 2671822.05781285], numNetworkHighestAverageByte: 1', 'choosing greedily']"
26,1498476075.1805482,"26/06/2017 19:21:15",16,3,0.3968502629920499,41250000.0,"[0.8007819474239102, 0.7588864593686924, 1.0]","[0.3208137338289573, 0.3108117090128265, 0.3683745571582163]",1,3,0,2276256,2276256.0,1.213520006766359,0,15.005972623825073,0,"[7712644.931707765, 2768102.3595298356, 52836445.0406313]","[4, 2, 20]","[1493890.5241561963, 2888760.0, 1708640.0]","['; gamma used= 0.3889111187328203', 'no selection ----- in the middle of a block']"
27,1498476090.1865208,"26/06/2017 19:21:30",17,1,0.3889111187328203,41250000.0,"[0.7894065272072771, 0.7481061809173578, 1.0]","[0.31974349698826676, 0.309797465061236, 0.3704590379504973]",2,1,4.749740123748779,1342296,1964511.3628388462,1.0479990005815418,0.009699583053588867,14.996284246444702,0,"[1964511.3628388462, 0, 0]","[1, 0, 0]","[2467392.0, 2276256.0]","['; gamma used= 0.3889111187328203', 'ALGORITHM RESET DUE TO NETWORK QUALITY DROP', 'exploring after a reset', 'prob current block:0.3333333333333333']"
28,1498476105.1925046,"26/06/2017 19:21:45",18,1,0.38157141418444396,41250000.0,"[0.8038828795788813, 0.7481061809173578, 1.0]","[0.32199700880318183, 0.30848053045746393, 0.3695224607393542]",2,2,3.3620781898498535,3258000,4199287.558872293,2.2397755333925278,0.008348464965820312,14.998958587646484,0,"[1964511.3628388462, 4199287.558872293, 0]","[1, 1, 0]","[1964511.3628388462]","['; gamma used= 0.38157141418444396', 'exploring after a reset', 'prob current block:0.5']"
29,1498476120.1998117,"26/06/2017 19:22:00",19,1,0.3747561767843155,41250000.0,"[0.8038828795788813, 0.7673773030977444, 1.0]","[0.32039595051034386, 0.31151902457280667, 0.3680850249168495]",2,3,4.79608154296875,3066864,4508527.870906499,2.4047362130780066,0.009179353713989258,14.9988272190094,0,"[1964511.3628388462, 4199287.558872293, 4508527.870906499]","[1, 1, 1]","[4199287.558872293]","['; gamma used= 0.3747561767843155', 'exploring after a reset', 'prob current block:1.0']"
30,1498476135.2078183,"26/06/2017 19:22:15",20,2,0.36840314986403866,41250000.0,"[0.7931653570717825, 0.7571464800185227, 1.0]","[0.3192322211855113, 0.3103119750566189, 0.3704558037578698]",1,3,0,3308680,3308680.0,1.7638423762998146,0,15.00669240951538,0,"[1964511.3628388462, 4199287.558872293, 7817207.870906499]","[1, 1, 2]","[4508527.870906499]","['; gamma used= 0.36840314986403866', 'current gain: 4508527.870906499, prev block gain: [4199287.558872293]', 'flipped coin and will select greedily...', 'averageBytePerNet:[1964511.3628388462, 4199287.558872293, 4508527.870906499], numNetworkHighestAverageByte: 1', 'choosing greedily']"
