"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498746720.000125,"29/06/2017 22:32:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,3,4.753439426422119,7637640,11181114.547692558,5.963638923001413,0.0017745494842529297,14.999049663543701,0,"[0, 0, 11181114.547692558]","[0, 0, 1]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498746735.0009491,"29/06/2017 22:32:15",2,1,0.7937005259840998,41250000.0,"[0.8064298714877343, 0.8064298714877343, 1.0]","[0.32823886218862564, 0.32823886218862564, 0.34352227562274873]",2,2,4.074490785598755,6077664,8345412.73342497,4.452578450176507,0.017708301544189453,14.994301080703735,1480,"[0, 8345412.73342497, 11181114.547692558]","[0, 1, 1]","[11181114.547692558]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498746750.0129585,"29/06/2017 22:32:30",3,1,0.6933612743506348,41250000.0,"[0.8064298714877343, 0.885483912422139, 1.0]","[0.32298169820048706, 0.3319868270105003, 0.3450314747890126]",2,1,4.4148032665252686,508248,720275.5426113714,0.3842119882786996,0.014721155166625977,14.997461080551147,4440,"[720275.5426113714, 8345412.73342497, 11181114.547692558]","[1, 1, 1]","[8345412.73342497]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498746765.0251408,"29/06/2017 22:32:45",4,2,0.6299605249474366,41250000.0,"[0.8093921769858463, 0.885483912422139, 1.0]","[0.3211262953185312, 0.33157462203282917, 0.3472990826486396]",-1,2,4.420316934585571,5781864,8198077.933980071,4.372924330515869,0.012382984161376953,14.997886657714844,0,"[720275.5426113714, 16543490.667405041, 11181114.547692558]","[1, 2, 1]","[720275.5426113714]","['; gamma used= 0.6299605249474366', 'current gain: 720275.5426113714, prev block gain: [8345412.73342497]', ' ----- switch back']"
5,1498746780.0354104,"29/06/2017 22:33:00",4,2,0.6299605249474366,41250000.0,"[0.8093921769858463, 0.9204620986685085, 1.0]","[0.3180388015005815, 0.33493195138683485, 0.3470292471125836]",-1,2,0,4610432,4610432.0,2.457096263979148,0,15.010993480682373,0,"[720275.5426113714, 21153922.66740504, 11181114.547692558]","[1, 3, 1]","[720275.5426113714]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498746795.046404,"29/06/2017 22:33:15",5,2,0.5848035476425733,41250000.0,"[0.8093921769858463, 0.9407366847679753, 1.0]","[0.31713124823181627, 0.33696078219517933, 0.34590796957300446]",1,3,4.203904867172241,4730616,6573060.972240417,3.506159212360557,0.011036872863769531,14.997746706008911,0,"[720275.5426113714, 21153922.66740504, 17754175.519932974]","[1, 3, 2]","[8198077.933980071, 4610432.0]","['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[720275.5426113714, 7051307.555801679, 11181114.547692558], numNetworkHighestAverageByte: 1', 'choosing greedily']"
7,1498746810.0551875,"29/06/2017 22:33:30",5,2,0.5848035476425733,41250000.0,"[0.7634306098120243, 0.8873166820063252, 1.0]","[0.3129505055246856, 0.3339668202233497, 0.3530826742519647]",1,3,0,5971552,5971552.0,3.1825124222816426,0,15.010912656784058,0,"[720275.5426113714, 21153922.66740504, 23725727.519932974]","[1, 3, 3]","[8198077.933980071, 4610432.0]","['; gamma used= 0.5503212081491045', 'current gain: 6573060.972240417, prev block gain: [8198077.933980071, 4610432.0]', 'no selection ----- in the middle of a block']"
8,1498746825.0661001,"29/06/2017 22:33:45",6,2,0.5503212081491045,41250000.0,"[0.72394163478418, 0.8414196144180018, 1.0]","[0.31033917761661056, 0.33093173781344454, 0.35872908456994496]",0,1,4.260778903961182,5160672,7209733.556806335,3.847299478320931,0.019204378128051758,14.991780281066895,11840,"[7930009.099417707, 21153922.66740504, 23725727.519932974]","[2, 3, 3]","[6573060.972240417, 5971552.0]","['; gamma used= 0.5503212081491045', 'flipped coin but will not select greedily...', 'choosing randomly']"
9,1498746840.0770848,"29/06/2017 22:34:00",6,2,0.5503212081491045,41250000.0,"[0.7985910336175127, 0.8414196144180018, 1.0]","[0.31861616723692077, 0.3263584084842366, 0.35502542427884265]",0,1,0,6287216,6287216.0,3.350666891712898,0,15.011258840560913,0,"[14217225.099417707, 21153922.66740504, 23725727.519932974]","[3, 3, 3]","[6573060.972240417, 5971552.0]","['; gamma used= 0.5227579585747102', 'current gain: 7209733.556806335, prev block gain: [6573060.972240417, 5971552.0]', 'no selection ----- in the middle of a block']"
10,1498746855.0883436,"29/06/2017 22:34:15",7,2,0.5227579585747102,41250000.0,"[0.8699449556875115, 0.8414196144180018, 1.0]","[0.3273764013786301, 0.3223555007406595, 0.35026809788071034]",0,1,0,5899152,5899152.0,3.1440820662812845,0,15.010173082351685,0,"[20116377.09941771, 21153922.66740504, 23725727.519932974]","[4, 3, 3]","[7209733.556806335, 6287216.0]","['; gamma used= 0.5227579585747102', 'flipped coin but will not select greedily...', 'choosing randomly']"
11,1498746870.0985167,"29/06/2017 22:34:30",7,2,0.5227579585747102,41250000.0,"[0.9356447966911804, 0.8414196144180018, 1.0]","[0.3351259924475686, 0.3181611028511576, 0.3467129047012738]",0,1,0,7170488,7170488.0,3.8215199173568797,0,15.010756254196167,0,"[27286865.09941771, 21153922.66740504, 23725727.519932974]","[5, 3, 3]","[7209733.556806335, 6287216.0]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
