"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
13,1498746900.115797,"29/06/2017 22:35:00",9,2,0.4807498567691362,41250000.0,"[0.648619905869349, 0.6378798112347254, 1.0]","[0.30754757775165403, 0.30510856775063616, 0.3873438544977098]",1,3,0,3877744,3877744.0,2.066768287265954,0,15.009883880615234,0,"[4661997.366883228, 2232811.039731577, 73277601.26455963]","[2, 1, 10]","[5460376.0, 4624912.0]","['; gamma used= 0.4807498567691362', 'flipped coin and will select greedily...', 'averageBytePerNet:[2330998.683441614, 2232811.039731577, 7711095.251617736], numNetworkHighestAverageByte: 1', 'choosing greedily']"
14,1498746915.125681,"29/06/2017 22:35:15",9,2,0.4807498567691362,41250000.0,"[0.6300239052552246, 0.6195917302583023, 1.0]","[0.30478646923842556, 0.3023016055083398, 0.39291192525323465]",1,3,0,3863264,3863264.0,2.059119358467369,0,15.0093834400177,0,"[4661997.366883228, 2232811.039731577, 77140865.26455963]","[2, 1, 11]","[5460376.0, 4624912.0]","['; gamma used= 0.4641588833612779', 'no selection ----- in the middle of a block']"
15,1498746930.1350644,"29/06/2017 22:35:30",10,2,0.4641588833612779,41250000.0,"[0.6120275303097655, 0.6018933461210891, 1.0]","[0.3028502672991622, 0.3003974639358201, 0.39675226876501757]",0,2,3.8866100311279297,2655632,3584767.93218637,1.9124860477277696,0.01416635513305664,14.995217084884644,0,"[4661997.366883228, 5817578.971917947, 77140865.26455963]","[2, 2, 11]","[3877744.0, 3863264.0]","['; gamma used= 0.4641588833612779', 'flipped coin but will not select greedily...', 'choosing randomly']"
16,1498746945.1444478,"29/06/2017 22:35:45",11,2,0.4641588833612779,41250000.0,"[0.6120275303097655, 0.6285654783722822, 1.0]","[0.3002134393306919, 0.304275646849806, 0.3955109138195021]",-1,3,5.01407527923584,7867040,11818060.982098471,6.303887775216041,0.013644695281982422,14.997806310653687,2960,"[4661997.366883228, 5817578.971917947, 88958926.2466581]","[2, 2, 12]","[3584767.93218637]","['; gamma used= 0.4496443130226092', 'current gain: 3584767.93218637, prev block gain: [3877744.0, 3863264.0]', ' ----- switch back']"
17,1498746960.1558988,"29/06/2017 22:36:00",11,2,0.4496443130226092,41250000.0,"[0.5870230135550359, 0.6028853001825045, 1.0]","[0.2965697748130346, 0.30064930394652556, 0.40278092124043985]",-1,3,0,9066088,9066088.0,4.831182230837998,0,15.012620210647583,0,"[4661997.366883228, 5817578.971917947, 98025014.2466581]","[2, 2, 13]","[3584767.93218637]","['; gamma used= 0.43679023236814946', 'no selection ----- in the middle of a block']"
18,1498746975.168519,"29/06/2017 22:36:15",12,2,0.43679023236814946,41250000.0,"[0.5685357503897067, 0.5838984820414513, 1.0]","[0.29436081925346624, 0.2983806589277297, 0.40725852181880406]",1,3,0,10991608,10991608.0,5.85760425235062,0,15.01174545288086,0,"[4661997.366883228, 5817578.971917947, 109016622.2466581]","[2, 2, 14]","[11818060.982098471, 9066088.0]","['; gamma used= 0.43679023236814946', 'flipped coin and will select greedily...', 'averageBytePerNet:[2330998.683441614, 2908789.4859589734, 7540385.711281393], numNetworkHighestAverageByte: 1', 'choosing greedily']"
19,1498746990.1802645,"29/06/2017 22:36:30",12,2,0.43679023236814946,41250000.0,"[0.5271655844311097, 0.5414104290237303, 1.0]","[0.28822514627945556, 0.29218277186727637, 0.41959208185326796]",1,3,0,10224520,10224520.0,5.449284504321349,0,15.010440349578857,0,"[4661997.366883228, 5817578.971917947, 119241142.2466581]","[2, 2, 15]","[11818060.982098471, 9066088.0]","['; gamma used= 0.42529037028299016', 'no selection ----- in the middle of a block']"
20,1498747005.1907048,"29/06/2017 22:36:45",13,3,0.42529037028299016,41250000.0,"[0.49138979501895785, 0.5046679214201693, 1.0]","[0.2832455616200999, 0.2870686309855436, 0.4296858073943565]",1,3,0,9959152,9959152.0,5.307266629222726,0,15.012099742889404,0,"[4661997.366883228, 5817578.971917947, 129200294.2466581]","[2, 2, 16]","[10991608.0, 10224520.0]","['; gamma used= 0.42529037028299016', 'flipped coin and will select greedily...', 'averageBytePerNet:[2330998.683441614, 2908789.4859589734, 7949409.483110541], numNetworkHighestAverageByte: 1', 'choosing greedily']"
21,1498747020.2028046,"29/06/2017 22:37:00",13,3,0.42529037028299016,41250000.0,"[0.45964521323215635, 0.4720655510227954, 1.0]","[0.2775241860097183, 0.2812861233551469, 0.4411896906351349]",1,3,0,7103888,7103888.0,3.7862025333561404,0,15.010053873062134,0,"[4661997.366883228, 5817578.971917947, 136304182.2466581]","[2, 2, 17]","[10991608.0, 10224520.0]","['; gamma used= 0.41491326668312173', 'no selection ----- in the middle of a block']"
22,1498747035.2128584,"29/06/2017 22:37:15",13,3,0.42529037028299016,41250000.0,"[0.43826274067429977, 0.45010529037029046, 1.0]","[0.2740945389105147, 0.2777638017882267, 0.4481416593012587]",1,3,0,4736408,4736408.0,2.523990761857656,0,15.012441635131836,0,"[4661997.366883228, 5817578.971917947, 141040590.2466581]","[2, 2, 18]","[10991608.0, 10224520.0]","['; gamma used= 0.41491326668312173', 'no selection ----- in the middle of a block']"
23,1498747050.2253,"29/06/2017 22:37:30",14,3,0.41491326668312173,41250000.0,"[0.42456189883708, 0.43603423020220244, 1.0]","[0.2718129954233648, 0.27542060740169033, 0.45276639717494493]",0,3,0,4765560,4765560.0,2.539983371114368,0,15.009736061096191,0,"[4661997.366883228, 5817578.971917947, 145806150.2466581]","[2, 2, 19]","[9959152.0, 7103888.0, 4736408.0]","['; gamma used= 0.41491326668312173', 'flipped coin but will not select greedily...', 'choosing randomly']"
24,1498747065.2350361,"29/06/2017 22:37:45",14,3,0.41491326668312173,41250000.0,"[0.4101693484128937, 0.4212527703914043, 1.0]","[0.2683100286923597, 0.27190795103505117, 0.4597820202725891]",0,3,0,5377680,5377680.0,2.8659012003918125,0,15.011487483978271,0,"[4661997.366883228, 5817578.971917947, 151183830.2466581]","[2, 2, 20]","[9959152.0, 7103888.0, 4736408.0]","['; gamma used= 0.4054801330382267', 'no selection ----- in the middle of a block']"
25,1498747080.2465236,"29/06/2017 22:38:00",14,3,0.41491326668312173,41250000.0,"[0.394513200384698, 0.4051735685786536, 1.0]","[0.2654860207616694, 0.2690076339611067, 0.4655063452772239]",0,3,0,5571904,5571904.0,2.96972554183155,0,15.009882688522339,0,"[4661997.366883228, 5817578.971917947, 156755734.2466581]","[2, 2, 21]","[9959152.0, 7103888.0, 4736408.0]","['; gamma used= 0.4054801330382267', 'no selection ----- in the middle of a block']"
26,1498747095.2564063,"29/06/2017 22:38:15",15,3,0.4054801330382267,41250000.0,"[0.37892167076679234, 0.38916073126743944, 1.0]","[0.26257291890102785, 0.2660158154988643, 0.4714112656001078]",0,3,0,6013544,6013544.0,3.203965039696821,0,15.015254974365234,0,"[4661997.366883228, 5817578.971917947, 162769278.2466581]","[2, 2, 22]","[4765560.0, 5377680.0, 5571904.0]","['; gamma used= 0.4054801330382267', 'flipped coin but will not select greedily...', 'choosing randomly']"
27,1498747110.2716613,"29/06/2017 22:38:30",15,3,0.4054801330382267,41250000.0,"[0.36373339090930146, 0.37356204016044964, 1.0]","[0.258563439435473, 0.26197572447632134, 0.4794608360882057]",0,3,0,3816928,3816928.0,2.0342075248738802,0,15.01096796989441,0,"[4661997.366883228, 5817578.971917947, 166586206.2466581]","[2, 2, 23]","[4765560.0, 5377680.0, 5571904.0]","['; gamma used= 0.3968502629920499', 'no selection ----- in the middle of a block']"
28,1498747125.2826293,"29/06/2017 22:38:45",15,3,0.4054801330382267,41250000.0,"[0.35441045870269305, 0.3639871876381894, 1.0]","[0.25667987569139444, 0.26004126387249493, 0.4832788604361107]",0,3,0,6436360,6436360.0,3.4303304917229345,0,15.010472059249878,0,"[4661997.366883228, 5817578.971917947, 173022566.2466581]","[2, 2, 24]","[4765560.0, 5377680.0, 5571904.0]","['; gamma used= 0.3968502629920499', 'no selection ----- in the middle of a block']"
29,1498747140.2931013,"29/06/2017 22:39:00",16,3,0.3968502629920499,41250000.0,"[0.3392275374292729, 0.3483939999126539, 1.0]","[0.25352209652917673, 0.256798156542521, 0.48967974692830235]",0,3,0,10942752,10942752.0,5.8317654812246555,0,15.011237382888794,0,"[4661997.366883228, 5817578.971917947, 183965318.2466581]","[2, 2, 25]","[6013544.0, 3816928.0, 6436360.0]","['; gamma used= 0.3968502629920499', 'flipped coin but will not select greedily...', 'choosing randomly']"
30,1498747155.3043387,"29/06/2017 22:39:15",16,3,0.3968502629920499,41250000.0,"[0.31622107887761397, 0.32476587060635226, 1.0]","[0.24739494459031197, 0.2505769487005931, 0.502028106709095]",0,3,0,7985504,7985504.0,4.255420383005835,0,15.012390375137329,0,"[4661997.366883228, 5817578.971917947, 191950822.2466581]","[2, 2, 26]","[6013544.0, 3816928.0, 6436360.0]","['; gamma used= 0.3889111187328203', 'no selection ----- in the middle of a block']"
31,1498747170.316729,"29/06/2017 22:39:30",16,3,0.3968502629920499,41250000.0,"[0.3004229791074658, 0.3085408812919495, 1.0]","[0.24373850992645646, 0.24682171141174092, 0.5094397786618027]",0,3,0,5760240,5760240.0,3.070190811459819,0,15.009464502334595,0,"[4661997.366883228, 5817578.971917947, 197711062.2466581]","[2, 2, 27]","[6013544.0, 3816928.0, 6436360.0]","['; gamma used= 0.3889111187328203', 'no selection ----- in the middle of a block']"
32,1498747185.3261936,"29/06/2017 22:39:45",17,4,0.3889111187328203,41250000.0,"[0.28951953184541324, 0.2973428057074897, 1.0]","[0.24112885750886004, 0.24414154207455174, 0.5147296004165883]",1,3,0,7095960,7095960.0,3.78175502330178,0,15.010935306549072,0,"[4661997.366883228, 5817578.971917947, 204807022.2466581]","[2, 2, 28]","[10942752.0, 7985504.0, 5760240.0]","['; gamma used= 0.3889111187328203', 'flipped coin and will select greedily...', 'averageBytePerNet:[2330998.683441614, 2908789.4859589734, 7322631.935061411], numNetworkHighestAverageByte: 1', 'choosing greedily']"
