"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498947300.0000713,"02/07/2017 06:15:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,1,4.013447046279907,964368,1316669.690755327,0.7022426092939295,0.0008871555328369141,14.999598979949951,0,"[1316669.690755327, 0, 0]","[1, 0, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498947315.0005574,"02/07/2017 06:15:15",2,1,0.7937005259840998,41250000.0,"[1.0, 0.9749838837555211, 0.9749838837555211]","[0.3344996311891934, 0.3327501844054033, 0.3327501844054033]",2,2,4.427166938781738,1096136,1555177.6867362582,0.8294996652872126,0.008944034576416016,14.998705863952637,0,"[1316669.690755327, 1555177.6867362582, 0]","[1, 1, 0]","[1316669.690755327]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498947330.0082073,"02/07/2017 06:15:30",3,1,0.6933612743506348,41250000.0,"[1.0, 0.9921239130249024, 0.9749838837555211]","[0.3344664258901092, 0.3336524637968654, 0.33188111031302536]",2,3,4.197489976882935,5098408,7079714.112632938,3.7761731387942663,0.0077702999114990234,14.998706579208374,0,"[1316669.690755327, 1555177.6867362582, 7079714.112632938]","[1, 1, 1]","[1555177.6867362582]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498947345.0146842,"02/07/2017 06:15:45",4,2,0.6299605249474366,41250000.0,"[0.989351515852922, 0.9815592972651197, 1.0]","[0.3332147466916545, 0.3322441929937806, 0.3345410603145649]",0,3,0,6497240,6497240.0,3.4641939170080565,0,15.004333257675171,0,"[1316669.690755327, 1555177.6867362582, 13576954.112632938]","[1, 1, 2]","[7079714.112632938]","['; gamma used= 0.6299605249474366', 'current gain: 7079714.112632938, prev block gain: [1555177.6867362582]', 'flipped coin but will not select greedily...', 'choosing randomly']"
5,1498947360.0190175,"02/07/2017 06:16:00",4,2,0.6299605249474366,41250000.0,"[0.9025918819500971, 0.8954829897848411, 1.0]","[0.3288669388827945, 0.32781207547044566, 0.34332098564675984]",0,3,0,7145816,7145816.0,3.809361106947061,0,15.00685453414917,0,"[1316669.690755327, 1555177.6867362582, 20722770.112632938]","[1, 1, 3]","[7079714.112632938]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498947375.025872,"02/07/2017 06:16:15",5,2,0.5848035476425733,41250000.0,"[0.8159308338915546, 0.8095044916781609, 1.0]","[0.3239689599219797, 0.3229526734179285, 0.35307836666009174]",1,3,0,6578936,6578936.0,3.50725385980467,0,15.006466627120972,0,"[1316669.690755327, 1555177.6867362582, 27301706.112632938]","[1, 1, 4]","[6497240.0, 7145816.0]","['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[1316669.690755327, 1555177.6867362582, 6907590.037544313], numNetworkHighestAverageByte: 1', 'choosing greedily']"
7,1498947390.0323386,"02/07/2017 06:16:30",5,2,0.5848035476425733,41250000.0,"[0.7695577544808011, 0.7634966506741495, 1.0]","[0.3200556292153214, 0.31897963580929295, 0.3609647349753857]",1,3,0,4430208,4430208.0,2.3616934994632643,0,15.006885528564453,0,"[1316669.690755327, 1555177.6867362582, 31731914.112632938]","[1, 1, 5]","[6497240.0, 7145816.0]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1498947405.0392241,"02/07/2017 06:16:45",6,2,0.5503212081491045,41250000.0,"[0.7398247842093015, 0.7339978598625363, 1.0]","[0.31792195738311707, 0.31686276896201543, 0.3652152736548675]",0,1,4.075699806213379,2032992,2791711.297895106,1.4892545260344114,0.00977945327758789,14.996556997299194,0,"[4108380.988650433, 1555177.6867362582, 31731914.112632938]","[2, 1, 5]","[6578936.0, 4430208.0]","['; gamma used= 0.5503212081491045', 'flipped coin but will not select greedily...', 'choosing randomly']"
9,1498947420.0455606,"02/07/2017 06:17:00",7,2,0.5503212081491045,41250000.0,"[0.7677832987690344, 0.7339978598625363, 1.0]","[0.3207156908472195, 0.3142707498984253, 0.3650135592543552]",-1,3,4.407552719116211,1443656,2044430.8866648634,1.0904461953395832,0.008521080017089844,14.998857498168945,0,"[4108380.988650433, 1555177.6867362582, 33776344.9992978]","[2, 1, 6]","[2791711.297895106]","['; gamma used= 0.5227579585747102', 'current gain: 2791711.297895106, prev block gain: [6578936.0, 4430208.0]', ' ----- switch back']"
10,1498947435.0529392,"02/07/2017 06:17:15",7,2,0.5227579585747102,41250000.0,"[0.7614672799016261, 0.7279597702883535, 1.0]","[0.31960693455752837, 0.31287697040559315, 0.3675160950368785]",-1,3,0,1678232,1678232.0,0.8945810009277969,0,15.0079824924469,0,"[4108380.988650433, 1555177.6867362582, 35454576.9992978]","[2, 1, 7]","[2791711.297895106]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
