"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498947300.0001528,"02/07/2017 06:15:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,1,4.490452527999878,1752080,2500790.733372459,1.3338713258032324,0.0022242069244384766,14.998692512512207,0,"[2500790.733372459, 0, 0]","[1, 0, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498947315.0010695,"02/07/2017 06:15:15",2,1,0.7937005259840998,41250000.0,"[1.0, 0.9530210600731267, 0.9530210600731267]","[0.33555668504815084, 0.3322216574759246, 0.3322216574759246]",2,2,4.180286407470703,1560944,2164148.21218413,1.154378726024375,0.01328897476196289,14.997838497161865,1480,"[2500790.733372459, 2164148.21218413, 0]","[1, 1, 0]","[2500790.733372459]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498947330.012197,"02/07/2017 06:15:30",3,1,0.6933612743506348,41250000.0,"[1.0, 0.9764153877555802, 0.9530210600731267]","[0.3357954129972832, 0.33332669398857295, 0.33087789301414383]",2,3,4.032593250274658,6061328,8290411.944322491,4.422134950844683,0.012762784957885742,14.998026132583618,0,"[2500790.733372459, 2164148.21218413, 8290411.944322491]","[1, 1, 1]","[2164148.21218413]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498947345.022986,"02/07/2017 06:15:45",4,2,0.6299605249474366,41250000.0,"[1.0, 0.9764153877555802, 0.9941022723940085]","[0.33455754527321657, 0.3316195935312283, 0.3338228611955551]",1,3,0,9173080,9173080.0,4.887808695555016,0,15.013811826705933,0,"[2500790.733372459, 2164148.21218413, 17463491.94432249]","[1, 1, 2]","[8290411.944322491]","['; gamma used= 0.6299605249474366', 'current gain: 8290411.944322491, prev block gain: [2164148.21218413]', 'flipped coin and will select greedily...', 'averageBytePerNet:[2500790.733372459, 2164148.21218413, 8290411.944322491], numNetworkHighestAverageByte: 1', 'choosing greedily']"
5,1498947360.0367978,"02/07/2017 06:16:00",4,2,0.6299605249474366,41250000.0,"[0.9223938388592381, 0.9006395378331011, 1.0]","[0.33059520368307677, 0.3273956989644502, 0.3420090973524731]",1,3,0,4655320,4655320.0,2.481268777154843,0,15.009482383728027,0,"[2500790.733372459, 2164148.21218413, 22118811.94432249]","[1, 1, 3]","[8290411.944322491]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498947375.0462801,"02/07/2017 06:16:15",5,2,0.5848035476425733,41250000.0,"[0.8826891812331965, 0.8618712991614671, 1.0]","[0.3284675238798669, 0.32531819966437925, 0.3462142764557539]",1,3,0,4829080,4829080.0,2.5715236175619296,0,15.02324914932251,0,"[2500790.733372459, 2164148.21218413, 26947891.94432249]","[1, 1, 4]","[9173080.0, 4655320.0]","['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[2500790.733372459, 2164148.21218413, 7372937.314774163], numNetworkHighestAverageByte: 1', 'choosing greedily']"
7,1498947390.0695293,"02/07/2017 06:16:30",5,2,0.5848035476425733,41250000.0,"[0.8455801087323143, 0.8256374297462683, 1.0]","[0.32578726748143894, 0.3224300718717459, 0.3517826606468153]",1,3,0,5697880,5697880.0,3.0370417855453655,0,15.009026288986206,0,"[2500790.733372459, 2164148.21218413, 32645771.94432249]","[1, 1, 5]","[9173080.0, 4655320.0]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1498947405.0785556,"02/07/2017 06:16:45",6,2,0.5503212081491045,41250000.0,"[0.8037960032788717, 0.7848387862179251, 1.0]","[0.32306999323086616, 0.31977688348073463, 0.3571531232883992]",0,1,3.950857162475586,3023488,4105369.755100196,2.1906775377772347,0.0169527530670166,14.992146253585815,2960,"[6606160.488472655, 2164148.21218413, 32645771.94432249]","[2, 1, 5]","[4829080.0, 5697880.0]","['; gamma used= 0.5503212081491045', 'flipped coin but will not select greedily...', 'choosing randomly']"
9,1498947420.0876546,"02/07/2017 06:17:00",7,2,0.5503212081491045,41250000.0,"[0.8481227146469144, 0.7848387862179251, 1.0]","[0.3279806187188473, 0.31650997959900357, 0.35550940168214923]",-1,3,4.150509357452393,5241760,7247430.8099700585,3.8658788832629476,0.014753341674804688,14.997740030288696,8624,"[6606160.488472655, 2164148.21218413, 39893202.75429255]","[2, 1, 6]","[4105369.755100196]","['; gamma used= 0.5227579585747102', 'current gain: 4105369.755100196, prev block gain: [4829080.0, 5697880.0]', ' ----- switch back']"
10,1498947435.100148,"02/07/2017 06:17:15",7,2,0.5227579585747102,41250000.0,"[0.823647615430214, 0.7621899326616383, 1.0]","[0.3259279505083376, 0.3140444346985516, 0.36002761479311074]",-1,3,0,7523344,7523344.0,4.009363765145909,0,15.011546850204468,0,"[6606160.488472655, 2164148.21218413, 47416546.75429255]","[2, 1, 7]","[4105369.755100196]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
11,1498947450.1116948,"02/07/2017 06:17:30",8,2,0.5,41250000.0,"[0.7989876092060595, 0.739369969207235, 1.0]","[0.3240494593828725, 0.3123061099616119, 0.36364443065551555]",0,1,4.130800485610962,4982632,6877755.623429876,3.6702302714086743,0.018264055252075195,14.991442203521729,10360,"[13483916.111902531, 2164148.21218413, 47416546.75429255]","[3, 1, 7]","[7247430.8099700585, 7523344.0]","['; gamma used= 0.5', 'flipped coin but will not select greedily...', 'choosing randomly']"
12,1498947465.121401,"02/07/2017 06:17:45",9,2,0.5,41250000.0,"[0.8676591860133831, 0.739369969207235, 1.0]","[0.333064343576409, 0.3075125793898936, 0.35942307703369736]",-1,3,4.607017278671265,1508816,2177951.7949503832,1.1619418890364959,0.016608238220214844,14.995254516601562,5728,"[13483916.111902531, 2164148.21218413, 49594498.54924293]","[3, 1, 8]","[6877755.623429876]","['; gamma used= 0.4807498567691362', 'current gain: 6877755.623429876, prev block gain: [7247430.8099700585, 7523344.0]', ' ----- switch back']"
