"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498739160.0000646,"29/06/2017 20:26:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,1,4.3411865234375,660288,929225.0999654867,0.49560109617687303,0.0009410381317138672,14.99956488609314,0,"[929225.0999654867, 0, 0]","[1, 0, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498739175.0005705,"29/06/2017 20:26:15",2,1,0.7937005259840998,41250000.0,"[1.0, 0.9822794595318458, 0.9822794595318458]","[0.33415543161229355, 0.3329222841938532, 0.3329222841938532]",2,2,4.713582992553711,677664,988356.3792741369,0.5273141553081019,0.012544631958007812,14.994573831558228,0,"[929225.0999654867, 988356.3792741369, 0]","[1, 1, 0]","[929225.0999654867]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498739190.007689,"29/06/2017 20:26:30",3,1,0.6933612743506348,41250000.0,"[1.0, 0.9932190283879998, 0.9822794595318458]","[0.33417499762042596, 0.33347618748753227, 0.3323488148920417]",2,3,4.39103364944458,3753216,5306905.814759193,2.8306589086707974,0.008665800094604492,14.998361825942993,0,"[929225.0999654867, 988356.3792741369, 5306905.814759193]","[1, 1, 1]","[988356.3792741369]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498739205.0147166,"29/06/2017 20:26:45",4,2,0.6299605249474366,41250000.0,"[0.9909057520102482, 0.984186448235699, 1.0]","[0.33323486880948877, 0.33239912743607947, 0.33436600375443176]",1,3,0,3013288,3013288.0,1.6063192699897324,0,15.007168531417847,0,"[929225.0999654867, 988356.3792741369, 8320193.814759193]","[1, 1, 2]","[5306905.814759193]","['; gamma used= 0.6299605249474366', 'current gain: 5306905.814759193, prev block gain: [988356.3792741369]', 'flipped coin and will select greedily...', 'averageBytePerNet:[929225.0999654867, 988356.3792741369, 5306905.814759193], numNetworkHighestAverageByte: 1', 'choosing greedily']"
5,1498739220.0218852,"29/06/2017 20:27:00",4,2,0.6299605249474366,41250000.0,"[0.9630831228834562, 0.956552483567187, 1.0]","[0.33189294146761683, 0.3309642302716888, 0.33714282826069436]",1,3,0,2872832,2872832.0,1.5315401031666525,0,15.006238460540771,0,"[929225.0999654867, 988356.3792741369, 11193025.814759193]","[1, 1, 3]","[5306905.814759193]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498739235.0281236,"29/06/2017 20:27:15",5,2,0.5848035476425733,41250000.0,"[0.9372851189780237, 0.9309294151938835, 1.0]","[0.3306138563244202, 0.3296938185685375, 0.3396923251070423]",0,3,0,4335312,4335312.0,2.3112275020327098,0,15.006093502044678,0,"[929225.0999654867, 988356.3792741369, 15528337.814759193]","[1, 1, 4]","[3013288.0, 2872832.0]","['; gamma used= 0.5848035476425733', 'flipped coin but will not select greedily...', 'choosing randomly']"
7,1498739250.0342171,"29/06/2017 20:27:30",5,2,0.5848035476425733,41250000.0,"[0.8855707250596698, 0.8795656951126218, 1.0]","[0.32745585556644535, 0.32647929086897964, 0.34606485356457506]",0,3,0,2108288,2108288.0,1.1238587174379766,0,15.007494926452637,0,"[929225.0999654867, 988356.3792741369, 17636625.814759195]","[1, 1, 5]","[3013288.0, 2872832.0]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1498739265.041712,"29/06/2017 20:27:45",6,2,0.5503212081491045,41250000.0,"[0.8614628500208734, 0.8556212948900892, 1.0]","[0.32601293744900517, 0.3250461571383323, 0.34894090541266254]",1,3,0,2421376,2421376.0,1.29078655656084,0,15.007134914398193,0,"[929225.0999654867, 988356.3792741369, 20058001.814759195]","[1, 1, 6]","[4335312.0, 2108288.0]","['; gamma used= 0.5503212081491045', 'flipped coin and will select greedily...', 'averageBytePerNet:[929225.0999654867, 988356.3792741369, 3527325.162951839], numNetworkHighestAverageByte: 1', 'choosing greedily']"
9,1498739280.048847,"29/06/2017 20:28:00",6,2,0.5503212081491045,41250000.0,"[0.8440187100934575, 0.8382954431803169, 1.0]","[0.3244219429522107, 0.32340364925908927, 0.35217440778870013]",1,3,0,2993760,2993760.0,1.5959459745817421,0,15.006823778152466,0,"[929225.0999654867, 988356.3792741369, 23051761.814759195]","[1, 1, 7]","[4335312.0, 2108288.0]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
10,1498739295.0556707,"29/06/2017 20:28:15",7,2,0.5227579585747102,41250000.0,"[0.8229385579059109, 0.8173582349063306, 1.0]","[0.3230014141383213, 0.3219927530107609, 0.3550058328509179]",1,3,0,2409264,2409264.0,1.2843553797217007,0,15.006837129592896,0,"[929225.0999654867, 988356.3792741369, 25461025.814759195]","[1, 1, 8]","[2421376.0, 2993760.0]","['; gamma used= 0.5227579585747102', 'flipped coin and will select greedily...', 'averageBytePerNet:[929225.0999654867, 988356.3792741369, 3293108.830679885], numNetworkHighestAverageByte: 1', 'choosing greedily']"
11,1498739310.0625079,"29/06/2017 20:28:30",7,2,0.5227579585747102,41250000.0,"[0.8070718854109129, 0.8015991538670981, 1.0]","[0.32135690419739843, 0.320307954088049, 0.3583351417145525]",1,3,0,2803680,2803680.0,1.4945681545904717,0,15.007304906845093,0,"[929225.0999654867, 988356.3792741369, 28264705.814759195]","[1, 1, 9]","[2421376.0, 2993760.0]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
12,1498739325.0698128,"29/06/2017 20:28:45",8,2,0.5,41250000.0,"[0.7889924420425608, 0.7836423066909877, 1.0]","[0.3200099351642574, 0.318970118813684, 0.36101994602205867]",0,2,3.574571371078491,1054144,1384056.44934876,0.7383541467780996,0.009914398193359375,14.9961256980896,0,"[929225.0999654867, 2372412.828622897, 28264705.814759195]","[1, 2, 9]","[2409264.0, 2803680.0]","['; gamma used= 0.5', 'flipped coin but will not select greedily...', 'choosing randomly']"
13,1498739340.0758529,"29/06/2017 20:29:00",9,2,0.5,41250000.0,"[0.7889924420425608, 0.7969640544157853, 1.0]","[0.3186766075770545, 0.32027727675778, 0.36104611566516553]",-1,3,4.551670789718628,3081472,4424023.461385592,2.3596635581258014,0.008745670318603516,14.998827934265137,0,"[929225.0999654867, 2372412.828622897, 32688729.276144788]","[1, 2, 10]","[1384056.44934876]","['; gamma used= 0.4807498567691362', 'current gain: 1384056.44934876, prev block gain: [2409264.0, 2803680.0]', ' ----- switch back']"
14,1498739355.0834265,"29/06/2017 20:29:15",9,2,0.4807498567691362,41250000.0,"[0.7760082937783366, 0.7838487203613766, 1.0]","[0.3171572750315565, 0.31879846940763845, 0.3640442555608049]",-1,3,0,3088456,3088456.0,1.6463526054836233,0,15.007506847381592,0,"[929225.0999654867, 2372412.828622897, 35777185.27614479]","[1, 2, 11]","[1384056.44934876]","['; gamma used= 0.4641588833612779', 'no selection ----- in the middle of a block']"
15,1498739370.0909333,"29/06/2017 20:29:30",10,2,0.4641588833612779,41250000.0,"[0.7670707905838553, 0.7748209167948583, 1.0]","[0.31642127218612437, 0.3180550303320516, 0.365523697481824]",0,1,4.602801322937012,684904,988219.824652494,0.527184735332353,0.010048866271972656,14.996182680130005,0,"[1917444.9246179806, 2372412.828622897, 35777185.27614479]","[2, 2, 11]","[4424023.461385592, 3088456.0]","['; gamma used= 0.4641588833612779', 'flipped coin but will not select greedily...', 'choosing randomly']"
16,1498739385.0971649,"29/06/2017 20:29:45",11,2,0.4641588833612779,41250000.0,"[0.7758249350003482, 0.7748209167948583, 1.0]","[0.31728204516182723, 0.31706540703904307, 0.3656525477991297]",-1,3,5.626239776611328,2169104,3471336.2669029944,1.8516555548399694,0.01040339469909668,14.997762441635132,0,"[1917444.9246179806, 2372412.828622897, 39248521.543047786]","[2, 2, 12]","[988219.824652494]","['; gamma used= 0.4496443130226092', 'current gain: 988219.824652494, prev block gain: [4424023.461385592, 3088456.0]', ' ----- switch back']"
17,1498739400.1053307,"29/06/2017 20:30:00",11,2,0.4496443130226092,41250000.0,"[0.7663771445612041, 0.7653853530233226, 1.0]","[0.3160831518795587, 0.31586252033054, 0.3680543277899013]",-1,3,0,2528208,2528208.0,1.3475929426445659,0,15.008733987808228,0,"[1917444.9246179806, 2372412.828622897, 41776729.543047786]","[2, 2, 13]","[988219.824652494]","['; gamma used= 0.43679023236814946', 'no selection ----- in the middle of a block']"
18,1498739415.1140647,"29/06/2017 20:30:15",12,2,0.43679023236814946,41250000.0,"[0.7595687179576893, 0.7585857374078958, 1.0]","[0.315481685147617, 0.31526183197464885, 0.36925648287773416]",1,3,0,3069760,3069760.0,1.6364326944848748,0,15.007082223892212,0,"[1917444.9246179806, 2372412.828622897, 44846489.543047786]","[2, 2, 14]","[3471336.2669029944, 2528208.0]","['; gamma used= 0.43679023236814946', 'flipped coin and will select greedily...', 'averageBytePerNet:[958722.4623089903, 1186206.4143114486, 3213594.580234445], numNetworkHighestAverageByte: 1', 'choosing greedily']"
19,1498739430.121147,"29/06/2017 20:30:30",12,2,0.43679023236814946,41250000.0,"[0.7437099968746902, 0.742747539569207, 1.0]","[0.3136615449672321, 0.3134390865204075, 0.3728993685123604]",1,3,0,2557168,2557168.0,1.3632433531342565,0,15.006377220153809,0,"[1917444.9246179806, 2372412.828622897, 47403657.543047786]","[2, 2, 15]","[3471336.2669029944, 2528208.0]","['; gamma used= 0.42529037028299016', 'no selection ----- in the middle of a block']"
20,1498739445.1275241,"29/06/2017 20:30:45",13,3,0.42529037028299016,41250000.0,"[0.7307524692310623, 0.7298067806488637, 1.0]","[0.31244436234255046, 0.31222347908809134, 0.3753321585693581]",1,3,0,4517760,4517760.0,2.408423984668918,0,15.006527185440063,0,"[1917444.9246179806, 2372412.828622897, 51921417.543047786]","[2, 2, 16]","[3069760.0, 2557168.0]","['; gamma used= 0.42529037028299016', 'flipped coin and will select greedily...', 'averageBytePerNet:[958722.4623089903, 1186206.4143114486, 3160243.836203186], numNetworkHighestAverageByte: 1', 'choosing greedily']"
21,1498739460.1340513,"29/06/2017 20:31:00",13,3,0.42529037028299016,41250000.0,"[0.7089465813477484, 0.7080291124159297, 1.0]","[0.30992188633675244, 0.3096997910539482, 0.3803783226092995]",1,3,0,3198632,3198632.0,1.7050588258221056,0,15.007726192474365,0,"[1917444.9246179806, 2372412.828622897, 55120049.543047786]","[2, 2, 17]","[3069760.0, 2557168.0]","['; gamma used= 0.41491326668312173', 'no selection ----- in the middle of a block']"
22,1498739475.1417775,"29/06/2017 20:31:15",13,3,0.42529037028299016,41250000.0,"[0.6939023279178668, 0.6930043282034581, 1.0]","[0.30839613705922586, 0.30817601629410274, 0.3834278466466715]",1,3,0,3120440,3120440.0,1.6633897333301264,0,15.007619380950928,0,"[1917444.9246179806, 2372412.828622897, 58240489.543047786]","[2, 2, 18]","[3069760.0, 2557168.0]","['; gamma used= 0.41491326668312173', 'no selection ----- in the middle of a block']"
23,1498739490.149397,"29/06/2017 20:31:30",14,3,0.41491326668312173,41250000.0,"[0.6795335283777648, 0.6786541237557262, 1.0]","[0.3069025623876458, 0.3066843745020859, 0.38641306311026835]",1,3,0,2670112,2670112.0,1.423514216877859,0,15.005748271942139,0,"[1917444.9246179806, 2372412.828622897, 60910601.543047786]","[2, 2, 19]","[4517760.0, 3198632.0, 3120440.0]","['; gamma used= 0.41491326668312173', 'flipped coin and will select greedily...', 'averageBytePerNet:[958722.4623089903, 1186206.4143114486, 3235582.7523915437], numNetworkHighestAverageByte: 1', 'choosing greedily']"
24,1498739505.1551452,"29/06/2017 20:31:45",14,3,0.41491326668312173,41250000.0,"[0.6677465991837394, 0.6668824483785913, 1.0]","[0.3052035978285456, 0.30498353939046186, 0.3898128627809925]",1,3,0,3489680,3489680.0,1.860302246835698,0,15.006937742233276,0,"[1917444.9246179806, 2372412.828622897, 64400281.543047786]","[2, 2, 20]","[4517760.0, 3198632.0, 3120440.0]","['; gamma used= 0.4054801330382267', 'no selection ----- in the middle of a block']"
25,1498739520.162083,"29/06/2017 20:32:00",14,3,0.41491326668312173,41250000.0,"[0.6526494389924795, 0.6518048258729605, 1.0]","[0.30353529203845775, 0.30331739260469315, 0.3931473153568491]",1,3,0,2458704,2458704.0,1.3107309826584492,0,15.006612539291382,0,"[1917444.9246179806, 2372412.828622897, 66858985.543047786]","[2, 2, 21]","[4517760.0, 3198632.0, 3120440.0]","['; gamma used= 0.4054801330382267', 'no selection ----- in the middle of a block']"
26,1498739535.1686954,"29/06/2017 20:32:15",15,2,0.4054801330382267,41250000.0,"[0.6422179448941671, 0.6413868314825237, 1.0]","[0.3023568075989311, 0.30214043327705553, 0.39550275912401334]",0,2,4.493691921234131,893416,1275712.7800768248,0.6805927718726783,0.011273860931396484,14.995313882827759,0,"[1917444.9246179806, 3648125.608699722, 66858985.543047786]","[2, 3, 21]","[2670112.0, 3489680.0, 2458704.0]","['; gamma used= 0.4054801330382267', 'flipped coin but will not select greedily...', 'choosing randomly']"
27,1498739550.1752832,"29/06/2017 20:32:30",16,3,0.4054801330382267,41250000.0,"[0.6422179448941671, 0.6501304077016634, 1.0]","[0.30126017539249594, 0.30334205786730495, 0.3953977667401992]",-1,3,4.3994646072387695,2830840,4005833.9395557847,2.136612600765064,0.008495330810546875,14.99882173538208,0,"[1917444.9246179806, 3648125.608699722, 70864819.48260356]","[2, 3, 22]","[1275712.7800768248]","['; gamma used= 0.3968502629920499', 'current gain: 1275712.7800768248, prev block gain: [2670112.0, 3489680.0, 2458704.0]', ' ----- switch back']"
