"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498621200.0000756,"28/06/2017 11:40:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,2,2.9152188301086426,3832912,4757579.631586323,2.537490831319479,0.001132965087890625,14.999320030212402,0,"[0, 4757579.631586323, 0]","[0, 1, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498621215.0005286,"28/06/2017 11:40:15",2,1,0.7937005259840998,41250000.0,"[0.9125233000597547, 1.0, 0.9125233000597547]","[0.3312040000584349, 0.33759199988313016, 0.3312040000584349]",2,3,4.016345500946045,4667712,6374649.503397877,3.399981406969715,0.004944324493408203,14.999257326126099,0,"[0, 4757579.631586323, 6374649.503397877]","[0, 1, 1]","[4757579.631586323]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498621230.0047302,"28/06/2017 11:40:30",3,1,0.6933612743506348,41250000.0,"[0.9125233000597547, 1.0, 0.9800924598893657]","[0.32785466295301346, 0.337127841978409, 0.3350174950685775]",2,1,4.288794755935669,505352,707732.5694116387,0.37750572070448474,0.008013725280761719,14.9980788230896,1448,"[707732.5694116387, 4757579.631586323, 6374649.503397877]","[1, 1, 1]","[6374649.503397877]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498621245.0108228,"28/06/2017 11:40:45",4,2,0.6299605249474366,41250000.0,"[0.915816846874213, 1.0, 0.9800924598893657]","[0.32700997647941543, 0.3377669051298329, 0.3352231183907517]",-1,3,4.150356769561768,3100168,4286350.876933499,2.2864210337440403,0.010520219802856445,14.997590780258179,0,"[707732.5694116387, 4757579.631586323, 10661000.380331377]","[1, 1, 2]","[707732.5694116387]","['; gamma used= 0.6299605249474366', 'current gain: 707732.5694116387, prev block gain: [6374649.503397877]', ' ----- switch back']"
5,1498621260.0189338,"28/06/2017 11:41:00",4,2,0.6299605249474366,41250000.0,"[0.9156817005026909, 0.999852430786807, 1.0]","[0.3253352508464201, 0.3373218670315108, 0.3373428821220691]",-1,3,0,4475768,4475768.0,2.3863294690904473,0,15.00469422340393,0,"[707732.5694116387, 4757579.631586323, 15136768.380331377]","[1, 1, 3]","[707732.5694116387]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498621275.023628,"28/06/2017 11:41:15",5,2,0.5848035476425733,41250000.0,"[0.8965174388522608, 0.978926563659728, 1.0]","[0.3243861274451393, 0.3362854988924878, 0.3393283736623729]",1,3,0,3278272,3278272.0,1.7479650357510121,0,15.003833293914795,0,"[707732.5694116387, 4757579.631586323, 18415040.380331375]","[1, 1, 4]","[4286350.876933499, 4475768.0]","['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[707732.5694116387, 4757579.631586323, 5045589.460110459], numNetworkHighestAverageByte: 1', 'choosing greedily']"
7,1498621290.0274613,"28/06/2017 11:41:30",5,2,0.5848035476425733,41250000.0,"[0.8707548952815571, 0.9507958913985285, 1.0]","[0.3222151542313618, 0.3349715216171043, 0.342813324151534]",1,3,0,5402488,5402488.0,2.8800472797577803,0,15.006664752960205,0,"[707732.5694116387, 4757579.631586323, 23817528.380331375]","[1, 1, 5]","[4286350.876933499, 4475768.0]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1498621305.034126,"28/06/2017 11:41:45",6,2,0.5503212081491045,41250000.0,"[0.8299042809317447, 0.9061902319926766, 1.0]","[0.3198356743849612, 0.3323733166872408, 0.347791008927798]",0,2,4.187965154647827,1685472,2338611.7513707876,1.247650784574326,0.011644840240478516,14.995296955108643,2896,"[707732.5694116387, 7096191.38295711, 23817528.380331375]","[1, 2, 5]","[3278272.0, 5402488.0]","['; gamma used= 0.5503212081491045', 'flipped coin but will not select greedily...', 'choosing randomly']"
9,1498621320.0410678,"28/06/2017 11:42:00",7,2,0.5503212081491045,41250000.0,"[0.8299042809317447, 0.9335288763326082, 1.0]","[0.31757626181845344, 0.33547212201719784, 0.3469516161643488]",-1,3,4.406529664993286,4443792,6292497.76420259,3.3563024052949966,0.009301900863647461,14.998643159866333,0,"[707732.5694116387, 7096191.38295711, 30110026.144533966]","[1, 2, 6]","[2338611.7513707876]","['; gamma used= 0.5227579585747102', 'current gain: 2338611.7513707876, prev block gain: [3278272.0, 5402488.0]', ' ----- switch back']"
10,1498621335.049013,"28/06/2017 11:42:15",7,2,0.5227579585747102,41250000.0,"[0.8090705636628069, 0.9100937921683631, 1.0]","[0.3154385792448413, 0.3340147326665561, 0.35054668808860256]",-1,3,0,8690320,8690320.0,4.632596750445694,0,15.007254838943481,0,"[707732.5694116387, 7096191.38295711, 38800346.14453396]","[1, 2, 7]","[2338611.7513707876]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
11,1498621350.0562677,"28/06/2017 11:42:30",8,2,0.5,41250000.0,"[0.7811551084819903, 0.878692720856858, 1.0]","[0.31350873407098134, 0.3318439206367316, 0.35464734529228703]",0,2,4.911839723587036,632776,940989.9984515407,0.5019935760061114,0.00975656509399414,14.99604845046997,0,"[707732.5694116387, 8037181.38140865, 38800346.14453396]","[1, 3, 7]","[6292497.76420259, 8690320.0]","['; gamma used= 0.5', 'flipped coin but will not select greedily...', 'choosing randomly']"
